SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,10,29,29934429,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,10,29,29938054,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,29,29946053,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,29,29950149,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,29,29957029,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,29,29961909,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,29,29963909,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,29,29964909,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,10,29,29965909,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,29,29971020,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,29,29971779,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,10,29,29971779,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,10,29,30000551,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,29,30001149,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,10,29,30006030,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,29,30021029,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,29,31815099,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,10,29,31816000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,29,31816000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,10,29,31818099,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,29,31993100,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,10,29,32000398,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
