SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,05,33029456,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,05,33101661,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,05,33101740,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,05,33109749,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,05,33122489,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33123489,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33124489,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33125619,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33126490,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33127489,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33128489,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33129489,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33130370,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33131489,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33132489,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33133370,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33134369,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33135369,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33136240,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33137239,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33138239,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33139369,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33140369,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33154239,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33155000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33155999,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33156000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33157000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33158000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,33203370,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,33205370,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,35179890,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,05,35180819,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,05,35180819,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
