Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
05/09/2019 09:10:29.456,65,6553.5,-3276.8,87,0.29,0.39,3.958,59,0.000,65535.000,0,0.012540,0.000220,0,65535,0,65535,0,0,-0.04,0.00,-0.98,-0.93,-0.01,0.02,33.7,699,140,0,12,6553.5,416,421,509
05/09/2019 09:10:30.456,65,6553.5,-3276.8,88,0.16,0.21,3.938,56,0.000,65535.000,0,0.012540,0.001220,0,65535,0,65535,0,0,-0.04,0.00,-0.98,-0.92,-0.01,0.03,33.7,699,254,0,12,6553.5,416,422,510
05/09/2019 09:10:31.456,65,6553.5,-3276.8,88,0.08,0.12,3.922,53,0.000,65535.000,0,0.012540,0.001360,0,65535,0,65535,0,0,-0.06,0.00,-0.98,-0.93,-0.01,0.02,33.7,699,254,0,12,6553.5,416,422,508
05/09/2019 09:10:32.456,65,6553.5,-3276.8,88,0.04,0.15,3.912,52,0.000,65535.000,0,0.012540,0.000920,0,65535,0,65535,0,0,-0.04,-0.01,-1.14,-0.77,-0.01,0.03,33.7,699,254,0,12,6553.5,400,409,483
05/09/2019 09:10:33.456,65,6553.5,-3276.8,88,0.02,0.06,3.902,50,0.000,65535.000,0,0.012540,0.000420,0,65535,0,65535,0,0,-0.06,-0.01,-0.98,-0.92,-0.01,0.03,33.7,699,254,0,12,6553.5,416,422,508
05/09/2019 09:10:34.456,65,6553.5,-3276.8,88,0.01,0.03,3.893,48,0.000,65535.000,0,0.012540,0.004340,0,65535,0,65535,0,0,-0.07,-0.01,-0.98,-0.92,-0.02,0.02,33.7,699,254,0,12,6553.5,415,421,508
05/09/2019 09:10:35.456,65,6553.5,-3276.8,88,0.01,0.03,3.892,48,0.000,65535.000,0,0.012540,0.003940,0,65535,0,65535,0,0,-0.07,0.00,-0.97,-0.91,-0.02,0.03,33.7,699,254,0,12,6553.5,416,422,508
05/09/2019 09:10:36.456,65,6553.5,-3276.8,88,0.01,0.02,3.885,47,0.000,65535.000,0,0.012540,0.002320,0,65535,0,65535,0,0,-0.04,0.00,-0.97,-0.93,-0.01,0.02,33.6,699,254,0,12,6553.5,415,421,508
05/09/2019 09:10:37.456,65,6553.5,-3276.8,-88,0.00,0.02,3.882,47,0.000,65535.000,0,0.012540,0.002640,0,65535,0,65535,0,0,-0.06,-0.01,-0.98,-0.92,-0.01,0.03,33.6,699,254,0,12,6553.5,416,421,509
05/09/2019 09:10:38.456,65,6553.5,-3276.8,-88,0.01,0.02,3.882,47,0.000,65535.000,0,0.012540,0.002020,0,65535,0,65535,0,0,-0.04,0.00,-0.98,-0.92,-0.01,0.02,33.6,699,254,0,12,6553.5,415,422,509
