Time,BreathingWaveform
24/09/2019 11:30:10.415,6023655
24/09/2019 11:30:10.455,6011901
24/09/2019 11:30:10.495,6007427
24/09/2019 11:30:10.535,6007427
24/09/2019 11:30:10.575,6002035
24/09/2019 11:30:10.615,6002035
24/09/2019 11:30:10.655,6018209
24/09/2019 11:30:10.695,6023817
24/09/2019 11:30:10.735,6027105
24/09/2019 11:30:10.775,6022361
24/09/2019 11:30:10.815,6017293
24/09/2019 11:30:10.855,6016592
24/09/2019 11:30:10.895,5998693
24/09/2019 11:30:10.935,5994433
24/09/2019 11:30:10.975,6003868
24/09/2019 11:30:11.015,6004893
24/09/2019 11:30:11.055,6003006
24/09/2019 11:30:11.095,6004030
24/09/2019 11:30:11.135,6004731
24/09/2019 11:30:11.175,6008990
24/09/2019 11:30:11.215,6016592
24/09/2019 11:30:11.255,6022037
24/09/2019 11:30:11.295,6029262
24/09/2019 11:30:11.335,6045166
24/09/2019 11:30:11.375,6057243
24/09/2019 11:30:11.415,6085548
24/09/2019 11:30:11.455,6092557
24/09/2019 11:30:11.495,6102100
24/09/2019 11:30:11.535,6132993
24/09/2019 11:30:11.575,6124582
24/09/2019 11:30:11.615,6115255
24/09/2019 11:30:11.655,6118760
24/09/2019 11:30:11.695,6111373
24/09/2019 11:30:11.735,6111697
24/09/2019 11:30:11.775,6113153
24/09/2019 11:30:11.815,6121671
24/09/2019 11:30:11.855,6112560
24/09/2019 11:30:11.895,6117681
24/09/2019 11:30:11.935,6120269
24/09/2019 11:30:11.975,6117627
24/09/2019 11:30:12.015,6116765
24/09/2019 11:30:12.055,6111320
24/09/2019 11:30:12.095,6115201
24/09/2019 11:30:12.135,6110942
24/09/2019 11:30:12.175,6120000
24/09/2019 11:30:12.215,6115363
24/09/2019 11:30:12.255,6120701
24/09/2019 11:30:12.295,6122049
24/09/2019 11:30:12.335,6112829
24/09/2019 11:30:12.375,6115848
24/09/2019 11:30:12.415,6108138
24/09/2019 11:30:12.455,6094336
24/09/2019 11:30:12.495,6087274
24/09/2019 11:30:12.535,6089053
24/09/2019 11:30:12.575,6076761
24/09/2019 11:30:12.615,6071045
24/09/2019 11:30:12.655,6075736
24/09/2019 11:30:12.695,6069266
24/09/2019 11:30:12.735,6036271
24/09/2019 11:30:12.775,6016592
24/09/2019 11:30:12.815,6012171
