SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,24,41410415,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,24,41414230,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,24,41415039,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,24,41429042,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,24,41429053,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,24,41429226,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,24,41430040,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,24,41431501,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,24,41432039,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,09,24,41440955,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,24,41444039,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,09,24,41446039,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,24,42236149,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,24,42804001,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,24,43515289,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,24,43515860,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,24,43515000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,24,43526017,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,24,43526024,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,24,43526459,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,24,43526620,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,24,43531740,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,24,43543292,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,24,43543739,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,24,44094087,128,System,Battery,0,Battery Level Event - No Data
0,2019,09,24,44123339,128,System,Battery,0,Battery Level Event - No Data
0,2019,09,24,44157470,128,System,Battery,0,Battery Level Event - No Data
0,2019,09,24,44184207,128,System,Battery,0,Battery Level Event - No Data
0,2019,09,24,44221219,128,System,Battery,0,Battery Level Event - No Data
0,2019,09,24,44247214,128,System,Battery,0,Battery Level Event - No Data
0,2019,09,24,44276524,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,24,44276840,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,24,44277754,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,24,44277839,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,09,24,44284327,128,System,Battery,0,Battery Level Event - No Data
0,2019,09,24,44286958,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,24,44291839,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,24,44293095,64,System,Button,0,
0,2019,09,24,44296209,64,System,Button,0,
