Time,RtoR
24/09/2019 11:30:10.415,4190
,991
,183
,304
,985
,253
,134
,16088
,541
,456
,202
,10449
,591
,577
,596
,628
,647
,629
,677
,638
,620
,610
,582
,579
,567
,567
,554
,538
,545
,536
,552
,555
,560
,561
,565
,570
,571
,572
,574
,577
,566
,578
,579
,574
,579
,583
,585
,588
,583
,590
,595
,593
,592
,586
,588
,592
,572
,564
,569
,561
,556
,560
,566
,586
,624
,649
,646
,635
,638
,637
,632
,616
,601
,599
,595
,613
,645
,669
,637
,657
,659
,656
,614
,620
,615
,608
,598
,606
,616
,660
,677
,661
,654
,641
,626
,619
,622
,639
,668
,675
,679
,647
,643
,627
,630
,650
,661
,685
,656
,673
,665
,657
,642
,645
,647
,616
,622
,614
,612
,620
,633
,640
,630
,625
,606
,586
,589
,582
,580
,584
,585
,591
,573
,584
,581
,580
,578
,568
,566
,573
,564
,559
,576
,589
,603
,616
,614
,629
,639
,639
,604
,620
,612
,598
,616
,637
,656
,661
,660
,684
,679
,646
,654
,648
,647
,618
,649
,651
,656
,627
,640
,642
,644
,641
,621
,633
,633
,643
,612
,635
,642
,647
,633
,639
,629
,623
,634
,655
,662
,662
,654
,623
,628
,627
,636
,645
,645
,626
,630
,614
,599
,619
,607
,593
,584
,592
,590
,616
,621
,617
,622
,633
,623
,613
,605
,615
,625
,637
,624
,631
,634
,613
,622
,618
,621
,601
,625
,626
,628
,639
,623
,636
,641
,639
,623
,631
,631
,630
,627
,648
,649
,628
,637
,644
,651
,660
,629
,635
,630
,634
,636
,639
,628
,625
,624
,621
,630
,640
,627
,645
,650
,656
,629
,617
,614
,606
,592
,600
,593
,597
,580
,596
,595
,593
,591
,590
,596
,591
,611
,626
,633
,624
,628
,615
,599
,598
,599
,596
,594
,595
,617
,627
,637
,646
,663
,655
,629
,640
,634
,615
,638
,642
,639
,655
,679
,672
,644
,655
,648
,638
,635
,645
,650
,648
,617
,629
,618
,616
,598
,614
,620
,620
,645
,667
,685
,646
,659
,648
,611
,600
,597
,585
,576
,587
,593
,588
,598
,613
,617
,602
,606
,594
,580
,579
,583
,591
,569
,583
,597
,616
,615
,610
,611
,613
,633
,662
,656
,642
,618
,605
,594
,592
,591
,595
,591
,580
,577
,581
,586
,575
,581
,584
,589
,602
,594
,600
,607
,600
,586
,590
,585
,576
,586
,602
,610
,606
,609
,610
,623
,623
,607
,619
,617
,604
,589
,589
,578
,584
,603
,607
,596
,594
,592
,606
,623
,626
,629
,643
,647
,647
,651
,650
,663
,691
,705
,704
,686
,670
,649
,632
,632
,642
,655
,635
,675
,696
,720
,671
,696
,691
,647
,638
,631
,616
,590
,583
,583
,573
,563
,567
,574
,582
,601
,627
,636
,628
,624
