SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,05,30777455,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,05,30811041,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,05,30811080,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,05,30817859,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,05,30824729,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,05,30828730,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,05,30844479,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,30845479,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,30874229,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,30875229,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,30876220,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,30877211,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,30877990,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,30878990,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,30879989,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,31331210,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,31332209,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,31333209,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,31335339,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,31338210,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,31341089,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,31342089,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,31343089,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,31528589,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,05,31536459,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,05,32917600,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,05,32918559,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,05,32918559,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
