Time,RtoR
02/09/2019 14:12:09.444,4097
,250
,1133
,4726
,1683
,250
,664
,798
,4682
,774
,387
,814
,1632
,1664
,839
,859
,798
,681
,713
,414
,1856
,2996
,66
,1465
,817
,676
,686
,726
,630
,645
,682
,614
,639
,638
,685
,669
,630
,733
,722
,783
,774
,724
,827
,585
,685
,625
,647
,706
,613
,643
,801
,784
,711
,890
,708
,785
,855
,701
,729
,761
,674
,734
,765
,642
,676
,714
,643
,693
,802
,732
,758
,807
,714
,804
,841
,720
,830
,862
,766
,878
,907
,787
,873
,880
,718
,866
,811
,755
,965
,842
,881
,909
,804
,946
,914
,810
,927
,906
,763
,892
,937
,842
,960
,956
,769
,878
,961
,907
,835
,936
,823
,878
,940
,907
,927
,902
,881
,856
,682
,801
,947
,798
,792
,918
,884
,868
,966
,869
,887
,899
,713
,779
,811
,783
,688
,791
,808
,793
,782
,669
,744
,777
,667
,703
,740
,697
,669
,700
,720
,719
,629
,625
,637
,594
,610
,697
,616
,708
,728
,652
,700
,739
,665
,711
,727
,657
,716
,714
,648
,709
,703
,638
,746
,860
,695
,804
,832
,706
,797
,869
,712
,796
,873
,748
,749
,769
,673
,788
,849
,732
,680
,714
,702
,651
,641
,596
,642
,752
,708
,640
,801
,897
,691
,837
,904
,773
,899
,956
,952
,803
,941
,984
,921
,782
,971
,1014
,776
,955
,1012
,799
,1024
,1039
,833
,981
,1011
,822
,1025
,1045
,900
,838
,1017
,975
,758
,984
,988
,733
,945
,751
,767
,942
,725
,805
,827
,709
,934
,896
,732
,874
,898
,711
,854
,896
,718
,948
,943
,806
,963
,945
,792
,985
,927
,834
,962
,872
,857
,977
,911
,917
,1014
,807
,795
,929
,1017
,942
,926
,911
,984
,927
,725
,743
,787
,967
,744
,948
,878
,868
,913
,842
,730
,815
,876
,731
,861
,917
,921
,775
,922
,915
,803
,875
,888
,806
,674
,779
,929
,729
,894
,836
,741
,922
,780
,898
,977
,756
,897
,911
,762
,903
,949
,885
,850
,952
,968
,787
,928
,957
,794
,976
,954
,795
,904
,953
,774
,979
,936
,786
,965
,954
,768
,872
,898
,730
,842
,927
,952
,812
,963
,1009
,959
,788
,954
,981
,833
,797
,1002
,949
,792
,1042
,985
,872
,1013
,1008
,823
,979
,1019
,819
,1028
,1024
,792
,1005
,1004
,760
,994
,991
,797
,949
,876
,866
,964
,948
,829
,966
,977
,790
,937
,964
,780
,922
,980
,781
,944
,985
,815
,969
,995
