Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
05/09/2019 07:55:15.451,65,6553.5,-3276.8,-15,0.27,0.54,3.990,65,0.000,65535.000,0,0.011880,0.001700,0,65535,0,65535,0,0,-1.04,-0.78,0.12,0.42,-0.16,0.16,33.8,699,255,-128,-128,6553.5,415,422,509
05/09/2019 07:55:16.451,65,6553.5,-3276.8,-8,0.22,0.73,3.970,61,0.000,65535.000,0,0.011880,0.000740,0,65535,0,65535,0,0,-1.20,-0.81,-0.51,0.36,-0.27,0.27,33.8,699,255,-128,-128,6553.5,414,421,509
05/09/2019 07:55:17.451,65,6553.5,-3276.8,-8,0.09,0.20,3.959,59,0.000,65535.000,0,0.012540,0.000340,0,65535,0,65535,0,0,-1.06,-0.91,0.01,0.20,-0.12,0.28,33.8,699,255,-128,-128,6553.5,416,418,498
05/09/2019 07:55:18.451,65,6553.5,-3276.8,-7,0.08,0.22,3.949,58,0.000,65535.000,0,0.012540,0.002640,0,65535,0,65535,0,0,-1.13,-0.90,-0.04,0.20,-0.10,0.18,33.8,699,255,-128,-128,6553.5,412,420,508
05/09/2019 07:55:19.451,65,6553.5,-3276.8,-6,0.06,0.13,3.939,56,0.000,65535.000,0,0.012540,0.001220,0,65535,0,65535,0,0,-1.12,-0.95,0.00,0.20,-0.04,0.10,33.8,688,255,-128,-128,6553.5,416,422,509
05/09/2019 07:55:20.451,65,10.0,-3276.8,-4,0.06,0.10,3.936,56,0.000,65535.000,0,0.012540,0.000520,0,65535,0,65535,3,0,-1.04,-0.98,0.00,0.06,-0.01,0.09,33.8,688,255,-128,-128,6553.5,415,422,509
05/09/2019 07:55:21.451,65,10.0,-3276.8,-3,0.03,0.12,3.936,56,0.000,65535.000,0,0.000000,0.000240,0,65535,0,65535,3,1,-1.14,-0.84,0.02,0.18,0.00,0.13,33.8,688,255,-128,-128,6553.5,420,420,512
05/09/2019 07:55:22.451,65,10.0,-3276.8,-2,0.02,0.04,3.930,55,0.000,65535.000,0,0.000000,0.000100,0,65535,0,65535,3,2,-1.02,-0.97,0.01,0.07,0.00,0.06,33.8,688,255,-128,-128,6553.5,416,422,509
05/09/2019 07:55:23.451,65,10.0,-3276.8,-1,0.02,0.06,3.925,54,0.000,65535.000,0,0.000000,0.000040,0,65535,0,65535,3,3,-1.08,-0.95,-0.01,0.04,-0.02,0.09,33.8,688,255,-128,-128,6553.5,416,422,509
05/09/2019 07:55:24.451,65,10.0,-3276.8,-1,0.02,0.04,3.925,54,0.000,65535.000,0,0.000000,0.000020,0,65535,0,65535,3,4,-1.04,-0.96,-0.02,0.04,-0.01,0.04,33.8,688,255,-128,-128,6553.5,414,418,507
