SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,03,49830447,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,03,49836633,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,03,49837073,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,03,49838193,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,03,49839072,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,09,03,49847290,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,03,49850600,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,09,03,49851025,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,03,49851624,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,03,49869940,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,03,49874340,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,09,03,49893089,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,03,49894083,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,03,49894089,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,03,49895084,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,03,49895990,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,03,49902989,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,03,49903830,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,03,49904849,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,03,49905840,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,03,49906839,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,03,49907849,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,03,49908840,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,03,49910839,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,03,49982839,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,03,49983830,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,03,51854480,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,03,51854919,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,03,51854919,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
