Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
03/09/2019 13:50:30.447,65,6553.5,-3276.8,55,0.67,1.30,4.054,75,0.000,65535.000,0,0.012540,0.001620,0,65535,0,65535,0,0,-1.12,0.04,-0.13,0.65,-0.84,0.31,27.6,699,255,-128,-128,6553.5,416,424,509
03/09/2019 13:50:31.447,65,6553.5,-3276.8,24,0.63,0.90,4.044,74,0.000,65535.000,0,0.012540,0.000700,0,65535,0,65535,0,0,-1.12,-0.86,0.02,0.22,0.00,0.24,27.5,699,255,-128,-128,6553.5,422,426,510
03/09/2019 13:50:32.447,65,6553.5,-3276.8,7,0.50,1.16,4.034,72,0.000,65535.000,0,0.014060,0.004300,0,65535,0,65535,0,0,-1.83,-0.60,-0.57,0.77,-0.21,0.54,27.5,699,255,-128,-128,6553.5,415,422,508
03/09/2019 13:50:33.447,65,6553.5,-3276.8,17,0.33,0.63,4.024,70,0.000,65535.000,0,0.014060,0.001860,0,65535,0,65535,0,0,-1.22,-0.56,-0.14,0.92,-0.24,0.15,27.5,699,255,-128,-128,6553.5,415,423,509
03/09/2019 13:50:34.447,65,6553.5,-3276.8,21,0.15,0.28,4.022,70,0.000,65535.000,0,0.000360,0.000840,0,65535,0,65535,0,0,-1.09,-0.80,0.19,0.59,-0.10,0.06,27.5,699,255,-128,-128,6553.5,416,423,509
03/09/2019 13:50:35.447,65,6553.5,-3276.8,22,0.09,0.27,4.021,70,0.000,65535.000,0,0.000360,0.000380,0,65535,0,65535,0,0,-1.06,-0.72,-0.07,0.60,-0.10,0.26,27.5,699,255,-128,-128,6553.5,415,423,509
03/09/2019 13:50:36.447,65,10.0,-3276.8,-21,0.09,0.26,4.021,70,0.000,65535.000,0,0.000320,0.000180,0,65535,0,65535,3,0,-1.09,-0.83,0.06,0.45,-0.38,0.15,27.5,688,255,-128,-128,6553.5,416,423,510
03/09/2019 13:50:37.447,65,10.0,-3276.8,-22,0.11,0.32,4.015,69,0.000,65535.000,0,0.000320,0.001180,0,65535,0,65535,3,1,-1.06,-0.66,-0.08,0.51,-0.16,0.30,27.5,699,255,-128,-128,6553.5,415,422,509
03/09/2019 13:50:38.447,65,6553.5,-3276.8,-22,0.18,0.66,4.013,68,0.000,65535.000,0,0.000320,0.000540,0,65535,0,65535,0,0,-1.25,-0.54,-0.19,1.03,-0.59,0.43,27.5,699,255,-128,-128,6553.5,412,420,510
03/09/2019 13:50:39.447,65,6553.5,-3276.8,-21,0.14,0.66,4.013,68,0.000,65535.000,0,0.000320,0.000220,0,65535,0,65535,0,0,-1.19,-0.25,-0.18,0.91,-0.18,0.24,27.5,699,254,-2,12,6553.5,417,423,509
