Time,BreathingWaveform
02/09/2019 09:04:56.445,0
02/09/2019 09:04:56.485,0
02/09/2019 09:04:56.525,0
02/09/2019 09:04:56.565,0
02/09/2019 09:04:56.605,0
02/09/2019 09:04:56.645,0
02/09/2019 09:04:56.685,0
02/09/2019 09:04:56.725,0
02/09/2019 09:04:56.765,0
02/09/2019 09:04:56.805,0
02/09/2019 09:04:56.845,0
02/09/2019 09:04:56.885,0
02/09/2019 09:04:56.925,0
02/09/2019 09:04:56.965,0
02/09/2019 09:04:57.005,0
02/09/2019 09:04:57.045,0
02/09/2019 09:04:57.085,0
02/09/2019 09:04:57.125,0
02/09/2019 09:04:57.165,0
02/09/2019 09:04:57.205,0
02/09/2019 09:04:57.245,0
02/09/2019 09:04:57.285,0
02/09/2019 09:04:57.325,0
02/09/2019 09:04:57.365,0
02/09/2019 09:04:57.405,0
02/09/2019 09:04:57.445,0
02/09/2019 09:04:57.485,0
02/09/2019 09:04:57.525,0
02/09/2019 09:04:57.565,0
02/09/2019 09:04:57.605,0
02/09/2019 09:04:57.645,0
02/09/2019 09:04:57.685,0
02/09/2019 09:04:57.725,0
02/09/2019 09:04:57.765,0
02/09/2019 09:04:57.805,0
02/09/2019 09:04:57.845,0
02/09/2019 09:04:57.885,0
02/09/2019 09:04:57.925,0
02/09/2019 09:04:57.965,0
02/09/2019 09:04:58.005,5292143
02/09/2019 09:04:58.045,5290150
02/09/2019 09:04:58.085,5288859
02/09/2019 09:04:58.125,5284914
02/09/2019 09:04:58.165,5280076
02/09/2019 09:04:58.205,5269041
02/09/2019 09:04:58.245,5243533
02/09/2019 09:04:58.285,5215126
02/09/2019 09:04:58.325,5194511
02/09/2019 09:04:58.365,5179627
02/09/2019 09:04:58.405,5168935
02/09/2019 09:04:58.445,5160785
02/09/2019 09:04:58.485,5153350
02/09/2019 09:04:58.525,5147248
02/09/2019 09:04:58.565,5143056
02/09/2019 09:04:58.605,5139153
02/09/2019 09:04:58.645,5136473
02/09/2019 09:04:58.685,5136390
02/09/2019 09:04:58.725,5135153
02/09/2019 09:04:58.765,5134232
02/09/2019 09:04:58.805,5134604
02/09/2019 09:04:58.845,5134315
02/09/2019 09:04:58.885,5134109
02/09/2019 09:04:58.925,5133696
02/09/2019 09:04:58.965,5133394
02/09/2019 09:04:59.005,5135016
02/09/2019 09:04:59.045,5134343
02/09/2019 09:04:59.085,5134892
02/09/2019 09:04:59.125,5137503
02/09/2019 09:04:59.165,5142039
02/09/2019 09:04:59.205,5146162
02/09/2019 09:04:59.245,5151453
02/09/2019 09:04:59.285,5154696
02/09/2019 09:04:59.325,5156538
02/09/2019 09:04:59.365,5157816
02/09/2019 09:04:59.405,5158077
02/09/2019 09:04:59.445,5156744
02/09/2019 09:04:59.485,5156840
02/09/2019 09:04:59.525,5156318
02/09/2019 09:04:59.565,5157404
02/09/2019 09:04:59.605,5156029
02/09/2019 09:04:59.645,5154765
02/09/2019 09:04:59.685,5153171
02/09/2019 09:04:59.725,5152649
02/09/2019 09:04:59.765,5154958
02/09/2019 09:04:59.805,5160812
02/09/2019 09:04:59.845,5169471
02/09/2019 09:04:59.885,5175023
02/09/2019 09:04:59.925,5178912
02/09/2019 09:04:59.965,5181455
02/09/2019 09:05:00.005,5183530
02/09/2019 09:05:00.045,5185234
02/09/2019 09:05:00.085,5186718
02/09/2019 09:05:00.125,5187529
02/09/2019 09:05:00.165,5189646
02/09/2019 09:05:00.205,5190498
02/09/2019 09:05:00.245,5191570
02/09/2019 09:05:00.285,5191927
02/09/2019 09:05:00.325,5191199
02/09/2019 09:05:00.365,5191034
02/09/2019 09:05:00.405,5192119
02/09/2019 09:05:00.445,5191034
02/09/2019 09:05:00.485,5183791
02/09/2019 09:05:00.525,5174569
02/09/2019 09:05:00.565,5168646
02/09/2019 09:05:00.605,5163671
02/09/2019 09:05:00.645,5156937
02/09/2019 09:05:00.685,5150271
02/09/2019 09:05:00.725,5144774
02/09/2019 09:05:00.765,5139359
02/09/2019 09:05:00.805,5131484
02/09/2019 09:05:00.845,5124750
02/09/2019 09:05:00.885,5119156
02/09/2019 09:05:00.925,5113508
02/09/2019 09:05:00.965,5109454
02/09/2019 09:05:01.005,5106526
02/09/2019 09:05:01.045,5103283
02/09/2019 09:05:01.085,5099998
02/09/2019 09:05:01.125,5097689
02/09/2019 09:05:01.165,5096232
02/09/2019 09:05:01.205,5094295
02/09/2019 09:05:01.245,5092549
02/09/2019 09:05:01.285,5091532
02/09/2019 09:05:01.325,5091010
02/09/2019 09:05:01.365,5088866
02/09/2019 09:05:01.405,5086955
02/09/2019 09:05:01.445,5084881
02/09/2019 09:05:01.485,5083094
02/09/2019 09:05:01.525,5081060
02/09/2019 09:05:01.565,5079122
02/09/2019 09:05:01.605,5078339
02/09/2019 09:05:01.645,5077899
02/09/2019 09:05:01.685,5078064
02/09/2019 09:05:01.725,5078077
02/09/2019 09:05:01.765,5077789
02/09/2019 09:05:01.805,5077500
02/09/2019 09:05:01.845,5076263
02/09/2019 09:05:01.885,5072003
02/09/2019 09:05:01.925,5068443
02/09/2019 09:05:01.965,5063894
02/09/2019 09:05:02.005,5062410
02/09/2019 09:05:02.045,5067358
02/09/2019 09:05:02.085,5069639
02/09/2019 09:05:02.125,5071302
02/09/2019 09:05:02.165,5073473
02/09/2019 09:05:02.205,5074903
02/09/2019 09:05:02.245,5075823
02/09/2019 09:05:02.285,5074820
02/09/2019 09:05:02.325,5069749
02/09/2019 09:05:02.365,5062053
02/09/2019 09:05:02.405,5052350
02/09/2019 09:05:02.445,5040998
02/09/2019 09:05:02.485,5032326
02/09/2019 09:05:02.525,5028849
02/09/2019 09:05:02.565,5026540
02/09/2019 09:05:02.605,5025317
02/09/2019 09:05:02.645,5024478
02/09/2019 09:05:02.685,5024011
02/09/2019 09:05:02.725,5024754
02/09/2019 09:05:02.765,5029344
02/09/2019 09:05:02.805,5036092
02/09/2019 09:05:02.845,5043678
02/09/2019 09:05:02.885,5050852
02/09/2019 09:05:02.925,5056775
02/09/2019 09:05:02.965,5060719
02/09/2019 09:05:03.005,5063400
02/09/2019 09:05:03.045,5064252
02/09/2019 09:05:03.085,5062658
02/09/2019 09:05:03.125,5052487
02/09/2019 09:05:03.165,5050412
02/09/2019 09:05:03.205,5049395
02/09/2019 09:05:03.245,5013264
02/09/2019 09:05:03.285,5010543
02/09/2019 09:05:03.325,4999507
02/09/2019 09:05:03.365,4973573
02/09/2019 09:05:03.405,4949344
02/09/2019 09:05:03.445,4931368
02/09/2019 09:05:03.485,4916786
02/09/2019 09:05:03.525,4905091
02/09/2019 09:05:03.565,4895759
02/09/2019 09:05:03.605,4889079
02/09/2019 09:05:03.645,4883651
02/09/2019 09:05:03.685,4880806
02/09/2019 09:05:03.725,4877233
02/09/2019 09:05:03.765,4874910
02/09/2019 09:05:03.805,4873453
02/09/2019 09:05:03.845,4872477
02/09/2019 09:05:03.885,4872161
02/09/2019 09:05:03.925,4870100
02/09/2019 09:05:03.965,4867901
02/09/2019 09:05:04.005,4866320
02/09/2019 09:05:04.045,4864452
02/09/2019 09:05:04.085,4862747
02/09/2019 09:05:04.125,4860177
02/09/2019 09:05:04.165,4858404
02/09/2019 09:05:04.205,4856274
02/09/2019 09:05:04.245,4855051
02/09/2019 09:05:04.285,4852055
02/09/2019 09:05:04.325,4850488
02/09/2019 09:05:04.365,4848619
02/09/2019 09:05:04.405,4847726
02/09/2019 09:05:04.445,4846406
02/09/2019 09:05:04.485,4845623
02/09/2019 09:05:04.525,4843905
02/09/2019 09:05:04.565,4842380
02/09/2019 09:05:04.605,4842311
02/09/2019 09:05:04.645,4841802
02/09/2019 09:05:04.685,4841019
02/09/2019 09:05:04.725,4840002
02/09/2019 09:05:04.765,4838243
02/09/2019 09:05:04.805,4837363
02/09/2019 09:05:04.845,4835068
02/09/2019 09:05:04.885,4834216
02/09/2019 09:05:04.925,4833323
