SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,05,26219449,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,05,26242321,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,05,26242360,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,05,26256117,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,05,26260999,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,05,26275740,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,05,26276730,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,09,05,26290420,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,05,26290619,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,05,26295360,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,05,26310230,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26312109,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26314109,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26315229,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26317110,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26318000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26319000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26321109,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26322109,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26323000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26323999,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26324000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26325000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26326000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26331000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26352380,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,05,26352739,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,05,26352739,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26363961,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,05,26364499,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,05,26369480,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,05,26384109,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26395109,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26397000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26399109,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26400000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26400000,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26401999,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26715230,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26716226,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,26717469,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,26718469,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,05,28407420,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,05,28408060,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,05,28408060,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,05,28502675,64,System,Button,0,
