Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
12/09/2019 14:03:36.435,65,6553.5,-3276.8,-55,0.46,0.59,3.980,63,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-0.85,-0.36,-0.89,-0.57,-0.18,0.20,25.5,699,255,-128,-128,6553.5,417,423,509
12/09/2019 14:03:37.435,65,6553.5,-3276.8,-43,0.33,0.46,3.960,60,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-0.92,-0.62,-0.72,-0.49,-0.09,0.18,25.5,699,255,-128,-128,6553.5,418,426,511
12/09/2019 14:03:38.435,65,6553.5,-3276.8,-38,0.19,0.30,3.948,58,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-0.87,-0.74,-0.57,-0.48,-0.07,0.10,25.5,699,255,-128,-128,6553.5,417,424,509
12/09/2019 14:03:39.435,65,6553.5,-3276.8,-34,0.15,0.32,3.938,56,0.000,65535.000,0,0.000000,0.000260,0,65535,0,65535,0,0,-1.10,-0.67,-0.60,-0.24,-0.07,0.21,25.5,699,255,-128,-128,6553.5,423,430,513
12/09/2019 14:03:40.435,65,6553.5,-3276.8,-24,0.37,0.53,3.928,54,0.000,65535.000,0,0.000000,0.000240,0,65535,0,65535,0,0,-1.10,-0.75,-0.42,0.18,0.07,0.50,25.5,699,255,-128,-128,6553.5,414,423,508
12/09/2019 14:03:41.435,65,6553.5,-3276.8,-18,0.23,0.54,3.923,53,0.000,65535.000,0,0.000000,0.000280,0,65535,0,65535,0,0,-1.26,-0.66,-0.32,0.26,0.00,0.38,25.5,699,255,-128,-128,6553.5,423,428,514
12/09/2019 14:03:42.435,65,6553.5,-3276.8,-11,0.26,0.40,3.921,53,0.000,65535.000,0,0.000000,0.000380,0,65535,0,65535,0,0,-1.24,-0.75,-0.20,0.20,-0.03,0.19,25.5,699,255,-128,-128,6553.5,416,422,509
12/09/2019 14:03:43.435,65,6553.5,-3276.8,-7,0.17,0.25,3.912,52,0.000,65535.000,0,0.000000,0.004740,0,65535,0,65535,0,0,-1.10,-0.90,0.02,0.20,-0.01,0.18,25.5,699,254,0,12,6553.5,416,423,509
12/09/2019 14:03:44.435,65,6553.5,-3276.8,-6,0.18,0.39,3.909,51,0.000,65535.000,0,0.000000,0.002180,0,65535,0,65535,0,0,-1.08,-0.89,-0.03,0.62,-0.08,0.12,25.5,688,254,0,12,6553.5,415,423,509
12/09/2019 14:03:45.435,65,10.0,-3276.8,-7,0.09,0.21,3.909,51,0.000,65535.000,0,0.000000,0.000940,0,65535,0,65535,3,0,-1.15,-0.74,0.01,0.37,-0.04,0.15,25.5,688,254,0,12,6553.5,415,422,508
12/09/2019 14:03:46.435,0,10.0,-3276.8,-7,0.07,0.21,3.909,51,0.000,65535.000,0,0.000800,0.000420,0,65535,0,65535,3,1,-1.10,-0.83,-0.01,0.20,-0.26,0.18,25.5,688,254,0,12,6553.5,416,422,509
12/09/2019 14:03:47.435,0,10.0,-3276.8,-6,0.07,0.25,3.909,51,0.000,65535.000,0,0.000800,0.000180,0,65535,0,65535,3,2,-1.21,-0.78,-0.13,0.26,-0.16,0.20,25.5,688,254,0,12,6553.5,416,423,510
