Time,BreathingWaveform
11/09/2019 12:35:58.431,6241717
11/09/2019 12:35:58.471,6241717
11/09/2019 12:35:58.511,6241717
11/09/2019 12:35:58.551,6241717
11/09/2019 12:35:58.591,6241717
11/09/2019 12:35:58.631,6241771
11/09/2019 12:35:58.671,6241877
11/09/2019 12:35:58.711,6240059
11/09/2019 12:35:58.751,6239524
11/09/2019 12:35:58.791,6238936
11/09/2019 12:35:58.831,6238936
11/09/2019 12:35:58.871,6239150
11/09/2019 12:35:58.911,6240433
11/09/2019 12:35:58.951,6240487
11/09/2019 12:35:58.991,6243321
11/09/2019 12:35:59.031,6245728
11/09/2019 12:35:59.071,6245728
11/09/2019 12:35:59.111,6243000
11/09/2019 12:35:59.151,6241022
11/09/2019 12:35:59.191,6241984
11/09/2019 12:35:59.231,6236743
11/09/2019 12:35:59.271,6223480
11/09/2019 12:35:59.311,6221395
11/09/2019 12:35:59.351,6217972
11/09/2019 12:35:59.391,6209629
11/09/2019 12:35:59.431,6209629
11/09/2019 12:35:59.471,6212357
11/09/2019 12:35:59.511,6211447
11/09/2019 12:35:59.551,6215565
11/09/2019 12:35:59.591,6213426
11/09/2019 12:35:59.631,6211822
11/09/2019 12:35:59.671,6214228
11/09/2019 12:35:59.711,6211501
11/09/2019 12:35:59.751,6212677
11/09/2019 12:35:59.791,6212517
11/09/2019 12:35:59.831,6218667
11/09/2019 12:35:59.871,6218132
11/09/2019 12:35:59.911,6264606
11/09/2019 12:35:59.951,6255996
11/09/2019 12:35:59.991,6257440
11/09/2019 12:36:00.031,6267066
11/09/2019 12:36:00.071,6264874
11/09/2019 12:36:00.111,6269794
11/09/2019 12:36:00.151,6268617
11/09/2019 12:36:00.191,6264018
11/09/2019 12:36:00.231,6253001
11/09/2019 12:36:00.271,6234283
11/09/2019 12:36:00.311,6226957
11/09/2019 12:36:00.351,6223427
11/09/2019 12:36:00.391,6226315
11/09/2019 12:36:00.431,6231930
11/09/2019 12:36:00.471,6235781
11/09/2019 12:36:00.511,6234176
11/09/2019 12:36:00.551,6228133
11/09/2019 12:36:00.591,6225887
11/09/2019 12:36:00.631,6217116
11/09/2019 12:36:00.671,6207008
11/09/2019 12:36:00.711,6204495
11/09/2019 12:36:00.751,6206955
11/09/2019 12:36:00.791,6204014
11/09/2019 12:36:00.831,6201447
11/09/2019 12:36:00.871,6199147
11/09/2019 12:36:00.911,6198666
11/09/2019 12:36:00.951,6199896
11/09/2019 12:36:00.991,6200484
11/09/2019 12:36:01.031,6203105
11/09/2019 12:36:01.071,6207222
11/09/2019 12:36:01.111,6218400
11/09/2019 12:36:01.151,6221555
11/09/2019 12:36:01.191,6212677
11/09/2019 12:36:01.231,6210645
11/09/2019 12:36:01.271,6233053
11/09/2019 12:36:01.311,6240808
11/09/2019 12:36:01.351,6239899
11/09/2019 12:36:01.391,6250595
11/09/2019 12:36:01.431,6296534
11/09/2019 12:36:01.471,6305304
11/09/2019 12:36:01.511,6308834
11/09/2019 12:36:01.551,6315840
11/09/2019 12:36:01.591,6332151
11/09/2019 12:36:01.631,6365416
11/09/2019 12:36:01.671,6362581
11/09/2019 12:36:01.711,6370710
11/09/2019 12:36:01.751,6380122
11/09/2019 12:36:01.791,6381566
11/09/2019 12:36:01.831,6387931
11/09/2019 12:36:01.871,6388198
11/09/2019 12:36:01.911,6395685
11/09/2019 12:36:01.951,6397717
11/09/2019 12:36:01.991,6397343
11/09/2019 12:36:02.031,6400552
11/09/2019 12:36:02.071,6398733
11/09/2019 12:36:02.111,6397610
11/09/2019 12:36:02.151,6397557
11/09/2019 12:36:02.191,6395150
11/09/2019 12:36:02.231,6389802
11/09/2019 12:36:02.271,6382796
11/09/2019 12:36:02.311,6377823
11/09/2019 12:36:02.351,6376753
11/09/2019 12:36:02.391,6373758
11/09/2019 12:36:02.431,6372582
11/09/2019 12:36:02.471,6373758
11/09/2019 12:36:02.511,6373598
11/09/2019 12:36:02.551,6373705
11/09/2019 12:36:02.591,6371726
11/09/2019 12:36:02.631,6372101
11/09/2019 12:36:02.671,6373331
11/09/2019 12:36:02.711,6373384
11/09/2019 12:36:02.751,6367929
11/09/2019 12:36:02.791,6366271
11/09/2019 12:36:02.831,6366111
11/09/2019 12:36:02.871,6367020
11/09/2019 12:36:02.911,6369052
11/09/2019 12:36:02.951,6370978
11/09/2019 12:36:02.991,6375256
11/09/2019 12:36:03.031,6380925
11/09/2019 12:36:03.071,6388733
11/09/2019 12:36:03.111,6395578
11/09/2019 12:36:03.151,6400338
11/09/2019 12:36:03.191,6403814
11/09/2019 12:36:03.231,6405525
11/09/2019 12:36:03.271,6406969
11/09/2019 12:36:03.311,6406542
11/09/2019 12:36:03.351,6406274
11/09/2019 12:36:03.391,6405953
11/09/2019 12:36:03.431,6405151
11/09/2019 12:36:03.471,6402798
11/09/2019 12:36:03.511,6400873
11/09/2019 12:36:03.551,6401033
11/09/2019 12:36:03.591,6400926
11/09/2019 12:36:03.631,6399589
11/09/2019 12:36:03.671,6398145
11/09/2019 12:36:03.711,6397771
11/09/2019 12:36:03.751,6396060
11/09/2019 12:36:03.791,6396273
11/09/2019 12:36:03.831,6395418
11/09/2019 12:36:03.871,6395471
11/09/2019 12:36:03.911,6394722
11/09/2019 12:36:03.951,6394134
11/09/2019 12:36:03.991,6394402
11/09/2019 12:36:04.031,6393867
11/09/2019 12:36:04.071,6393118
11/09/2019 12:36:04.111,6393118
11/09/2019 12:36:04.151,6392851
11/09/2019 12:36:04.191,6392904
11/09/2019 12:36:04.231,6392156
11/09/2019 12:36:04.271,6391193
11/09/2019 12:36:04.311,6389642
11/09/2019 12:36:04.351,6389161
11/09/2019 12:36:04.391,6387984
11/09/2019 12:36:04.431,6388626
11/09/2019 12:36:04.471,6389214
11/09/2019 12:36:04.511,6390658
11/09/2019 12:36:04.551,6390498
11/09/2019 12:36:04.591,6390979
11/09/2019 12:36:04.631,6391460
11/09/2019 12:36:04.671,6391674
11/09/2019 12:36:04.711,6391942
11/09/2019 12:36:04.751,6392048
11/09/2019 12:36:04.791,6394348
11/09/2019 12:36:04.831,6395044
11/09/2019 12:36:04.871,6396594
11/09/2019 12:36:04.911,6398145
11/09/2019 12:36:04.951,6399963
11/09/2019 12:36:04.991,6401996
11/09/2019 12:36:05.031,6404509
11/09/2019 12:36:05.071,6406167
11/09/2019 12:36:05.111,6405846
11/09/2019 12:36:05.151,6405044
11/09/2019 12:36:05.191,6403386
11/09/2019 12:36:05.231,6400819
11/09/2019 12:36:05.271,6400017
11/09/2019 12:36:05.311,6398573
11/09/2019 12:36:05.351,6398466
11/09/2019 12:36:05.391,6398413
11/09/2019 12:36:05.431,6397557
11/09/2019 12:36:05.471,6396808
11/09/2019 12:36:05.511,6397289
11/09/2019 12:36:05.551,6396915
11/09/2019 12:36:05.591,6397183
11/09/2019 12:36:05.631,6396915
11/09/2019 12:36:05.671,6395953
11/09/2019 12:36:05.711,6396113
11/09/2019 12:36:05.751,6395578
11/09/2019 12:36:05.791,6394990
11/09/2019 12:36:05.831,6394295
11/09/2019 12:36:05.871,6393172
11/09/2019 12:36:05.911,6393706
11/09/2019 12:36:05.951,6393706
11/09/2019 12:36:05.991,6393386
11/09/2019 12:36:06.031,6393225
11/09/2019 12:36:06.071,6393278
11/09/2019 12:36:06.111,6393439
11/09/2019 12:36:06.151,6393011
11/09/2019 12:36:06.191,6393706
11/09/2019 12:36:06.231,6395364
11/09/2019 12:36:06.271,6395150
11/09/2019 12:36:06.311,6395846
11/09/2019 12:36:06.351,6395953
11/09/2019 12:36:06.391,6396113
11/09/2019 12:36:06.431,6395525
11/09/2019 12:36:06.471,6396006
11/09/2019 12:36:06.511,6395792
11/09/2019 12:36:06.551,6396808
11/09/2019 12:36:06.591,6396969
11/09/2019 12:36:06.631,6396273
11/09/2019 12:36:06.671,6395953
11/09/2019 12:36:06.711,6394509
11/09/2019 12:36:06.751,6395578
11/09/2019 12:36:06.791,6396594
11/09/2019 12:36:06.831,6396273
11/09/2019 12:36:06.871,6396434
11/09/2019 12:36:06.911,6396755
11/09/2019 12:36:06.951,6396434
11/09/2019 12:36:06.991,6395846
11/09/2019 12:36:07.031,6396166
11/09/2019 12:36:07.071,6397022
11/09/2019 12:36:07.111,6397183
11/09/2019 12:36:07.151,6396969
11/09/2019 12:36:07.191,6396060
11/09/2019 12:36:07.231,6396969
11/09/2019 12:36:07.271,6396487
11/09/2019 12:36:07.311,6395578
11/09/2019 12:36:07.351,6395044
11/09/2019 12:36:07.391,6395418
11/09/2019 12:36:07.431,6394990
11/09/2019 12:36:07.471,6394669
11/09/2019 12:36:07.511,6394081
11/09/2019 12:36:07.551,6393867
11/09/2019 12:36:07.591,6393600
11/09/2019 12:36:07.631,6393546
