Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
11/09/2019 12:35:58.431,65,8.1,-3276.8,78,0.19,0.45,3.914,52,5194.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,2,-0.49,-0.15,0.46,0.90,-0.71,-0.33,21.9,528,255,-128,-128,6553.5,411,416,496
11/09/2019 12:35:59.431,65,8.1,-3276.8,73,0.48,1.45,3.884,47,4654.000,65535.000,255,0.000000,0.001180,0,65535,0,65535,1,3,-1.61,0.06,-0.09,1.37,-0.83,1.19,21.9,528,255,-128,-128,6553.5,418,428,506
11/09/2019 12:36:00.431,65,7.3,-3276.8,52,0.54,0.83,3.864,44,4108.000,65535.000,255,0.011820,0.001440,0,65535,0,65535,1,4,-1.22,-0.51,-0.10,0.74,-0.27,0.37,21.9,528,255,-128,-128,6553.5,412,417,495
11/09/2019 12:36:01.431,65,7.3,-3276.8,31,0.49,1.04,3.851,41,3558.000,65535.000,255,0.011820,0.001280,0,65535,0,65535,1,5,-1.12,-0.66,-0.60,0.78,-0.46,0.30,21.9,528,255,-128,-128,6553.5,413,417,495
11/09/2019 12:36:02.431,65,6.6,-3276.8,20,0.27,0.34,3.841,40,3142.000,65535.000,255,0.004640,0.001220,0,65535,0,65535,1,6,-0.98,-0.90,0.07,0.21,-0.03,0.09,21.9,528,255,-128,-128,6553.5,413,417,495
11/09/2019 12:36:03.431,65,6.6,-3276.8,-14,0.17,0.22,3.838,39,2717.000,65535.000,255,0.004640,0.000660,0,65535,0,65535,1,7,-1.00,-0.95,0.10,0.16,-0.01,0.09,21.9,528,255,-128,-128,6553.5,412,417,495
11/09/2019 12:36:04.431,65,5.9,-3276.8,-11,0.08,0.12,3.852,42,2366.000,65535.000,255,0.000960,0.000520,0,65535,0,65535,1,8,-0.98,-0.93,0.09,0.16,-0.01,0.13,21.9,528,255,-128,-128,6553.5,413,417,494
11/09/2019 12:36:05.431,57,5.9,-3276.8,-9,0.05,0.10,3.872,45,2035.000,65535.000,255,0.000960,0.000400,0,65535,0,65535,1,9,-0.98,-0.93,0.09,0.18,0.01,0.12,21.9,528,255,-128,-128,6553.5,401,419,492
11/09/2019 12:36:06.431,53,6.3,-3276.8,-9,0.03,0.08,3.888,48,1767.000,65535.000,255,0.000880,0.000300,0,65535,0,65535,1,10,-0.98,-0.93,0.10,0.19,0.00,0.14,21.9,528,255,-128,-128,6553.5,412,417,495
11/09/2019 12:36:07.431,46,6.3,-3276.8,-8,0.02,0.04,3.898,49,1517.000,65535.000,255,0.000880,0.000320,0,65535,0,65535,1,11,-0.98,-0.95,0.09,0.16,0.01,0.12,21.9,528,255,-128,-128,6553.5,412,418,495
11/09/2019 12:36:08.431,53,6.7,-3276.8,-7,0.02,0.10,3.897,49,1317.000,65535.000,255,0.000880,0.000860,0,65535,0,65535,1,12,-1.00,-0.93,0.06,0.16,-0.09,0.15,21.9,528,255,-128,-128,6553.5,400,400,483
