Time,BreathingWaveform
12/09/2019 09:54:21.438,6426169
12/09/2019 09:54:21.478,6408734
12/09/2019 09:54:21.518,6408734
12/09/2019 09:54:21.558,6425206
12/09/2019 09:54:21.598,6425206
12/09/2019 09:54:21.638,6424404
12/09/2019 09:54:21.678,6421462
12/09/2019 09:54:21.718,6414884
12/09/2019 09:54:21.758,6406916
12/09/2019 09:54:21.798,6407237
12/09/2019 09:54:21.838,6416489
12/09/2019 09:54:21.878,6414617
12/09/2019 09:54:21.918,6412371
12/09/2019 09:54:21.958,6387021
12/09/2019 09:54:21.998,6355201
12/09/2019 09:54:22.038,6390016
12/09/2019 09:54:22.078,6455796
12/09/2019 09:54:22.118,6517566
12/09/2019 09:54:22.158,6573024
12/09/2019 09:54:22.198,6559066
12/09/2019 09:54:22.238,6521844
12/09/2019 09:54:22.278,6520133
12/09/2019 09:54:22.318,6512859
12/09/2019 09:54:22.358,6502698
12/09/2019 09:54:22.398,6493606
12/09/2019 09:54:22.438,6486654
12/09/2019 09:54:22.478,6477723
12/09/2019 09:54:22.518,6476012
12/09/2019 09:54:22.558,6485691
12/09/2019 09:54:22.598,6494195
12/09/2019 09:54:22.638,6504837
12/09/2019 09:54:22.678,6509543
12/09/2019 09:54:22.718,6516656
12/09/2019 09:54:22.758,6525962
12/09/2019 09:54:22.798,6546017
12/09/2019 09:54:22.838,6565430
12/09/2019 09:54:22.878,6576233
12/09/2019 09:54:22.918,6577142
12/09/2019 09:54:22.958,6576286
12/09/2019 09:54:22.998,6581153
12/09/2019 09:54:23.038,6580939
12/09/2019 09:54:23.078,6583880
12/09/2019 09:54:23.118,6586394
12/09/2019 09:54:23.158,6588961
12/09/2019 09:54:23.198,6590084
12/09/2019 09:54:23.238,6593079
12/09/2019 09:54:23.278,6599122
12/09/2019 09:54:23.318,6604898
12/09/2019 09:54:23.358,6605593
12/09/2019 09:54:23.398,6599871
12/09/2019 09:54:23.438,6597518
12/09/2019 09:54:23.478,6597678
12/09/2019 09:54:23.518,6598855
12/09/2019 09:54:23.558,6601101
12/09/2019 09:54:23.598,6606449
12/09/2019 09:54:23.638,6613027
12/09/2019 09:54:23.678,6631156
12/09/2019 09:54:23.718,6654741
12/09/2019 09:54:23.758,6670625
12/09/2019 09:54:23.798,6680572
12/09/2019 09:54:23.838,6686187
12/09/2019 09:54:23.878,6690786
12/09/2019 09:54:23.918,6693193
12/09/2019 09:54:23.958,6695921
12/09/2019 09:54:23.998,6699183
12/09/2019 09:54:24.038,6704370
12/09/2019 09:54:24.078,6711376
12/09/2019 09:54:24.118,6717152
12/09/2019 09:54:24.158,6722767
12/09/2019 09:54:24.198,6727366
12/09/2019 09:54:24.238,6730415
12/09/2019 09:54:24.278,6732180
12/09/2019 09:54:24.318,6734907
12/09/2019 09:54:24.358,6738865
12/09/2019 09:54:24.398,6741753
12/09/2019 09:54:24.438,6745924
12/09/2019 09:54:24.478,6750577
12/09/2019 09:54:24.518,6752556
12/09/2019 09:54:24.558,6752930
12/09/2019 09:54:24.598,6752181
12/09/2019 09:54:24.638,6752181
12/09/2019 09:54:24.678,6751218
