SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,12,35661438,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,12,35670061,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,12,35675062,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,12,35685061,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,12,35690062,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,12,35704010,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,12,37462990,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,12,37487829,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,12,37505589,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,12,37519209,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,12,37707449,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
