SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,10,17,51008430,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,10,17,51017054,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,17,51022055,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,17,51038369,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,17,51043369,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,17,51049369,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,17,53100569,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,17,53118784,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,17,53119440,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,10,17,53119440,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
