Time,BtoB
23/09/2019 13:48:55.411,6000
,3820
,3670
,6260
,2050
,1980
,820
,4140
,1240
,3630
,2540
,3090
,1380
,3630
,1620
,2430
,3590
,5380
,2320
,2560
,1410
,3520
,1760
,3480
,6190
,2650
,11740
,4890
,6740
,2970
,2950
,2430
,1180
,3720
,2270
,1540
,2400
,2340
,1900
,790
,2780
,3750
,1370
,6950
,3180
,2940
,2350
,2520
,8280
,1320
,1230
,3000
,1690
,5650
,4250
,2230
,3340
,2270
,5770
,2890
,6880
,2760
,2740
,4110
,8710
,1670
,3560
,3360
,2020
,1360
,2110
,2430
,1290
,4790
,1340
,1670
,5410
,5060
,1950
,2500
,2350
,1490
,2520
,3150
,1450
,1870
,6330
,3470
,8300
,1510
,1370
,1740
,5570
,1300
,4160
,2700
,2670
,1300
,3650
,1950
,8030
,3150
,1540
,1600
,3090
,1060
,4370
,2360
,1290
,2300
,2460
,2430
,4460
,3510
,2620
,1330
,7790
,2390
,1020
,4330
,3970
,1020
,1520
,1230
,3630
,3980
,6020
,1300
,1510
,1390
,1880
,3420
,1440
,2490
,2710
,13310
,3280
,3320
,4530
,1790
,1810
,1990
,5290
,2420
,1260
,1700
,4780
,1160
,2940
,2620
,3810
,1850
,2200
,1810
,3080
,2760
,3150
,2240
,2490
,4310
,3510
,1160
,1210
,1470
,2660
,3100
,2340
,2140
,1500
,2420
,2160
,1990
,2030
,1340
,5060
,1630
,1030
,2040
,2510
,1960
,2080
,1170
,1860
,1640
,4130
,1390
,3740
,1970
,1840
,2150
,3660
,4250
,5390
,3870
,1730
,1180
,1710
,1740
,2140
,2330
,1810
,3370
,1590
,3870
,4060
,1460
,2140
,820
,3070
,2670
,2270
,1810
,2290
,2450
,2780
,2530
,3210
,1740
,2170
,870
,2010
,1290
,2150
,2350
,2740
,2900
,2400
,2790
,2210
,3060
,1660
,1480
,2730
,2720
,3400
,4720
,2810
,2810
,2930
,2500
,2430
,2770
,2940
,2010
,1560
,1390
,3370
,2370
,1610
,2860
,3580
,2500
,730
,2340
,2270
,2730
,3590
,1690
,1250
,1630
,2970
,1870
,3080
,3970
,2470
,2360
,2420
,2960
,2540
,1800
,3180
,2190
,2230
,2280
,2920
,2460
,2250
,3100
,1540
,1070
,1790
,1920
,2240
,1980
,3440
,3190
,3530
,3680
,1930
,2670
,4270
,2520
,2550
,2920
,1840
,2360
,2160
,6280
,2100
,1580
,1830
,2140
,1180
,2690
,2360
,2840
,1520
,2210
,2450
,2100
,2390
,1710
,1760
,3630
,1710
,3000
,1580
,2570
,2070
,2620
,2440
,2700
,2430
,2730
,2010
,2530
,4000
,1070
,1750
,3940
,2450
,4340
,1790
,2320
,2440
,3440
,2400
,2060
,2770
,2290
,2220
,2230
,1640
,2330
,1490
,1920
,1880
,2320
,2360
,2570
,2590
,2040
,1650
,2520
,1900
,3490
,1660
,2780
,2270
,2410
,2140
,2420
,2930
,1830
,1680
,1400
,2250
,2220
,2550
,1660
,2380
,1700
,5290
,1770
,2200
,2280
,1940
,1810
,3400
,2590
,1650
,2620
,3090
,1180
,1320
,2860
,2890
,3040
,2290
,2180
,2520
,2310
,2380
,3000
,2040
,2630
,2640
,3190
,1590
,2230
,2020
,730
,2170
,3440
,1520
,1770
,2140
,3310
,2280
,2360
,2370
,2090
,1610
,2560
,3100
,1080
,1390
,1790
,1640
,1890
,4930
,4430
,2200
,2320
,1140
,2270
,1940
,2250
,3090
