Time,BreathingWaveform
23/09/2019 13:48:55.411,6263089
23/09/2019 13:48:55.451,6259853
23/09/2019 13:48:55.491,6259853
23/09/2019 13:48:55.531,6259099
23/09/2019 13:48:55.571,6259099
23/09/2019 13:48:55.611,6258560
23/09/2019 13:48:55.651,6257805
23/09/2019 13:48:55.691,6257427
23/09/2019 13:48:55.731,6256888
23/09/2019 13:48:55.771,6255864
23/09/2019 13:48:55.811,6256403
23/09/2019 13:48:55.851,6256026
23/09/2019 13:48:55.891,6255702
23/09/2019 13:48:55.931,6255918
23/09/2019 13:48:55.971,6254139
23/09/2019 13:48:56.011,6254193
23/09/2019 13:48:56.051,6253654
23/09/2019 13:48:56.091,6254354
23/09/2019 13:48:56.131,6252629
23/09/2019 13:48:56.171,6252306
23/09/2019 13:48:56.211,6251659
23/09/2019 13:48:56.251,6251766
23/09/2019 13:48:56.291,6251173
23/09/2019 13:48:56.331,6250742
23/09/2019 13:48:56.371,6250850
23/09/2019 13:48:56.411,6250526
23/09/2019 13:48:56.451,6249718
23/09/2019 13:48:56.491,6249340
23/09/2019 13:48:56.531,6249826
23/09/2019 13:48:56.571,6249124
23/09/2019 13:48:56.611,6249287
23/09/2019 13:48:56.651,6249394
23/09/2019 13:48:56.691,6249178
23/09/2019 13:48:56.731,6249017
23/09/2019 13:48:56.771,6248585
23/09/2019 13:48:56.811,6248424
23/09/2019 13:48:56.851,6249071
23/09/2019 13:48:56.891,6249017
23/09/2019 13:48:56.931,6248693
23/09/2019 13:48:56.971,6249340
23/09/2019 13:48:57.011,6249124
23/09/2019 13:48:57.051,6249448
23/09/2019 13:48:57.091,6248154
23/09/2019 13:48:57.131,6247723
23/09/2019 13:48:57.171,6246645
23/09/2019 13:48:57.211,6246267
23/09/2019 13:48:57.251,6246429
23/09/2019 13:48:57.291,6247884
23/09/2019 13:48:57.331,6250688
23/09/2019 13:48:57.371,6242062
23/09/2019 13:48:57.411,6229446
23/09/2019 13:48:57.451,6219687
23/09/2019 13:48:57.491,6205778
23/09/2019 13:48:57.531,6196935
23/09/2019 13:48:57.571,6189819
23/09/2019 13:48:57.611,6185560
23/09/2019 13:48:57.651,6186422
23/09/2019 13:48:57.691,6184805
23/09/2019 13:48:57.731,6182648
23/09/2019 13:48:57.771,6177796
23/09/2019 13:48:57.811,6177472
23/09/2019 13:48:57.851,6176664
23/09/2019 13:48:57.891,6163509
23/09/2019 13:48:57.931,6140918
23/09/2019 13:48:57.971,6127925
23/09/2019 13:48:58.011,6122857
23/09/2019 13:48:58.051,6112074
23/09/2019 13:48:58.091,6108624
23/09/2019 13:48:58.131,6108354
23/09/2019 13:48:58.171,6107653
23/09/2019 13:48:58.211,6109163
23/09/2019 13:48:58.251,6107438
23/09/2019 13:48:58.291,6108300
23/09/2019 13:48:58.331,6108031
23/09/2019 13:48:58.371,6109810
23/09/2019 13:48:58.411,6110619
23/09/2019 13:48:58.451,6109918
23/09/2019 13:48:58.491,6108408
23/09/2019 13:48:58.531,6107438
23/09/2019 13:48:58.571,6106198
23/09/2019 13:48:58.611,6106144
23/09/2019 13:48:58.651,6106198
23/09/2019 13:48:58.691,6105011
23/09/2019 13:48:58.731,6102424
23/09/2019 13:48:58.771,6095792
23/09/2019 13:48:58.811,6094336
23/09/2019 13:48:58.851,6094175
23/09/2019 13:48:58.891,6090994
23/09/2019 13:48:58.931,6093042
23/09/2019 13:48:58.971,6090563
23/09/2019 13:48:59.011,6088136
23/09/2019 13:48:59.051,6086357
23/09/2019 13:48:59.091,6092288
