SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,23,49735661,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,23,49744035,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,23,49749036,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,23,49777090,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,23,49801074,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,23,49804979,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,23,49888199,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,23,49915459,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,23,50153820,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,23,50174579,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,23,50196330,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,23,50208190,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,23,51776530,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
