Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
23/09/2019 13:48:55.411,65,9.1,-3276.8,68,0.12,0.19,3.777,29,5247.000,65535.000,255,0.000000,0.000220,0,65535,0,65535,1,2,-0.32,-0.26,0.79,0.89,0.00,0.09,21.7,528,255,-128,-128,6553.5,416,422,496
23/09/2019 13:48:56.411,65,9.1,-3276.8,-68,0.09,0.16,3.733,22,4670.000,65535.000,255,0.000000,0.000080,0,65535,0,65535,1,3,-0.45,-0.24,0.71,0.91,0.01,0.15,21.7,528,255,-128,-128,6553.5,415,423,497
23/09/2019 13:48:57.411,65,9.2,-3276.8,65,0.44,0.81,3.702,17,4095.000,65535.000,255,0.000000,0.000040,0,65535,0,65535,1,4,-0.63,0.04,0.09,1.13,-0.80,0.22,21.7,528,255,-128,-128,6553.5,415,422,496
23/09/2019 13:48:58.411,65,9.2,-3276.8,63,0.77,1.03,3.681,13,3537.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,5,-0.90,0.60,-0.38,0.27,-1.16,-0.65,21.7,528,255,-128,-128,6553.5,417,424,497
23/09/2019 13:48:59.411,65,9.5,-3276.8,47,0.49,0.98,3.665,10,3086.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,6,-1.27,-0.28,-0.10,0.63,-1.06,0.14,21.7,528,255,-128,-128,6553.5,416,423,496
23/09/2019 13:49:00.411,65,9.5,-3276.8,29,0.68,1.08,3.659,9,2674.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,7,-1.34,-0.04,-0.93,1.02,0.08,0.75,21.7,528,255,-128,-128,6553.5,421,402,497
23/09/2019 13:49:01.411,65,9.7,-3276.8,14,0.44,0.66,3.668,11,2330.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,8,-1.22,-0.38,-0.43,0.32,-0.30,0.10,21.7,528,255,-128,-128,6553.5,412,420,496
23/09/2019 13:49:02.411,0,9.7,-3276.8,2,0.37,0.51,3.678,13,2041.000,65535.000,255,0.000800,0.000220,0,65535,0,65535,1,9,-1.18,-0.86,-0.39,0.07,-0.12,0.32,21.7,528,255,-128,-128,6553.5,419,441,501
23/09/2019 13:49:03.411,0,10.1,-3276.8,-10,0.28,0.56,3.691,15,1847.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,3,0,-1.48,-0.74,-0.45,-0.20,-0.04,0.28,21.7,528,255,-128,-128,6553.5,416,422,496
23/09/2019 13:49:04.411,0,10.1,-3276.8,-15,0.14,0.19,3.701,16,1618.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,3,1,-1.02,-0.90,-0.38,-0.26,0.09,0.24,21.7,528,255,-128,-128,6553.5,414,421,496
23/09/2019 13:49:05.411,0,10.4,-3276.8,-18,0.08,0.12,3.700,16,1421.000,65535.000,255,0.000800,0.000200,0,65535,0,65535,3,2,-1.03,-0.89,-0.36,-0.28,0.03,0.21,21.7,528,255,-128,-128,6553.5,418,423,497
23/09/2019 13:49:06.411,65,10.4,-3276.8,-18,0.09,0.42,3.672,12,1227.000,65535.000,255,0.000800,0.000520,0,65535,0,65535,3,3,-1.43,-0.56,-0.53,-0.03,-0.14,0.26,21.7,528,255,-128,-128,6553.5,420,425,499
23/09/2019 13:49:07.411,74,10.7,-3276.8,-15,0.27,0.85,3.642,7,1082.000,65535.000,255,0.009140,0.001060,0,65535,0,65535,3,4,-2.12,-0.51,-0.74,0.19,-0.73,0.43,21.7,528,255,-128,-128,6553.5,419,423,501
23/09/2019 13:49:08.411,79,10.7,-3276.8,-17,0.12,0.25,3.625,4,959.000,65535.000,255,0.009140,0.001260,0,65535,0,65535,1,0,-1.06,-0.87,-0.37,-0.15,0.00,0.31,21.7,528,255,-128,-128,6553.5,398,408,471
23/09/2019 13:49:09.411,81,10.9,-3276.8,-18,0.05,0.13,3.621,3,900.000,65535.000,255,0.009040,0.001480,0,65535,0,65535,1,1,-1.04,-0.92,-0.38,-0.16,-0.03,0.15,21.7,528,255,-128,-128,6553.5,415,422,496
23/09/2019 13:49:10.411,82,10.9,-3276.8,-14,0.10,0.16,3.624,4,807.000,65535.000,255,0.009040,0.001460,0,65535,0,65535,1,2,-1.04,-0.97,-0.26,-0.07,-0.01,0.13,21.7,528,255,-128,-128,6553.5,415,422,496
23/09/2019 13:49:11.411,83,11.0,-3276.8,-11,0.09,0.13,3.641,6,711.000,65535.000,255,0.008180,0.001180,0,65535,0,65535,1,3,-1.04,-0.96,-0.14,-0.06,0.00,0.10,21.7,528,255,-128,-128,6553.5,415,422,496
23/09/2019 13:49:12.411,83,11.0,-3276.8,-8,0.05,0.08,3.661,10,612.000,65535.000,255,0.008180,0.001980,0,65535,0,65535,1,4,-1.03,-0.95,-0.15,-0.07,-0.01,0.10,21.7,528,255,-128,-128,6553.5,415,422,496
23/09/2019 13:49:13.411,83,11.3,-3276.8,-7,0.03,0.06,3.681,13,542.000,65535.000,255,0.008180,0.001320,0,65535,0,65535,1,5,-1.04,-0.93,-0.15,-0.07,0.02,0.12,21.7,528,255,-128,-128,6553.5,415,424,496
23/09/2019 13:49:14.411,83,11.3,-3276.8,-8,0.03,0.10,3.693,15,468.000,65535.000,255,0.008180,0.001540,0,65535,0,65535,1,6,-1.04,-0.91,-0.20,0.02,0.00,0.15,21.7,528,255,-128,-128,6553.5,415,423,496
23/09/2019 13:49:15.411,82,11.5,-3276.8,-9,0.05,0.16,3.701,16,409.000,65535.000,255,0.008180,0.001440,0,65535,0,65535,1,7,-1.14,-0.91,-0.26,-0.10,0.04,0.32,21.7,528,255,-128,-128,6553.5,415,423,496
23/09/2019 13:49:16.411,82,11.5,-3276.8,-12,0.08,0.16,3.695,15,355.000,65535.000,255,0.008180,0.002540,0,65535,0,65535,1,8,-1.04,-0.91,-0.38,-0.15,0.04,0.19,21.8,528,255,-128,-128,6553.5,423,430,496
23/09/2019 13:49:17.411,82,11.7,-3276.8,-14,0.07,0.13,3.685,14,318.000,65535.000,255,0.008180,0.002200,0,65535,0,65535,1,9,-1.03,-0.93,-0.33,-0.19,0.00,0.16,21.8,528,255,-128,-128,6553.5,415,421,496
23/09/2019 13:49:18.411,82,11.7,-3276.8,-14,0.08,0.45,3.661,10,287.000,65535.000,255,0.008180,0.002720,0,65535,0,65535,1,10,-1.40,-0.86,-0.37,-0.09,-0.16,0.43,21.9,528,255,-128,-128,6553.5,383,392,488
23/09/2019 13:49:19.411,82,11.9,-3276.8,-16,0.09,0.16,3.631,5,258.000,65535.000,255,0.008180,0.003720,0,65535,0,65535,1,11,-1.03,-0.90,-0.38,-0.04,-0.09,0.20,22.0,528,255,-128,-128,6553.5,416,422,496
23/09/2019 13:49:20.411,82,11.9,-3276.8,-18,0.05,0.07,3.606,1,227.000,65535.000,255,0.008180,0.003820,0,65535,0,65535,1,12,-1.02,-0.93,-0.38,-0.30,0.08,0.15,22.0,528,255,-128,-128,6553.5,416,424,495
