Time,BreathingWaveform
13/09/2019 12:35:51.440,6848338
13/09/2019 12:35:51.480,6872885
13/09/2019 12:35:51.520,6871922
13/09/2019 12:35:51.560,6871922
13/09/2019 12:35:51.600,6871922
13/09/2019 12:35:51.640,6871922
13/09/2019 12:35:51.680,6875612
13/09/2019 12:35:51.720,6866735
13/09/2019 12:35:51.760,6859462
13/09/2019 12:35:51.800,6865237
13/09/2019 12:35:51.840,6858606
13/09/2019 12:35:51.880,6849514
13/09/2019 12:35:51.920,6848552
13/09/2019 12:35:51.960,6849996
13/09/2019 12:35:52.000,6850210
13/09/2019 12:35:52.040,6851600
13/09/2019 12:35:52.080,6853899
13/09/2019 12:35:52.120,6852081
13/09/2019 12:35:52.160,6853472
13/09/2019 12:35:52.200,6851600
13/09/2019 12:35:52.240,6850905
13/09/2019 12:35:52.280,6849835
13/09/2019 12:35:52.320,6844059
13/09/2019 12:35:52.360,6843578
13/09/2019 12:35:52.400,6863954
13/09/2019 12:35:52.440,6866039
13/09/2019 12:35:52.480,6880319
13/09/2019 12:35:52.520,6900801
13/09/2019 12:35:52.560,6952249
13/09/2019 12:35:52.600,6967544
13/09/2019 12:35:52.640,6986850
13/09/2019 12:35:52.680,7003269
13/09/2019 12:35:52.720,7024126
13/09/2019 12:35:52.760,7056534
13/09/2019 12:35:52.800,7066000
13/09/2019 12:35:52.840,7077605
13/09/2019 12:35:52.880,7094558
13/09/2019 12:35:52.920,7112741
13/09/2019 12:35:52.960,7119908
13/09/2019 12:35:53.000,7126914
13/09/2019 12:35:53.040,7133171
13/09/2019 12:35:53.080,7130764
13/09/2019 12:35:53.120,7121512
13/09/2019 12:35:53.160,7117341
13/09/2019 12:35:53.200,7108944
13/09/2019 12:35:53.240,7120336
13/09/2019 12:35:53.280,7107982
13/09/2019 12:35:53.320,7105682
13/09/2019 12:35:53.360,7099639
13/09/2019 12:35:53.400,7075252
13/09/2019 12:35:53.440,7041025
13/09/2019 12:35:53.480,7003964
13/09/2019 12:35:53.520,6951072
13/09/2019 12:35:53.560,6878019
13/09/2019 12:35:53.600,6824646
13/09/2019 12:35:53.640,6779723
13/09/2019 12:35:53.680,6784590
13/09/2019 12:35:53.720,6759829
13/09/2019 12:35:53.760,6711964
13/09/2019 12:35:53.800,6687150
13/09/2019 12:35:53.840,6663244
13/09/2019 12:35:53.880,6589389
13/09/2019 12:35:53.920,6676935
13/09/2019 12:35:53.960,6955725
13/09/2019 12:35:54.000,7228204
