SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,13,45351440,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,13,45374433,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,13,45374850,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,13,45387845,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,13,45388729,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,13,45388729,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,13,45393469,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,13,45393469,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,13,45394469,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,13,45395599,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,13,45399479,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,13,45407349,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,13,45408349,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,13,46112209,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,13,46145829,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,13,46286200,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,13,46315959,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,13,46649950,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,13,46704439,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,13,47416519,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,13,47416790,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,13,47416790,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
