Time,BreathingWaveform
14/10/2019 10:22:43.427,3902192
14/10/2019 10:22:43.467,3917755
14/10/2019 10:22:43.507,3917755
14/10/2019 10:22:43.547,3924440
14/10/2019 10:22:43.587,3924440
14/10/2019 10:22:43.627,3927328
14/10/2019 10:22:43.667,3928558
14/10/2019 10:22:43.707,3927006
14/10/2019 10:22:43.747,3928718
14/10/2019 10:22:43.787,3928130
14/10/2019 10:22:43.827,3923798
14/10/2019 10:22:43.867,3916738
14/10/2019 10:22:43.907,3920161
14/10/2019 10:22:43.947,3921231
14/10/2019 10:22:43.987,3905722
14/10/2019 10:22:44.027,3901229
14/10/2019 10:22:44.067,3905454
14/10/2019 10:22:44.107,3901336
14/10/2019 10:22:44.147,3900748
14/10/2019 10:22:44.187,3906203
14/10/2019 10:22:44.227,3912193
14/10/2019 10:22:44.267,3919412
14/10/2019 10:22:44.307,3925563
14/10/2019 10:22:44.347,3932141
14/10/2019 10:22:44.387,3934708
14/10/2019 10:22:44.427,3935670
14/10/2019 10:22:44.467,3934387
14/10/2019 10:22:44.507,3930429
14/10/2019 10:22:44.547,3921284
14/10/2019 10:22:44.587,3929948
14/10/2019 10:22:44.627,3931338
14/10/2019 10:22:44.667,3919466
14/10/2019 10:22:44.707,3894491
14/10/2019 10:22:44.747,3896630
14/10/2019 10:22:44.787,3901924
14/10/2019 10:22:44.827,3906898
14/10/2019 10:22:44.867,3916311
14/10/2019 10:22:44.907,3924386
14/10/2019 10:22:44.947,3931552
14/10/2019 10:22:44.987,3933424
14/10/2019 10:22:45.027,3936205
14/10/2019 10:22:45.067,3933157
14/10/2019 10:22:45.107,3927595
14/10/2019 10:22:45.147,3919306
14/10/2019 10:22:45.187,3925188
14/10/2019 10:22:45.227,3924493
14/10/2019 10:22:45.267,3914278
14/10/2019 10:22:45.307,3897218
14/10/2019 10:22:45.347,3898021
14/10/2019 10:22:45.387,3901336
14/10/2019 10:22:45.427,3905561
14/10/2019 10:22:45.467,3909305
14/10/2019 10:22:45.507,3913583
14/10/2019 10:22:45.547,3914278
14/10/2019 10:22:45.587,3911177
14/10/2019 10:22:45.627,3911016
14/10/2019 10:22:45.667,3904866
14/10/2019 10:22:45.707,3905882
14/10/2019 10:22:45.747,3921284
14/10/2019 10:22:45.787,3900427
14/10/2019 10:22:45.827,3894063
14/10/2019 10:22:45.867,3897432
14/10/2019 10:22:45.907,3901122
14/10/2019 10:22:45.947,3906042
14/10/2019 10:22:45.987,3918236
14/10/2019 10:22:46.027,3932943
14/10/2019 10:22:46.067,3939307
14/10/2019 10:22:46.107,3940056
14/10/2019 10:22:46.147,3943264
14/10/2019 10:22:46.187,3945029
14/10/2019 10:22:46.227,3942034
14/10/2019 10:22:46.267,3935777
14/10/2019 10:22:46.307,3929146
14/10/2019 10:22:46.347,3945617
14/10/2019 10:22:46.387,3929413
14/10/2019 10:22:46.427,3919306
14/10/2019 10:22:46.467,3913155
14/10/2019 10:22:46.507,3907754
14/10/2019 10:22:46.547,3909786
14/10/2019 10:22:46.587,3915241
14/10/2019 10:22:46.627,3920161
14/10/2019 10:22:46.667,3923263
14/10/2019 10:22:46.707,3927702
14/10/2019 10:22:46.747,3928344
14/10/2019 10:22:46.787,3931552
14/10/2019 10:22:46.827,3934654
14/10/2019 10:22:46.867,3937489
14/10/2019 10:22:46.907,3937970
14/10/2019 10:22:46.947,3937114
14/10/2019 10:22:46.987,3934654
14/10/2019 10:22:47.027,3930483
14/10/2019 10:22:47.067,3930322
14/10/2019 10:22:47.107,3932408
14/10/2019 10:22:47.147,3933050
14/10/2019 10:22:47.187,3926204
14/10/2019 10:22:47.227,3929788
14/10/2019 10:22:47.267,3932729
14/10/2019 10:22:47.307,3938932
14/10/2019 10:22:47.347,3943050
14/10/2019 10:22:47.387,3944708
14/10/2019 10:22:47.427,3946687
14/10/2019 10:22:47.467,3947275
14/10/2019 10:22:47.507,3946473
14/10/2019 10:22:47.547,3945511
14/10/2019 10:22:47.587,3948933
14/10/2019 10:22:47.627,3950538
14/10/2019 10:22:47.667,3949896
14/10/2019 10:22:47.707,3945511
14/10/2019 10:22:47.747,3946259
14/10/2019 10:22:47.787,3945457
14/10/2019 10:22:47.827,3948078
14/10/2019 10:22:47.867,3951340
14/10/2019 10:22:47.907,3952035
14/10/2019 10:22:47.947,3955404
14/10/2019 10:22:47.987,3956207
14/10/2019 10:22:48.027,3957383
14/10/2019 10:22:48.067,3961341
14/10/2019 10:22:48.107,3959148
14/10/2019 10:22:48.147,3962998
14/10/2019 10:22:48.187,3960485
14/10/2019 10:22:48.227,3960592
14/10/2019 10:22:48.267,3959041
14/10/2019 10:22:48.307,3955886
14/10/2019 10:22:48.347,3958720
14/10/2019 10:22:48.387,3957062
14/10/2019 10:22:48.427,3958453
14/10/2019 10:22:48.467,3960913
14/10/2019 10:22:48.507,3960164
14/10/2019 10:22:48.547,3963266
14/10/2019 10:22:48.587,3961020
14/10/2019 10:22:48.627,3962089
14/10/2019 10:22:48.667,3964336
14/10/2019 10:22:48.707,3962998
14/10/2019 10:22:48.747,3966742
