SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,10,14,37363677,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,10,14,37368981,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,14,37369052,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,10,14,37377942,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,14,37378051,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,10,14,37383051,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,14,37447749,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,14,37461499,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.48g
0,2019,10,14,37503239,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,14,37635370,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,14,37649240,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,14,37944859,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,14,38071100,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,14,38158730,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,14,38832840,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,14,38840839,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,14,38955189,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,14,38994969,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
