Time,BreathingWaveform
12/09/2019 09:16:26.435,6478686
12/09/2019 09:16:26.475,6459433
12/09/2019 09:16:26.515,6464995
12/09/2019 09:16:26.555,6464995
12/09/2019 09:16:26.595,6470931
12/09/2019 09:16:26.635,6470931
12/09/2019 09:16:26.675,6475423
12/09/2019 09:16:26.715,6477562
12/09/2019 09:16:26.755,6473605
12/09/2019 09:16:26.795,6475317
12/09/2019 09:16:26.835,6486922
12/09/2019 09:16:26.875,6487189
12/09/2019 09:16:26.915,6492590
12/09/2019 09:16:26.955,6507404
12/09/2019 09:16:26.995,6526283
12/09/2019 09:16:27.035,6526443
12/09/2019 09:16:27.075,6533770
12/09/2019 09:16:27.115,6533289
12/09/2019 09:16:27.155,6538690
12/09/2019 09:16:27.195,6553771
12/09/2019 09:16:27.235,6540615
12/09/2019 09:16:27.275,6540187
12/09/2019 09:16:27.315,6503875
12/09/2019 09:16:27.355,6464246
12/09/2019 09:16:27.395,6420339
12/09/2019 09:16:27.435,6396648
12/09/2019 09:16:27.475,6405204
12/09/2019 09:16:27.515,6393974
12/09/2019 09:16:27.555,6391781
12/09/2019 09:16:27.595,6392690
12/09/2019 09:16:27.635,6390016
12/09/2019 09:16:27.675,6388893
12/09/2019 09:16:27.715,6390765
12/09/2019 09:16:27.755,6394562
12/09/2019 09:16:27.795,6399536
12/09/2019 09:16:27.835,6402317
12/09/2019 09:16:27.875,6403279
12/09/2019 09:16:27.915,6405044
12/09/2019 09:16:27.955,6405525
12/09/2019 09:16:27.995,6406328
12/09/2019 09:16:28.035,6406381
12/09/2019 09:16:28.075,6405846
12/09/2019 09:16:28.115,6406381
12/09/2019 09:16:28.155,6408146
12/09/2019 09:16:28.195,6409109
12/09/2019 09:16:28.235,6408413
12/09/2019 09:16:28.275,6409322
12/09/2019 09:16:28.315,6409590
12/09/2019 09:16:28.355,6411729
12/09/2019 09:16:28.395,6416328
12/09/2019 09:16:28.435,6423601
12/09/2019 09:16:28.475,6430768
12/09/2019 09:16:28.515,6436383
12/09/2019 09:16:28.555,6441571
12/09/2019 09:16:28.595,6445689
12/09/2019 09:16:28.635,6446330
12/09/2019 09:16:28.675,6446651
12/09/2019 09:16:28.715,6448095
12/09/2019 09:16:28.755,6450769
12/09/2019 09:16:28.795,6451197
12/09/2019 09:16:28.835,6455690
12/09/2019 09:16:28.875,6464514
12/09/2019 09:16:28.915,6473391
12/09/2019 09:16:28.955,6488419
12/09/2019 09:16:28.995,6499864
12/09/2019 09:16:29.035,6508207
12/09/2019 09:16:29.075,6510025
12/09/2019 09:16:29.115,6512111
12/09/2019 09:16:29.155,6517458
12/09/2019 09:16:29.195,6519705
12/09/2019 09:16:29.235,6522807
12/09/2019 09:16:29.275,6525641
12/09/2019 09:16:29.315,6528422
12/09/2019 09:16:29.355,6531738
12/09/2019 09:16:29.395,6532540
12/09/2019 09:16:29.435,6533342
12/09/2019 09:16:29.475,6533502
12/09/2019 09:16:29.515,6531203
12/09/2019 09:16:29.555,6530080
12/09/2019 09:16:29.595,6530133
12/09/2019 09:16:29.635,6529866
12/09/2019 09:16:29.675,6530347
12/09/2019 09:16:29.715,6531096
12/09/2019 09:16:29.755,6532058
12/09/2019 09:16:29.795,6532486
12/09/2019 09:16:29.835,6535000
12/09/2019 09:16:29.875,6535321
12/09/2019 09:16:29.915,6535695
12/09/2019 09:16:29.955,6535749
12/09/2019 09:16:29.995,6535749
12/09/2019 09:16:30.035,6536444
12/09/2019 09:16:30.075,6536337
12/09/2019 09:16:30.115,6537674
12/09/2019 09:16:30.155,6537941
12/09/2019 09:16:30.195,6539064
12/09/2019 09:16:30.235,6539706
12/09/2019 09:16:30.275,6540187
12/09/2019 09:16:30.315,6539118
12/09/2019 09:16:30.355,6539385
12/09/2019 09:16:30.395,6539706
12/09/2019 09:16:30.435,6539813
12/09/2019 09:16:30.475,6540401
12/09/2019 09:16:30.515,6540883
12/09/2019 09:16:30.555,6541524
12/09/2019 09:16:30.595,6543129
12/09/2019 09:16:30.635,6543022
12/09/2019 09:16:30.675,6543022
12/09/2019 09:16:30.715,6543557
12/09/2019 09:16:30.755,6545910
12/09/2019 09:16:30.795,6545321
12/09/2019 09:16:30.835,6545963
12/09/2019 09:16:30.875,6544947
12/09/2019 09:16:30.915,6545054
12/09/2019 09:16:30.955,6545375
12/09/2019 09:16:30.995,6545803
12/09/2019 09:16:31.035,6545321
12/09/2019 09:16:31.075,6542594
12/09/2019 09:16:31.115,6541364
12/09/2019 09:16:31.155,6540080
12/09/2019 09:16:31.195,6540990
12/09/2019 09:16:31.235,6541952
12/09/2019 09:16:31.275,6544038
12/09/2019 09:16:31.315,6545856
12/09/2019 09:16:31.355,6548049
12/09/2019 09:16:31.395,6547995
12/09/2019 09:16:31.435,6545268
12/09/2019 09:16:31.475,6543129
12/09/2019 09:16:31.515,6543022
12/09/2019 09:16:31.555,6544091
12/09/2019 09:16:31.595,6543503
12/09/2019 09:16:31.635,6543343
12/09/2019 09:16:31.675,6543129
12/09/2019 09:16:31.715,6542380
12/09/2019 09:16:31.755,6543343
12/09/2019 09:16:31.795,6543236
12/09/2019 09:16:31.835,6540455
12/09/2019 09:16:31.875,6539599
12/09/2019 09:16:31.915,6544573
12/09/2019 09:16:31.955,6545535
12/09/2019 09:16:31.995,6545268
12/09/2019 09:16:32.035,6545268
12/09/2019 09:16:32.075,6543236
12/09/2019 09:16:32.115,6539706
12/09/2019 09:16:32.155,6542327
12/09/2019 09:16:32.195,6543129
12/09/2019 09:16:32.235,6541952
12/09/2019 09:16:32.275,6540883
12/09/2019 09:16:32.315,6540348
12/09/2019 09:16:32.355,6538690
12/09/2019 09:16:32.395,6534572
12/09/2019 09:16:32.435,6527620
12/09/2019 09:16:32.475,6526550
12/09/2019 09:16:32.515,6528048
12/09/2019 09:16:32.555,6525641
12/09/2019 09:16:32.595,6522004
12/09/2019 09:16:32.635,6518475
12/09/2019 09:16:32.675,6520133
12/09/2019 09:16:32.715,6520400
12/09/2019 09:16:32.755,6517138
12/09/2019 09:16:32.795,6516282
12/09/2019 09:16:32.835,6515640
12/09/2019 09:16:32.875,6521523
12/09/2019 09:16:32.915,6521844
12/09/2019 09:16:32.955,6527620
12/09/2019 09:16:32.995,6535428
12/09/2019 09:16:33.035,6539546
12/09/2019 09:16:33.075,6542540
12/09/2019 09:16:33.115,6544893
12/09/2019 09:16:33.155,6544626
12/09/2019 09:16:33.195,6541952
12/09/2019 09:16:33.235,6538690
12/09/2019 09:16:33.275,6536123
12/09/2019 09:16:33.315,6535374
12/09/2019 09:16:33.355,6533395
12/09/2019 09:16:33.395,6530026
12/09/2019 09:16:33.435,6519651
12/09/2019 09:16:33.475,6516389
12/09/2019 09:16:33.515,6514570
12/09/2019 09:16:33.555,6519277
12/09/2019 09:16:33.595,6522699
12/09/2019 09:16:33.635,6521790
12/09/2019 09:16:33.675,6524678
12/09/2019 09:16:33.715,6526443
12/09/2019 09:16:33.755,6527887
12/09/2019 09:16:33.795,6530240
12/09/2019 09:16:33.835,6529117
12/09/2019 09:16:33.875,6527085
12/09/2019 09:16:33.915,6525748
12/09/2019 09:16:33.955,6521951
12/09/2019 09:16:33.995,6519491
12/09/2019 09:16:34.035,6517726
12/09/2019 09:16:34.075,6511095
12/09/2019 09:16:34.115,6507404
12/09/2019 09:16:34.155,6510292
12/09/2019 09:16:34.195,6513234
12/09/2019 09:16:34.235,6513287
12/09/2019 09:16:34.275,6512859
12/09/2019 09:16:34.315,6513822
12/09/2019 09:16:34.355,6511736
12/09/2019 09:16:34.395,6508474
12/09/2019 09:16:34.435,6510667
12/09/2019 09:16:34.475,6500505
12/09/2019 09:16:34.515,6500505
12/09/2019 09:16:34.555,6489810
12/09/2019 09:16:34.595,6482162
12/09/2019 09:16:34.635,6470664
12/09/2019 09:16:34.675,6458256
12/09/2019 09:16:34.715,6454566
12/09/2019 09:16:34.755,6451785
12/09/2019 09:16:34.795,6449058
12/09/2019 09:16:34.835,6445956
12/09/2019 09:16:34.875,6446117
12/09/2019 09:16:34.915,6446758
12/09/2019 09:16:34.955,6444886
12/09/2019 09:16:34.995,6444031
12/09/2019 09:16:35.035,6442694
12/09/2019 09:16:35.075,6441731
12/09/2019 09:16:35.115,6439752
12/09/2019 09:16:35.155,6436009
12/09/2019 09:16:35.195,6436009
12/09/2019 09:16:35.235,6435207
12/09/2019 09:16:35.275,6434939
12/09/2019 09:16:35.315,6423923
12/09/2019 09:16:35.355,6421997
12/09/2019 09:16:35.395,6437079
12/09/2019 09:16:35.435,6451465
12/09/2019 09:16:35.475,6469006
12/09/2019 09:16:35.515,6480130
12/09/2019 09:16:35.555,6497136
12/09/2019 09:16:35.595,6510613
12/09/2019 09:16:35.635,6515105
12/09/2019 09:16:35.675,6526924
12/09/2019 09:16:35.715,6531577
12/09/2019 09:16:35.755,6536711
12/09/2019 09:16:35.795,6542166
12/09/2019 09:16:35.835,6544680
12/09/2019 09:16:35.875,6546926
12/09/2019 09:16:35.915,6543450
12/09/2019 09:16:35.955,6523823
12/09/2019 09:16:35.995,6491842
12/09/2019 09:16:36.035,6455796
12/09/2019 09:16:36.075,6446758
12/09/2019 09:16:36.115,6440554
12/09/2019 09:16:36.155,6437720
12/09/2019 09:16:36.195,6434618
12/09/2019 09:16:36.235,6431891
12/09/2019 09:16:36.275,6429431
12/09/2019 09:16:36.315,6429056
12/09/2019 09:16:36.355,6434779
12/09/2019 09:16:36.395,6439325
12/09/2019 09:16:36.435,6443550
12/09/2019 09:16:36.475,6444940
12/09/2019 09:16:36.515,6444940
12/09/2019 09:16:36.555,6444673
12/09/2019 09:16:36.595,6445742
12/09/2019 09:16:36.635,6446170
12/09/2019 09:16:36.675,6446919
12/09/2019 09:16:36.715,6449807
12/09/2019 09:16:36.755,6459433
12/09/2019 09:16:36.795,6463979
12/09/2019 09:16:36.835,6458203
12/09/2019 09:16:36.875,6457561
12/09/2019 09:16:36.915,6459273
12/09/2019 09:16:36.955,6456545
12/09/2019 09:16:36.995,6457134
12/09/2019 09:16:37.035,6457026
12/09/2019 09:16:37.075,6455262
12/09/2019 09:16:37.115,6455529
12/09/2019 09:16:37.155,6452213
12/09/2019 09:16:37.195,6451411
12/09/2019 09:16:37.235,6450235
12/09/2019 09:16:37.275,6447614
12/09/2019 09:16:37.315,6447774
12/09/2019 09:16:37.355,6449111
12/09/2019 09:16:37.395,6449272
12/09/2019 09:16:37.435,6446437
12/09/2019 09:16:37.475,6445421
12/09/2019 09:16:37.515,6446598
12/09/2019 09:16:37.555,6445154
12/09/2019 09:16:37.595,6446170
12/09/2019 09:16:37.635,6443924
12/09/2019 09:16:37.675,6442159
12/09/2019 09:16:37.715,6440876
12/09/2019 09:16:37.755,6441303
12/09/2019 09:16:37.795,6449432
12/09/2019 09:16:37.835,6449539
12/09/2019 09:16:37.875,6453604
12/09/2019 09:16:37.915,6460770
12/09/2019 09:16:37.955,6474675
12/09/2019 09:16:37.995,6485959
12/09/2019 09:16:38.035,6489756
12/09/2019 09:16:38.075,6490826
12/09/2019 09:16:38.115,6493981
12/09/2019 09:16:38.155,6495799
12/09/2019 09:16:38.195,6496922
12/09/2019 09:16:38.235,6496387
12/09/2019 09:16:38.275,6497564
12/09/2019 09:16:38.315,6493981
12/09/2019 09:16:38.355,6494088
12/09/2019 09:16:38.395,6492965
12/09/2019 09:16:38.435,6491628
12/09/2019 09:16:38.475,6490772
12/09/2019 09:16:38.515,6487617
