Time,BreathingWaveform
27/09/2019 07:54:08.411,6859248
27/09/2019 07:54:08.451,6867751
27/09/2019 07:54:08.491,6867751
27/09/2019 07:54:08.531,6871013
27/09/2019 07:54:08.571,6871013
27/09/2019 07:54:08.611,6872778
27/09/2019 07:54:08.651,6872457
27/09/2019 07:54:08.691,6872296
27/09/2019 07:54:08.731,6873366
27/09/2019 07:54:08.771,6881067
27/09/2019 07:54:08.811,6884436
27/09/2019 07:54:08.851,6878768
27/09/2019 07:54:08.891,6875131
27/09/2019 07:54:08.931,6867483
27/09/2019 07:54:08.971,6864702
27/09/2019 07:54:09.011,6864382
27/09/2019 07:54:09.051,6862350
27/09/2019 07:54:09.091,6856520
27/09/2019 07:54:09.131,6854007
27/09/2019 07:54:09.171,6849996
27/09/2019 07:54:09.211,6843043
27/09/2019 07:54:09.251,6833149
27/09/2019 07:54:09.291,6819405
27/09/2019 07:54:09.331,6811169
27/09/2019 07:54:09.371,6805500
27/09/2019 07:54:09.411,6803629
27/09/2019 07:54:09.451,6803522
27/09/2019 07:54:09.491,6804324
27/09/2019 07:54:09.531,6800206
27/09/2019 07:54:09.571,6797906
27/09/2019 07:54:09.611,6793521
27/09/2019 07:54:09.651,6783467
27/09/2019 07:54:09.691,6761808
27/09/2019 07:54:09.731,6741539
27/09/2019 07:54:09.771,6729613
27/09/2019 07:54:09.811,6712766
27/09/2019 07:54:09.851,6707472
27/09/2019 07:54:09.891,6720254
27/09/2019 07:54:09.931,6730468
27/09/2019 07:54:09.971,6735709
27/09/2019 07:54:10.011,6738651
27/09/2019 07:54:10.051,6739988
27/09/2019 07:54:10.091,6740041
27/09/2019 07:54:10.131,6740522
27/09/2019 07:54:10.171,6742555
27/09/2019 07:54:10.211,6745282
27/09/2019 07:54:10.251,6750202
27/09/2019 07:54:10.291,6752609
27/09/2019 07:54:10.331,6750042
27/09/2019 07:54:10.371,6749935
27/09/2019 07:54:10.411,6749454
27/09/2019 07:54:10.451,6749347
27/09/2019 07:54:10.491,6747475
27/09/2019 07:54:10.531,6744641
27/09/2019 07:54:10.571,6745015
27/09/2019 07:54:10.611,6743571
27/09/2019 07:54:10.651,6737634
27/09/2019 07:54:10.691,6720147
27/09/2019 07:54:10.731,6705440
27/09/2019 07:54:10.771,6688059
27/09/2019 07:54:10.811,6652976
27/09/2019 07:54:10.851,6636558
27/09/2019 07:54:10.891,6628590
27/09/2019 07:54:10.931,6617840
27/09/2019 07:54:10.971,6621637
27/09/2019 07:54:11.011,6620567
27/09/2019 07:54:11.051,6619872
27/09/2019 07:54:11.091,6620139
27/09/2019 07:54:11.131,6621691
27/09/2019 07:54:11.171,6620728
27/09/2019 07:54:11.211,6622118
27/09/2019 07:54:11.251,6622065
27/09/2019 07:54:11.291,6622386
27/09/2019 07:54:11.331,6622439
27/09/2019 07:54:11.371,6621744
27/09/2019 07:54:11.411,6623349
27/09/2019 07:54:11.451,6626343
27/09/2019 07:54:11.491,6625702
27/09/2019 07:54:11.531,6624899
27/09/2019 07:54:11.571,6624204
27/09/2019 07:54:11.611,6623562
27/09/2019 07:54:11.651,6616878
27/09/2019 07:54:11.691,6616931
27/09/2019 07:54:11.731,6614738
27/09/2019 07:54:11.771,6614685
27/09/2019 07:54:11.811,6613027
27/09/2019 07:54:11.851,6612652
27/09/2019 07:54:11.891,6613080
27/09/2019 07:54:11.931,6613722
27/09/2019 07:54:11.971,6614043
27/09/2019 07:54:12.011,6613134
27/09/2019 07:54:12.051,6612438
27/09/2019 07:54:12.091,6611636
27/09/2019 07:54:12.131,6611369
27/09/2019 07:54:12.171,6611690
27/09/2019 07:54:12.211,6611476
27/09/2019 07:54:12.251,6611797
27/09/2019 07:54:12.291,6614257
27/09/2019 07:54:12.331,6617519
27/09/2019 07:54:12.371,6619177
27/09/2019 07:54:12.411,6619979
27/09/2019 07:54:12.451,6622439
27/09/2019 07:54:12.491,6623135
27/09/2019 07:54:12.531,6624525
27/09/2019 07:54:12.571,6624739
27/09/2019 07:54:12.611,6624151
27/09/2019 07:54:12.651,6624578
27/09/2019 07:54:12.691,6625167
27/09/2019 07:54:12.731,6624471
27/09/2019 07:54:12.771,6623883
27/09/2019 07:54:12.811,6626183
27/09/2019 07:54:12.851,6624792
27/09/2019 07:54:12.891,6622921
27/09/2019 07:54:12.931,6626236
27/09/2019 07:54:12.971,6629820
27/09/2019 07:54:13.011,6634740
27/09/2019 07:54:13.051,6639606
27/09/2019 07:54:13.091,6642066
27/09/2019 07:54:13.131,6640890
27/09/2019 07:54:13.171,6636130
27/09/2019 07:54:13.211,6636825
27/09/2019 07:54:13.251,6640516
27/09/2019 07:54:13.291,6640997
27/09/2019 07:54:13.331,6637574
27/09/2019 07:54:13.371,6637200
27/09/2019 07:54:13.411,6636504
27/09/2019 07:54:13.451,6630194
27/09/2019 07:54:13.491,6624685
27/09/2019 07:54:13.531,6623509
27/09/2019 07:54:13.571,6622600
27/09/2019 07:54:13.611,6624899
27/09/2019 07:54:13.651,6624471
27/09/2019 07:54:13.691,6629499
27/09/2019 07:54:13.731,6640302
27/09/2019 07:54:13.771,6650195
27/09/2019 07:54:13.811,6649767
27/09/2019 07:54:13.851,6647254
27/09/2019 07:54:13.891,6651532
27/09/2019 07:54:13.931,6662068
27/09/2019 07:54:13.971,6666774
27/09/2019 07:54:14.011,6662121
27/09/2019 07:54:14.051,6662710
27/09/2019 07:54:14.091,6657950
