SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,27,28448661,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,27,28450469,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,27,28451035,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,27,28457117,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,27,28459035,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,09,27,28468034,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,27,29152990,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,27,29158810,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,27,29375569,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,27,29395190,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,27,29558809,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,27,29603179,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,27,31091627,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,27,31092529,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,27,31092529,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
