Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
09/09/2019 07:24:16.420,65,6553.5,-3276.8,-91,0.25,0.36,4.176,96,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-0.04,0.01,-0.97,-0.91,-0.01,0.03,23.4,699,255,-128,-128,6553.5,406,405,505
09/09/2019 07:24:17.420,65,6553.5,-3276.8,-90,0.13,0.19,4.176,96,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-0.03,0.00,-0.98,-0.92,-0.03,0.02,23.4,699,255,-128,-128,6553.5,415,423,509
09/09/2019 07:24:18.420,65,6553.5,-3276.8,-89,0.06,0.10,4.176,96,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-0.03,0.00,-0.97,-0.92,-0.01,0.02,23.4,699,255,-128,-128,6553.5,415,418,495
09/09/2019 07:24:19.420,65,6553.5,-3276.8,-89,0.03,0.06,4.176,96,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-0.04,0.00,-0.98,-0.92,-0.01,0.03,23.4,699,254,1,12,6553.5,415,422,509
09/09/2019 07:24:20.420,65,6553.5,-3276.8,-89,0.02,0.10,4.176,96,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-0.19,0.00,-0.98,-0.93,-0.02,0.03,23.4,699,254,0,12,6553.5,415,423,509
09/09/2019 07:24:21.420,65,6553.5,-3276.8,-89,0.01,0.03,4.176,96,0.000,65535.000,0,0.000000,0.000020,0,65535,0,65535,0,0,-0.03,0.01,-0.98,-0.92,-0.02,0.02,23.4,699,254,0,12,6553.5,415,423,509
09/09/2019 07:24:22.420,65,6553.5,-3276.8,-89,0.01,0.09,4.176,96,0.000,65535.000,0,0.000000,0.000480,0,65535,0,65535,0,0,-0.03,0.01,-1.10,-0.92,-0.02,0.02,23.4,699,254,0,12,6553.5,414,422,510
09/09/2019 07:24:23.420,65,6553.5,-3276.8,-89,0.01,0.02,4.174,95,0.000,65535.000,0,0.000000,0.000840,0,65535,0,65535,0,0,-0.03,0.00,-0.98,-0.93,-0.02,0.03,23.4,699,254,0,12,6553.5,415,423,509
09/09/2019 07:24:24.420,65,6553.5,-3276.8,-89,0.01,0.03,4.173,95,0.000,65535.000,0,0.000000,0.000880,0,65535,0,65535,0,0,-0.03,0.01,-1.00,-0.92,-0.01,0.03,23.4,699,254,0,12,6553.5,414,422,508
09/09/2019 07:24:25.420,65,6553.5,-3276.8,-89,0.00,0.02,4.173,95,0.000,65535.000,0,0.000000,0.000780,0,65535,0,65535,0,0,-0.04,0.02,-0.97,-0.93,-0.01,0.03,23.4,699,254,0,12,6553.5,416,423,509
09/09/2019 07:24:26.420,0,6553.5,-3276.8,-89,0.01,0.02,4.173,95,0.000,65535.000,0,0.000800,0.000760,0,65535,0,65535,0,0,-0.04,0.00,-0.98,-0.92,-0.02,0.03,23.4,699,254,2,12,6553.5,414,422,509
09/09/2019 07:24:27.420,0,6553.5,-3276.8,-89,0.01,0.03,4.173,95,0.000,65535.000,0,0.000800,0.000740,0,65535,0,65535,0,0,-0.03,0.00,-0.98,-0.92,-0.02,0.03,23.4,699,254,2,12,6553.5,416,423,509
09/09/2019 07:24:28.420,0,6553.5,-3276.8,-89,0.01,0.02,4.173,95,0.000,65535.000,0,0.000800,0.000960,0,65535,0,65535,0,0,-0.03,0.00,-0.97,-0.91,0.00,0.02,23.4,699,254,3,12,6553.5,415,422,508
09/09/2019 07:24:29.420,0,6553.5,-3276.8,-89,0.01,0.02,4.173,95,0.000,65535.000,0,0.000800,0.000860,0,65535,0,65535,0,0,-0.03,0.01,-0.98,-0.92,-0.01,0.02,23.4,699,254,3,12,6553.5,416,424,509
09/09/2019 07:24:30.420,0,6553.5,-3276.8,-89,0.01,0.12,4.173,95,0.000,65535.000,0,0.000800,0.001020,0,65535,0,65535,0,0,-0.06,0.00,-0.98,-0.77,-0.02,0.02,23.4,699,254,0,12,6553.5,414,422,509
09/09/2019 07:24:31.420,0,6553.5,-3276.8,-89,0.01,0.02,4.173,95,0.000,65535.000,0,0.000800,0.000940,0,65535,0,65535,0,0,-0.03,0.00,-0.97,-0.92,-0.01,0.02,23.4,699,254,1,12,6553.5,415,424,509
09/09/2019 07:24:32.420,0,6553.5,-3276.8,-89,0.01,0.12,4.173,95,0.000,65535.000,0,0.000800,0.001140,0,65535,0,65535,0,0,-0.04,0.00,-0.98,-0.77,-0.02,0.02,23.4,699,254,0,12,6553.5,414,423,509
09/09/2019 07:24:33.420,0,6553.5,-3276.8,-89,0.00,0.02,4.173,95,0.000,65535.000,0,0.000800,0.000960,0,65535,0,65535,0,0,-0.04,0.00,-0.97,-0.93,-0.01,0.03,23.4,699,254,0,12,6553.5,416,422,509
09/09/2019 07:24:34.420,0,6553.5,-3276.8,-89,0.01,0.03,4.173,95,0.000,65535.000,0,0.000800,0.001320,0,65535,0,65535,0,0,-0.04,0.01,-1.00,-0.93,0.00,0.02,23.4,699,254,2,12,6553.5,415,423,508
09/09/2019 07:24:35.420,0,6553.5,-3276.8,-89,0.00,0.02,4.173,95,0.000,65535.000,0,0.000800,0.001700,0,65535,0,65535,0,0,-0.04,0.01,-0.97,-0.93,-0.01,0.03,23.4,699,254,0,12,6553.5,416,424,509
09/09/2019 07:24:36.420,0,6553.5,-3276.8,-89,0.01,0.02,4.173,95,0.000,65535.000,0,0.000800,0.001480,0,65535,0,65535,0,0,-0.03,0.01,-0.98,-0.92,-0.02,0.02,23.4,699,254,0,12,6553.5,417,424,524
09/09/2019 07:24:37.420,0,6553.5,-3276.8,-89,0.00,0.02,4.173,95,0.000,65535.000,0,0.000800,0.001440,0,65535,0,65535,0,0,-0.04,0.00,-0.97,-0.93,-0.02,0.02,23.4,699,254,0,12,6553.5,417,423,509
09/09/2019 07:24:38.420,0,6553.5,-3276.8,-89,0.00,0.02,4.173,95,0.000,65535.000,0,0.000800,0.001620,0,65535,0,65535,0,0,-0.03,0.00,-0.98,-0.92,-0.01,0.02,23.4,699,254,0,12,6553.5,416,425,510
09/09/2019 07:24:39.420,0,6553.5,-3276.8,-89,0.01,0.02,4.173,95,0.000,65535.000,0,0.000800,0.001900,0,65535,0,65535,0,0,-0.03,0.00,-0.97,-0.93,-0.02,0.02,23.4,699,254,0,12,6553.5,416,423,509
09/09/2019 07:24:40.420,0,6553.5,-3276.8,-89,0.01,0.02,4.173,95,0.000,65535.000,0,0.000800,0.001620,0,65535,0,65535,0,0,-0.03,0.00,-0.97,-0.92,-0.02,0.03,23.4,699,254,0,12,6553.5,416,425,509
09/09/2019 07:24:41.420,0,6553.5,-3276.8,-89,0.01,0.02,4.173,95,0.000,65535.000,0,0.000800,0.001680,0,65535,0,65535,0,0,-0.03,0.00,-0.98,-0.93,-0.01,0.03,23.4,699,254,0,12,6553.5,416,424,509
09/09/2019 07:24:42.420,0,6553.5,-3276.8,-89,0.01,0.02,4.173,95,0.000,65535.000,0,0.000800,0.001660,0,65535,0,65535,0,0,-0.03,0.01,-0.98,-0.92,-0.01,0.03,23.4,699,254,0,12,6553.5,417,426,508
09/09/2019 07:24:43.420,0,6553.5,-3276.8,-89,0.01,0.02,4.172,95,0.000,65535.000,0,0.000800,0.001340,0,65535,0,65535,0,0,-0.03,0.01,-0.97,-0.93,-0.01,0.02,23.4,699,254,0,12,6553.5,416,423,509
09/09/2019 07:24:44.420,0,6553.5,-3276.8,-89,0.01,0.02,4.172,95,0.000,65535.000,0,0.000800,0.001520,0,65535,0,65535,0,0,-0.04,0.01,-0.98,-0.91,-0.02,0.02,23.4,699,254,0,12,6553.5,417,420,494
09/09/2019 07:24:45.420,0,6553.5,-3276.8,-89,0.00,0.02,4.172,95,0.000,65535.000,0,0.000800,0.001320,0,65535,0,65535,0,0,-0.03,0.01,-0.97,-0.92,-0.02,0.01,23.4,699,254,0,12,6553.5,416,423,509
09/09/2019 07:24:46.420,0,6553.5,-3276.8,89,0.01,0.03,4.172,95,0.000,65535.000,0,0.000800,0.001640,0,65535,0,65535,0,0,-0.03,0.00,-0.98,-0.93,-0.01,0.03,23.4,699,254,0,12,6553.5,409,421,510
09/09/2019 07:24:47.420,0,6553.5,-3276.8,-89,0.01,0.03,4.172,95,0.000,65535.000,0,0.000800,0.001320,0,65535,0,65535,0,0,-0.03,0.00,-0.98,-0.93,-0.01,0.03,23.4,699,254,0,12,6553.5,416,423,509
09/09/2019 07:24:48.420,0,6553.5,-3276.8,-89,0.01,0.02,4.172,95,0.000,65535.000,0,0.000800,0.001800,0,65535,0,65535,0,0,-0.03,0.01,-0.97,-0.92,-0.02,0.02,23.5,699,254,0,12,6553.5,414,427,505
09/09/2019 07:24:49.420,0,6553.5,-3276.8,-89,0.01,0.03,4.172,95,0.000,65535.000,0,0.000800,0.002280,0,65535,0,65535,0,0,-0.03,0.00,-1.00,-0.92,-0.02,0.03,23.5,699,254,0,12,6553.5,416,424,508
09/09/2019 07:24:50.420,0,6553.5,-3276.8,-89,0.00,0.02,4.172,95,0.000,65535.000,0,0.000800,0.001820,0,65535,0,65535,0,0,-0.03,0.01,-0.97,-0.92,-0.01,0.02,23.5,699,254,2,12,6553.5,412,413,508
09/09/2019 07:24:51.420,0,6553.5,-3276.8,-89,0.00,0.02,4.172,95,0.000,65535.000,0,0.000800,0.001800,0,65535,0,65535,0,0,-0.03,0.01,-0.97,-0.93,-0.01,0.02,23.5,699,254,4,12,6553.5,416,424,509
09/09/2019 07:24:52.420,0,6553.5,-3276.8,-89,0.01,0.02,4.171,95,0.000,65535.000,0,0.000800,0.001520,0,65535,0,65535,0,0,-0.03,0.02,-0.97,-0.93,-0.01,0.02,23.6,699,254,0,12,6553.5,424,419,511
09/09/2019 07:24:53.420,0,6553.5,-3276.8,-89,0.00,0.08,4.170,95,0.000,65535.000,0,0.000800,0.001340,0,65535,0,65535,0,0,-0.04,0.00,-1.00,-0.79,-0.01,0.02,23.6,699,254,0,12,6553.5,416,423,508
09/09/2019 07:24:54.420,0,6553.5,-3276.8,-89,0.00,0.03,4.170,95,0.000,65535.000,0,0.000800,0.001120,0,65535,0,65535,0,0,-0.03,0.00,-1.00,-0.93,0.00,0.03,23.6,699,254,0,12,6553.5,415,415,506
09/09/2019 07:24:55.420,0,6553.5,-3276.8,-89,0.00,0.02,4.170,95,0.000,65535.000,0,0.000800,0.000840,0,65535,0,65535,0,0,-0.03,0.01,-0.98,-0.93,-0.01,0.02,23.6,699,254,0,12,6553.5,416,424,509
09/09/2019 07:24:56.420,0,6553.5,-3276.8,-89,0.01,0.02,4.170,95,0.000,65535.000,0,0.000800,0.000920,0,65535,0,65535,0,0,-0.03,0.00,-0.98,-0.92,-0.01,0.03,23.6,699,254,0,12,6553.5,415,422,509
09/09/2019 07:24:57.420,0,6553.5,-3276.8,-89,0.01,0.03,4.170,95,0.000,65535.000,0,0.000800,0.000880,0,65535,0,65535,0,0,-0.04,0.00,-0.98,-0.91,-0.01,0.03,23.6,699,254,0,12,6553.5,416,423,509
09/09/2019 07:24:58.420,0,6553.5,-3276.8,-89,0.01,0.02,4.170,95,0.000,65535.000,0,0.000800,0.001080,0,65535,0,65535,0,0,-0.03,0.00,-0.97,-0.93,-0.01,0.03,23.6,699,254,1,12,6553.5,415,422,509
09/09/2019 07:24:59.420,0,6553.5,-3276.8,-89,0.01,0.02,4.170,95,0.000,65535.000,0,0.000800,0.001080,0,65535,0,65535,0,0,-0.03,0.00,-0.98,-0.92,-0.02,0.03,23.6,699,254,3,12,6553.5,414,423,510
09/09/2019 07:25:00.420,0,6553.5,-3276.8,-91,0.69,0.68,4.170,95,0.000,65535.000,0,0.000800,0.000880,0,65535,0,65535,0,0,-0.21,0.19,-1.19,-0.65,-0.03,0.69,23.6,699,254,6,12,6553.5,415,423,509
09/09/2019 07:25:01.420,0,6553.5,-3276.8,-100,1.07,1.42,4.170,95,0.000,65535.000,0,0.000800,0.001080,0,65535,0,65535,0,0,-0.09,0.19,-0.62,0.79,0.51,1.14,23.6,699,254,5,12,6553.5,414,423,510
09/09/2019 07:25:02.420,0,6553.5,-3276.8,-103,0.62,1.09,4.170,95,0.000,65535.000,0,0.000800,0.001440,0,65535,0,65535,0,0,0.08,0.31,0.65,0.90,0.37,0.68,23.7,699,254,5,12,6553.5,415,423,508
09/09/2019 07:25:03.420,0,6553.5,-3276.8,-103,0.33,0.59,4.170,95,0.000,65535.000,0,0.000800,0.001180,0,65535,0,65535,0,0,0.18,0.27,0.77,0.87,0.36,0.50,23.7,699,254,1,12,6553.5,415,423,509
09/09/2019 07:25:04.420,0,6553.5,-3276.8,-103,0.17,0.33,4.170,95,0.000,65535.000,0,0.000800,0.001220,0,65535,0,65535,0,0,0.18,0.26,0.78,0.87,0.37,0.45,23.7,699,254,2,12,6553.5,415,423,508
09/09/2019 07:25:05.420,0,6553.5,-3276.8,-102,0.09,0.19,4.170,95,0.000,65535.000,0,0.000800,0.001280,0,65535,0,65535,0,0,0.18,0.24,0.79,0.87,0.37,0.45,23.7,699,254,4,12,6553.5,416,423,509
09/09/2019 07:25:06.420,0,6553.5,-3276.8,-102,0.05,0.10,4.170,95,0.000,65535.000,0,0.000800,0.001440,0,65535,0,65535,0,0,0.18,0.26,0.79,0.87,0.38,0.45,23.7,699,254,3,12,6553.5,415,424,509
09/09/2019 07:25:07.420,0,6553.5,-3276.8,-102,0.03,0.13,4.170,95,0.000,65535.000,0,0.000800,0.001140,0,65535,0,65535,0,0,0.00,0.24,0.79,0.87,0.37,0.44,23.7,699,254,0,12,6553.5,415,423,510
09/09/2019 07:25:08.420,0,6553.5,-3276.8,-102,0.02,0.06,4.170,95,0.000,65535.000,0,0.000800,0.001240,0,65535,0,65535,0,0,0.18,0.25,0.79,0.87,0.36,0.44,23.7,699,254,3,12,6553.5,416,423,510
09/09/2019 07:25:09.420,0,6553.5,-3276.8,-102,0.02,0.07,4.170,95,0.000,65535.000,0,0.000800,0.001140,0,65535,0,65535,0,0,0.18,0.26,0.78,0.90,0.38,0.43,23.7,699,254,0,12,6553.5,416,422,509
