Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
09/09/2019 08:51:13.426,65,6553.5,-3276.8,3,0.28,0.54,4.130,88,0.000,65535.000,0,0.006280,0.000760,0,65535,0,65535,0,0,-1.20,-0.86,-0.43,0.55,-0.26,0.18,27.2,699,255,-128,-128,6553.5,415,423,508
09/09/2019 08:51:14.426,65,6553.5,-3276.8,-5,0.22,0.30,4.129,88,0.000,65535.000,0,0.006280,0.000320,0,65535,0,65535,0,0,-1.06,-0.84,-0.25,-0.02,0.08,0.20,27.2,699,255,-128,-128,6553.5,411,419,513
09/09/2019 08:51:15.426,65,6553.5,-3276.8,-6,0.13,0.27,4.128,88,0.000,65535.000,0,0.006280,0.002840,0,65535,0,65535,0,0,-1.03,-0.91,-0.33,0.21,0.06,0.18,27.2,699,255,-128,-128,6553.5,415,422,510
09/09/2019 08:51:16.426,65,6553.5,-3276.8,-14,0.44,0.67,4.127,87,0.000,65535.000,0,0.006280,0.001220,0,65535,0,65535,0,0,-1.14,-0.62,0.15,0.77,0.02,0.18,27.2,699,255,-128,-128,6553.5,415,422,509
09/09/2019 08:51:17.426,65,6553.5,-3276.8,-24,0.27,0.42,4.127,87,0.000,65535.000,0,0.000000,0.000560,0,65535,0,65535,0,0,-0.85,-0.65,0.49,0.65,0.03,0.18,27.2,688,255,-128,-128,6553.5,414,423,509
09/09/2019 08:51:18.426,65,10.0,-3276.8,-29,0.11,0.18,4.127,87,0.000,65535.000,0,0.000000,0.000240,0,65535,0,65535,3,0,-0.86,-0.78,0.45,0.57,0.09,0.18,27.2,688,255,-128,-128,6553.5,415,423,510
09/09/2019 08:51:19.426,65,10.0,-3276.8,-27,0.08,0.25,4.127,87,0.000,65535.000,0,0.000000,0.000100,0,65535,0,65535,3,1,-1.00,-0.79,0.15,0.54,0.04,0.31,27.2,688,255,-128,-128,6553.5,415,422,508
09/09/2019 08:51:20.426,65,10.0,-3276.8,-27,0.10,0.21,4.121,86,0.000,65535.000,0,0.000000,0.000040,0,65535,0,65535,3,2,-1.01,-0.71,0.22,0.55,0.01,0.20,27.2,688,255,-128,-128,6553.5,415,422,508
09/09/2019 08:51:21.426,65,10.0,-3276.8,-21,0.14,0.20,4.119,86,0.000,65535.000,0,0.000000,0.000020,0,65535,0,65535,3,3,-1.01,-0.63,0.21,0.33,0.02,0.15,27.2,688,255,-128,-128,6553.5,408,419,501
09/09/2019 08:51:22.426,65,10.0,-3276.8,-21,0.09,0.18,4.119,86,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,3,4,-1.02,-0.77,0.22,0.55,0.01,0.31,27.2,688,255,-128,-128,6553.5,415,423,509
09/09/2019 08:51:23.426,0,10.0,-3276.8,-24,0.08,0.12,4.119,86,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,1,0,-0.93,-0.81,0.40,0.49,0.01,0.16,27.2,688,255,-128,-128,6553.5,415,423,509
09/09/2019 08:51:24.426,0,10.0,-3276.8,-25,0.05,0.37,4.119,86,0.000,65535.000,0,0.000800,0.000080,0,65535,0,65535,1,1,-1.18,-0.81,0.40,0.53,-0.39,0.16,27.2,688,255,-128,-128,6553.5,415,423,509
09/09/2019 08:51:25.426,57,10.0,-3276.8,-23,0.07,0.36,4.119,86,65535.000,65535.000,0,0.000800,0.000140,0,65535,0,65535,1,2,-1.44,-0.79,0.15,0.59,-0.02,0.18,27.2,688,255,-128,-128,6553.5,414,422,509
09/09/2019 08:51:26.426,66,10.0,-3276.8,-23,0.08,0.18,4.119,86,60772.000,65535.000,0,0.002920,0.000220,0,65535,0,65535,1,3,-1.12,-0.79,0.25,0.59,-0.02,0.16,27.2,688,255,-128,-128,6553.5,415,422,509
09/09/2019 08:51:27.426,74,10.0,-3276.8,-26,0.09,0.20,4.119,86,61606.000,65535.000,11,0.002920,0.000200,0,65535,0,65535,1,4,-0.93,-0.81,0.39,0.55,-0.20,0.02,27.2,688,255,-128,-128,6553.5,414,422,509
09/09/2019 08:51:28.426,80,10.0,-3276.8,-25,0.08,0.26,4.119,86,62609.000,65535.000,11,0.002920,0.000240,13,65535,0,65535,1,5,-1.10,-0.77,0.19,0.59,-0.03,0.20,27.2,688,255,-128,-128,6553.5,415,423,509
