SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,11,04,36898410,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,11,04,36907033,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,11,04,36915034,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,11,04,36939760,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,04,37098379,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,04,37098380,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,04,37099750,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,04,37099750,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,11,04,37099750,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,11,04,37099751,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,04,37100879,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,11,04,37100879,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,04,37671619,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,11,04,37943719,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,11,04,38165990,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,11,04,38216339,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,11,04,38951634,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,04,38952319,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,11,04,38952319,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
