Time,BreathingWaveform
12/09/2019 07:07:13.433,6228882
12/09/2019 07:07:13.473,6241717
12/09/2019 07:07:13.513,6241717
12/09/2019 07:07:13.553,6239043
12/09/2019 07:07:13.593,6239043
12/09/2019 07:07:13.633,6237331
12/09/2019 07:07:13.673,6236690
12/09/2019 07:07:13.713,6239792
12/09/2019 07:07:13.753,6236583
12/09/2019 07:07:13.793,6231288
12/09/2019 07:07:13.833,6232946
12/09/2019 07:07:13.873,6232679
12/09/2019 07:07:13.913,6238080
12/09/2019 07:07:13.953,6229898
12/09/2019 07:07:13.993,6227705
12/09/2019 07:07:14.033,6228882
12/09/2019 07:07:14.073,6230112
12/09/2019 07:07:14.113,6235781
12/09/2019 07:07:14.153,6237492
12/09/2019 07:07:14.193,6240915
12/09/2019 07:07:14.233,6243642
12/09/2019 07:07:14.273,6242305
12/09/2019 07:07:14.313,6236262
12/09/2019 07:07:14.353,6232679
12/09/2019 07:07:14.393,6219737
12/09/2019 07:07:14.433,6215512
12/09/2019 07:07:14.473,6217223
12/09/2019 07:07:14.513,6220325
12/09/2019 07:07:14.553,6226849
12/09/2019 07:07:14.593,6227598
12/09/2019 07:07:14.633,6229631
12/09/2019 07:07:14.673,6241236
12/09/2019 07:07:14.713,6251611
12/09/2019 07:07:14.753,6253375
12/09/2019 07:07:14.793,6257333
12/09/2019 07:07:14.833,6270864
12/09/2019 07:07:14.873,6268778
12/09/2019 07:07:14.913,6254873
12/09/2019 07:07:14.953,6249097
12/09/2019 07:07:14.993,6245514
12/09/2019 07:07:15.033,6245246
12/09/2019 07:07:15.073,6244765
12/09/2019 07:07:15.113,6242947
12/09/2019 07:07:15.153,6243375
12/09/2019 07:07:15.193,6250541
12/09/2019 07:07:15.233,6291079
12/09/2019 07:07:15.273,6311615
12/09/2019 07:07:15.313,6321081
12/09/2019 07:07:15.353,6335627
12/09/2019 07:07:15.393,6344077
12/09/2019 07:07:15.433,6354666
12/09/2019 07:07:15.473,6370817
12/09/2019 07:07:15.513,6388947
12/09/2019 07:07:15.553,6392744
12/09/2019 07:07:15.593,6389695
12/09/2019 07:07:15.633,6385845
12/09/2019 07:07:15.673,6386487
12/09/2019 07:07:15.713,6385738
12/09/2019 07:07:15.753,6382583
12/09/2019 07:07:15.793,6380871
12/09/2019 07:07:15.833,6381352
12/09/2019 07:07:15.873,6382690
12/09/2019 07:07:15.913,6383010
12/09/2019 07:07:15.953,6381780
12/09/2019 07:07:15.993,6377930
12/09/2019 07:07:16.033,6377395
12/09/2019 07:07:16.073,6380336
12/09/2019 07:07:16.113,6383545
12/09/2019 07:07:16.153,6385471
12/09/2019 07:07:16.193,6386005
12/09/2019 07:07:16.233,6383813
12/09/2019 07:07:16.273,6380818
12/09/2019 07:07:16.313,6377449
12/09/2019 07:07:16.353,6375256
12/09/2019 07:07:16.393,6373598
12/09/2019 07:07:16.433,6371673
12/09/2019 07:07:16.473,6371138
12/09/2019 07:07:16.513,6371566
12/09/2019 07:07:16.553,6373545
12/09/2019 07:07:16.593,6373063
12/09/2019 07:07:16.633,6373598
12/09/2019 07:07:16.673,6372421
12/09/2019 07:07:16.713,6372207
12/09/2019 07:07:16.753,6371887
12/09/2019 07:07:16.793,6371833
12/09/2019 07:07:16.833,6371352
12/09/2019 07:07:16.873,6372796
12/09/2019 07:07:16.913,6371940
12/09/2019 07:07:16.953,6371352
12/09/2019 07:07:16.993,6369908
12/09/2019 07:07:17.033,6370175
12/09/2019 07:07:17.073,6370603
12/09/2019 07:07:17.113,6369320
12/09/2019 07:07:17.153,6368785
12/09/2019 07:07:17.193,6369587
12/09/2019 07:07:17.233,6370870
12/09/2019 07:07:17.273,6371031
12/09/2019 07:07:17.313,6370603
12/09/2019 07:07:17.353,6369534
12/09/2019 07:07:17.393,6369320
12/09/2019 07:07:17.433,6368892
12/09/2019 07:07:17.473,6368143
12/09/2019 07:07:17.513,6367876
12/09/2019 07:07:17.553,6368678
12/09/2019 07:07:17.593,6367769
12/09/2019 07:07:17.633,6367448
12/09/2019 07:07:17.673,6367501
12/09/2019 07:07:17.713,6368250
12/09/2019 07:07:17.753,6368624
12/09/2019 07:07:17.793,6367448
12/09/2019 07:07:17.833,6366111
12/09/2019 07:07:17.873,6366057
12/09/2019 07:07:17.913,6365683
12/09/2019 07:07:17.953,6365950
12/09/2019 07:07:17.993,6365362
