Time,BreathingWaveform
11/09/2019 13:17:39.430,0
11/09/2019 13:17:39.470,0
11/09/2019 13:17:39.510,0
11/09/2019 13:17:39.550,0
11/09/2019 13:17:39.590,0
11/09/2019 13:17:39.630,0
11/09/2019 13:17:39.670,0
11/09/2019 13:17:39.710,0
11/09/2019 13:17:39.750,0
11/09/2019 13:17:39.790,0
11/09/2019 13:17:39.830,0
11/09/2019 13:17:39.870,0
11/09/2019 13:17:39.910,0
11/09/2019 13:17:39.950,0
11/09/2019 13:17:39.990,0
11/09/2019 13:17:40.030,0
11/09/2019 13:17:40.070,0
11/09/2019 13:17:40.110,0
11/09/2019 13:17:40.150,0
11/09/2019 13:17:40.190,0
11/09/2019 13:17:40.230,0
11/09/2019 13:17:40.270,0
11/09/2019 13:17:40.310,0
11/09/2019 13:17:40.350,0
11/09/2019 13:17:40.390,0
11/09/2019 13:17:40.430,0
11/09/2019 13:17:40.470,0
11/09/2019 13:17:40.510,0
11/09/2019 13:17:40.550,0
11/09/2019 13:17:40.590,0
11/09/2019 13:17:40.630,0
11/09/2019 13:17:40.670,0
11/09/2019 13:17:40.710,0
11/09/2019 13:17:40.750,0
11/09/2019 13:17:40.790,0
11/09/2019 13:17:40.830,0
11/09/2019 13:17:40.870,0
11/09/2019 13:17:40.910,0
11/09/2019 13:17:40.950,0
11/09/2019 13:17:40.990,0
11/09/2019 13:17:41.030,0
11/09/2019 13:17:41.070,0
11/09/2019 13:17:41.110,0
11/09/2019 13:17:41.150,0
11/09/2019 13:17:41.190,0
11/09/2019 13:17:41.230,0
11/09/2019 13:17:41.270,0
11/09/2019 13:17:41.310,0
11/09/2019 13:17:41.350,0
11/09/2019 13:17:41.390,0
11/09/2019 13:17:41.430,0
11/09/2019 13:17:41.470,0
11/09/2019 13:17:41.510,0
11/09/2019 13:17:41.550,0
11/09/2019 13:17:41.590,0
11/09/2019 13:17:41.630,0
11/09/2019 13:17:41.670,0
11/09/2019 13:17:41.710,0
11/09/2019 13:17:41.750,0
11/09/2019 13:17:41.790,0
11/09/2019 13:17:41.830,0
11/09/2019 13:17:41.870,0
11/09/2019 13:17:41.910,0
11/09/2019 13:17:41.950,0
11/09/2019 13:17:41.990,0
11/09/2019 13:17:42.030,0
11/09/2019 13:17:42.070,0
11/09/2019 13:17:42.110,0
