Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
11/09/2019 13:17:39.430,65,6553.5,-3276.8,21,0.66,1.59,4.008,68,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-1.84,-0.25,-1.20,0.22,-0.22,0.30,24.6,699,255,-128,-128,6553.5,419,424,510
11/09/2019 13:17:40.430,65,6553.5,-3276.8,10,0.46,1.10,3.989,64,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-1.66,-0.28,-0.45,0.20,-0.33,0.37,24.6,699,255,-128,-128,6553.5,402,412,496
11/09/2019 13:17:41.430,65,6553.5,-3276.8,10,0.22,0.49,3.979,63,0.000,65535.000,0,0.009884,0.003860,0,65535,0,65535,0,0,-1.09,-0.79,-0.59,0.14,-0.18,0.13,24.6,699,255,-128,-128,6553.5,416,423,509
11/09/2019 13:17:42.430,65,6553.5,-3276.8,9,0.10,0.18,3.969,61,0.000,65535.000,0,0.009884,0.001660,0,65535,0,65535,0,0,-1.07,-0.89,-0.26,-0.02,-0.09,0.08,24.6,688,255,-128,-128,6553.5,415,424,509
11/09/2019 13:17:43.430,65,10.0,-3276.8,8,0.08,0.36,3.959,59,0.000,65535.000,0,0.000000,0.000760,0,65535,0,65535,3,0,-1.15,-0.89,-0.61,-0.01,-0.42,0.13,24.6,688,255,-128,-128,6553.5,416,423,509
11/09/2019 13:17:44.430,65,10.0,-3276.8,-8,0.12,0.36,3.957,59,0.000,65535.000,0,0.000000,0.000320,0,65535,0,65535,3,1,-1.10,-0.87,-0.30,-0.04,-0.02,0.46,24.6,688,255,-128,-128,6553.5,428,431,521
11/09/2019 13:17:45.430,65,10.0,-3276.8,8,0.14,0.25,3.957,59,0.000,65535.000,0,0.000000,0.000140,0,65535,0,65535,3,2,-1.12,-0.85,-0.26,0.08,-0.24,0.15,24.6,688,255,-128,-128,6553.5,417,422,509
11/09/2019 13:17:46.430,65,10.0,-3276.8,5,0.09,0.16,3.951,58,0.000,65535.000,0,0.000000,0.000060,0,65535,0,65535,3,3,-1.13,-0.89,-0.19,0.06,-0.08,0.09,24.6,688,255,-128,-128,6553.5,415,423,509
11/09/2019 13:17:47.430,65,10.0,-3276.8,4,0.08,0.27,3.946,57,0.000,65535.000,0,0.000000,0.000020,0,65535,0,65535,3,4,-1.20,-0.85,-0.31,0.22,-0.18,0.16,24.6,688,255,-128,-128,6553.5,416,423,509
11/09/2019 13:17:48.430,65,10.0,-3276.8,2,0.12,0.22,3.946,57,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,1,0,-1.13,-0.90,-0.09,0.20,-0.18,0.10,24.6,688,255,-128,-128,6553.5,416,424,510
