SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,09,34131427,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,09,34153541,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,09,34153820,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,09,34166580,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,09,34175450,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,09,34175571,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,09,34176449,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,09,34176449,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,09,34177571,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,09,34178449,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,09,34183579,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,09,34184291,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,09,34184450,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,09,34187160,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,09,34190319,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,09,09,34206450,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,09,36208121,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,09,36208400,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,09,36208400,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
