SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,10,52353431,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,10,52362001,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,10,52362720,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,10,52374470,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,10,52388339,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,10,52394219,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,10,52395219,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,10,52497989,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,10,52498840,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,10,52504640,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,10,52504839,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,10,52504839,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,10,52538291,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,10,52539089,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,10,52543990,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,10,52558839,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,10,54372680,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,10,54372919,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,10,54372919,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
