Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
10/09/2019 14:32:33.431,65,6553.5,-3276.8,-36,0.54,0.66,4.018,69,0.000,65535.000,0,0.006280,0.001120,0,65535,0,65535,0,0,-1.03,-0.87,0.04,0.27,-0.01,0.50,33.6,699,220,0,12,6553.5,413,421,509
10/09/2019 14:32:34.431,65,6553.5,-3276.8,-17,0.44,0.55,4.002,67,0.000,65535.000,0,0.006280,0.000480,0,65535,0,65535,0,0,-1.09,-0.91,-0.13,0.21,-0.13,0.04,33.6,699,254,0,12,6553.5,416,423,509
10/09/2019 14:32:35.431,65,6553.5,-3276.8,-7,0.52,0.72,3.992,65,0.000,65535.000,0,0.010260,0.000920,0,65535,0,65535,0,0,-1.03,-0.53,-0.81,-0.04,-0.25,0.02,33.6,699,254,0,12,6553.5,413,421,509
10/09/2019 14:32:36.431,65,6553.5,-3276.8,35,0.63,0.90,3.982,63,0.000,65535.000,0,0.010260,0.000620,0,65535,0,65535,0,0,-0.93,0.02,-1.08,-0.55,-0.28,-0.06,33.6,699,254,0,12,6553.5,415,421,509
10/09/2019 14:32:37.431,65,6553.5,-3276.8,58,0.50,0.81,3.974,62,0.000,65535.000,0,0.010260,0.000280,0,65535,0,65535,0,0,-0.45,0.13,-1.04,-0.74,-0.21,0.00,33.6,699,254,0,12,6553.5,412,419,514
10/09/2019 14:32:38.431,65,6553.5,-3276.8,51,0.26,0.45,3.972,62,0.000,65535.000,0,0.010260,0.004300,0,65535,0,65535,0,0,-0.96,-0.42,-0.93,-0.40,-0.04,0.16,33.6,699,254,0,12,6553.5,415,422,509
10/09/2019 14:32:39.431,65,6553.5,-3276.8,37,0.36,0.43,3.971,61,0.000,65535.000,0,0.010260,0.003740,0,65535,0,65535,0,0,-1.02,-0.84,-0.53,-0.20,-0.04,0.03,33.6,699,254,0,12,6553.5,412,421,509
10/09/2019 14:32:40.431,65,6553.5,-3276.8,22,0.32,0.38,3.965,60,0.000,65535.000,0,0.010260,0.004100,0,65535,0,65535,0,0,-1.03,-0.93,-0.22,0.06,-0.10,0.02,33.6,699,254,0,12,6553.5,416,424,509
10/09/2019 14:32:41.431,65,6553.5,-3276.8,14,0.23,0.30,3.963,60,0.000,65535.000,0,0.010260,0.001880,0,65535,0,65535,0,0,-1.07,-0.93,-0.13,0.00,-0.03,0.04,33.6,688,254,0,12,6553.5,413,421,508
10/09/2019 14:32:42.431,65,10.0,-3276.8,8,0.14,0.18,3.963,60,0.000,65535.000,0,0.010260,0.000820,0,65535,0,65535,3,0,-1.07,-0.95,-0.13,0.04,-0.06,0.04,33.6,688,254,0,12,6553.5,410,420,508
10/09/2019 14:32:43.431,0,10.0,-3276.8,-4,0.11,0.53,3.963,60,0.000,65535.000,0,0.000800,0.000360,0,65535,0,65535,3,1,-1.06,-0.50,-0.15,0.19,-0.02,0.56,33.6,688,254,0,12,6553.5,413,420,508
10/09/2019 14:32:44.431,0,10.0,-3276.8,-1,0.13,0.22,3.963,60,0.000,65535.000,0,0.000800,0.000160,0,65535,0,65535,3,2,-1.20,-0.89,-0.14,0.20,-0.06,0.14,33.6,688,254,0,12,6553.5,416,422,508
