SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,12,31083434,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,12,31099330,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,12,31100139,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,12,31110009,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,12,31134519,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,12,31135629,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,12,31136629,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,12,31137520,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,12,31138519,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,12,31139519,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,12,31142389,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,12,31143389,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,12,31144389,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,12,31145389,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,12,31146270,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,12,31146389,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,12,31151021,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,12,31151260,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,12,31156259,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,12,31164621,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,12,31165009,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,12,31182360,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,12,31182759,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,12,31187519,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,12,31192519,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,12,31198519,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,12,31204389,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,12,31205260,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,12,31206259,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,12,31207259,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,12,31208389,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,12,31209389,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,12,31210389,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,12,33213650,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,12,33214459,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,12,33214459,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
