Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
12/09/2019 08:38:03.434,65,6553.5,-3276.8,19,0.45,0.90,3.993,65,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-0.97,-0.55,-0.81,0.32,-0.31,-0.12,23.0,699,255,-128,-128,6553.5,416,423,510
12/09/2019 08:38:04.434,65,6553.5,-3276.8,35,0.80,1.04,3.973,62,0.000,65535.000,0,0.000000,0.000040,0,65535,0,65535,0,0,-0.60,-0.21,-1.13,-0.78,-0.33,0.06,23.0,699,255,-128,-128,6553.5,422,428,511
12/09/2019 08:38:05.434,65,6553.5,-3276.8,55,0.46,0.59,3.963,60,0.000,65535.000,0,0.000940,0.000020,0,65535,0,65535,0,0,-0.51,-0.21,-1.04,-0.74,-0.24,0.19,23.0,699,255,-128,-128,6553.5,415,422,509
12/09/2019 08:38:06.434,65,6553.5,-3276.8,65,0.28,0.60,3.953,58,0.000,65535.000,0,0.000940,0.000000,0,65535,0,65535,0,0,-0.50,-0.07,-1.19,-0.63,-0.25,0.22,23.0,699,254,0,12,6553.5,415,424,509
12/09/2019 08:38:07.434,65,6553.5,-3276.8,71,0.22,0.44,3.943,57,0.000,65535.000,0,0.000940,0.000240,0,65535,0,65535,0,0,-0.48,0.01,-1.16,-0.74,-0.33,0.20,23.0,699,254,0,12,6553.5,416,423,508
12/09/2019 08:38:08.434,65,6553.5,-3276.8,-75,0.17,0.28,3.938,56,0.000,65535.000,0,0.000940,0.000100,0,65535,0,65535,0,0,-0.22,0.00,-0.98,-0.84,0.10,0.31,23.0,699,254,0,12,6553.5,415,423,510
12/09/2019 08:38:09.434,65,6553.5,-3276.8,-79,0.17,0.38,3.938,56,0.000,65535.000,0,0.000940,0.000820,0,65535,0,65535,0,0,-0.24,0.14,-1.15,-0.83,0.12,0.38,23.0,699,254,0,12,6553.5,414,422,510
12/09/2019 08:38:10.434,65,6553.5,-3276.8,-74,0.18,0.36,3.932,55,0.000,65535.000,0,0.000940,0.001040,0,65535,0,65535,0,0,-0.59,-0.18,-1.01,-0.61,0.12,0.34,23.0,699,254,0,12,6553.5,415,423,509
12/09/2019 08:38:11.434,65,6553.5,-3276.8,-74,0.19,0.32,3.926,54,0.000,65535.000,0,0.000940,0.001060,0,65535,0,65535,0,0,-0.50,0.06,-1.02,-0.75,0.19,0.46,23.0,699,254,0,12,6553.5,413,422,509
12/09/2019 08:38:12.434,65,6553.5,-3276.8,-71,0.30,0.50,3.926,54,0.000,65535.000,0,0.000940,0.001180,0,65535,0,65535,0,0,-0.66,0.13,-1.13,-0.59,-0.10,0.42,23.0,699,254,0,12,6553.5,415,423,509
12/09/2019 08:38:13.434,0,6553.5,-3276.8,-53,0.44,0.61,3.926,54,0.000,65535.000,0,0.000800,0.001160,0,65535,0,65535,0,0,-0.98,-0.55,-0.79,-0.28,-0.06,0.25,23.0,699,254,0,12,6553.5,415,423,509
12/09/2019 08:38:14.434,0,6553.5,-3276.8,-37,0.37,0.51,3.926,54,0.000,65535.000,0,0.000800,0.001260,0,65535,0,65535,0,0,-1.10,-0.77,-0.69,-0.04,0.04,0.22,23.0,699,254,0,12,6553.5,394,409,480
12/09/2019 08:38:15.434,0,6553.5,-3276.8,-22,0.42,0.53,3.926,54,0.000,65535.000,0,0.000800,0.003180,0,65535,0,65535,0,0,-1.07,-0.90,-0.13,0.07,0.09,0.30,23.0,699,254,0,12,6553.5,414,422,509
12/09/2019 08:38:16.434,0,6553.5,-3276.8,-15,0.25,0.42,3.926,54,0.000,65535.000,0,0.000800,0.001360,0,65535,0,65535,0,0,-1.07,-0.87,-0.22,0.18,0.08,0.28,23.0,699,254,0,12,6553.5,416,421,505
12/09/2019 08:38:17.434,0,6553.5,-3276.8,-10,0.20,0.36,3.926,54,0.000,65535.000,0,0.000800,0.000620,0,65535,0,65535,0,0,-1.06,-0.87,-0.08,0.31,0.03,0.19,23.0,699,254,0,12,6553.5,416,423,509
12/09/2019 08:38:18.434,0,6553.5,-3276.8,-8,0.10,0.22,3.926,54,0.000,65535.000,0,0.000800,0.000260,0,65535,0,65535,0,0,-1.14,-0.91,-0.25,0.14,-0.03,0.19,23.0,688,254,-14,12,6553.5,415,423,510
12/09/2019 08:38:19.434,0,10.0,-3276.8,-7,0.10,0.57,3.926,54,0.000,65535.000,0,0.000800,0.000120,0,65535,0,65535,3,0,-1.10,-0.91,-0.81,0.28,-0.32,0.18,23.0,688,254,0,12,6553.5,415,423,509
12/09/2019 08:38:20.434,0,10.0,-3276.8,-6,0.08,0.24,3.924,54,0.000,65535.000,0,0.000800,0.000040,0,65535,0,65535,3,1,-1.14,-0.85,-0.33,0.13,-0.10,0.21,23.0,688,254,0,12,6553.5,415,423,509
12/09/2019 08:38:21.434,0,10.0,-3276.8,-5,0.09,0.27,3.924,54,0.000,65535.000,0,0.000800,0.000020,0,65535,0,65535,3,2,-1.24,-0.87,-0.40,0.13,-0.12,0.25,23.0,688,254,0,12,6553.5,414,423,509
12/09/2019 08:38:22.434,0,10.0,-3276.8,-5,0.13,0.62,3.924,54,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,3,-1.32,-0.74,-0.84,0.18,-0.31,0.33,23.0,688,254,0,12,6553.5,415,422,509
12/09/2019 08:38:23.434,0,10.0,-3276.8,-7,0.10,0.20,3.924,54,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,4,-1.15,-0.90,-0.26,0.08,-0.07,0.20,23.0,688,254,0,12,6553.5,413,422,511
12/09/2019 08:38:24.434,0,10.0,-3276.8,-8,0.05,0.09,3.924,54,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,5,-1.07,-0.93,-0.16,0.00,0.04,0.20,23.0,688,254,0,12,6553.5,415,423,508
12/09/2019 08:38:25.434,0,10.0,-3276.8,-8,0.04,0.09,3.924,54,0.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,6,-1.06,-0.95,-0.13,0.01,0.04,0.18,23.0,688,254,0,12,6553.5,414,422,506
12/09/2019 08:38:26.434,0,10.0,-3276.8,-7,0.04,0.12,3.924,54,65535.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,7,-1.12,-0.90,-0.12,0.01,0.01,0.27,23.0,688,254,-3,12,6553.5,415,423,509
12/09/2019 08:38:27.434,0,10.0,-3276.8,-7,0.03,0.09,3.924,54,65535.000,65535.000,0,0.000800,0.000000,0,65535,0,65535,3,8,-1.06,-0.92,-0.08,0.02,0.02,0.18,23.0,688,254,0,12,6553.5,407,418,500
12/09/2019 08:38:28.434,60,10.0,-3276.8,-6,0.05,0.16,3.924,54,62054.000,65535.000,0,0.000800,0.000260,0,65535,0,65535,3,9,-1.09,-0.85,-0.18,0.08,-0.08,0.24,23.0,688,254,0,12,6553.5,415,424,509
12/09/2019 08:38:29.434,64,10.0,-3276.8,-7,0.08,0.38,3.924,54,62942.000,65535.000,0,0.001440,0.000320,0,65535,0,65535,1,0,-1.13,-0.87,-0.16,0.55,0.02,0.30,23.0,688,254,0,12,6553.5,414,424,509
12/09/2019 08:38:30.434,73,10.0,-3276.8,-7,0.08,0.24,3.923,53,63604.000,65535.000,0,0.001440,0.000720,0,65535,0,65535,1,1,-1.09,-0.89,-0.20,0.20,0.00,0.46,23.0,688,254,0,12,6553.5,415,423,509
12/09/2019 08:38:31.434,69,10.0,-3276.8,-7,0.08,0.16,3.923,53,64097.000,65535.000,0,0.001440,0.000600,0,65535,0,65535,1,2,-1.06,-0.93,-0.27,0.00,0.02,0.19,23.0,688,254,0,12,6553.5,415,423,509
12/09/2019 08:38:32.434,67,10.0,-3276.8,-11,0.18,0.24,3.923,53,60615.000,65535.000,11,0.001440,0.000480,0,65535,0,65535,1,3,-1.03,-0.87,-0.39,-0.10,-0.02,0.18,23.0,688,254,0,12,6553.5,415,422,509
12/09/2019 08:38:33.434,66,10.0,-3276.8,-11,0.08,0.38,3.923,53,60108.000,65535.000,11,0.001980,0.000460,0,65535,0,65535,1,4,-1.26,-0.87,-0.75,-0.02,-0.15,0.21,23.0,688,254,0,12,6553.5,415,423,508
12/09/2019 08:38:34.434,66,10.0,-3276.8,-16,0.19,0.38,3.923,53,61401.000,65535.000,11,0.001980,0.000380,0,65535,0,65535,1,5,-1.26,-0.87,-0.75,-0.02,-0.15,0.21,23.1,688,254,0,12,6553.5,415,423,509
12/09/2019 08:38:35.434,66,10.0,-3276.8,-15,0.15,0.36,3.923,53,61172.000,65535.000,11,0.001400,0.000640,0,65535,0,65535,1,6,-1.09,-0.77,-0.57,-0.19,0.02,0.22,23.1,688,254,0,12,6553.5,415,422,511
12/09/2019 08:38:36.434,65,10.0,-3276.8,-12,0.13,0.26,3.923,53,61461.000,65535.000,11,0.001400,0.000560,0,65535,0,65535,1,7,-1.12,-0.69,-0.30,0.03,-0.06,0.22,23.1,688,254,0,12,6553.5,415,424,510
12/09/2019 08:38:37.434,65,10.0,-3276.8,-10,0.17,0.20,3.923,53,61432.000,65535.000,22,0.001400,0.000480,0,65535,0,65535,1,8,-1.07,-0.92,-0.15,0.08,0.09,0.25,23.1,688,254,0,12,6553.5,414,422,496
12/09/2019 08:38:38.434,65,10.0,-3276.8,-10,0.16,0.43,3.923,53,61653.000,65535.000,22,0.001400,0.000380,0,65535,0,65535,1,9,-1.30,-0.81,-0.38,0.12,-0.14,0.25,23.1,688,254,0,12,6553.5,414,423,509
12/09/2019 08:38:39.434,65,10.0,-3276.8,-14,0.20,0.43,3.923,53,62644.000,65535.000,22,0.000940,0.000360,0,65535,0,65535,1,10,-1.16,-0.81,-0.46,0.06,-0.21,0.25,23.2,688,254,0,12,6553.5,418,424,509
12/09/2019 08:38:40.434,65,10.0,-3276.8,-12,0.08,0.25,3.922,53,61481.000,65535.000,33,0.000940,0.000340,0,65535,0,65535,1,11,-1.02,-0.84,-0.38,-0.15,-0.02,0.30,23.2,688,254,0,12,6553.5,413,422,509
12/09/2019 08:38:41.434,65,10.0,-3276.8,-12,0.12,0.16,3.922,53,62515.000,65535.000,33,0.000780,0.000300,2,65535,0,65535,1,12,-1.02,-0.91,-0.18,-0.03,-0.06,0.20,23.2,688,254,-2,12,6553.5,420,425,510
12/09/2019 08:38:42.434,65,10.0,-3276.8,-13,0.11,0.21,3.922,53,58822.000,65535.000,33,0.000780,0.000320,8,65535,0,65535,1,13,-1.03,-0.79,-0.31,-0.16,-0.13,0.27,23.2,688,254,0,12,6553.5,414,423,509
12/09/2019 08:38:43.434,67,10.0,-3276.8,-4,0.24,0.27,3.922,53,59300.000,65535.000,33,0.000660,0.000280,7,65535,0,65535,1,14,-1.15,-0.87,-0.34,0.07,-0.06,0.18,23.2,688,254,0,12,6553.5,415,423,509
