Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
09/09/2019 14:12:26.428,65,6553.5,-3276.8,27,0.23,0.38,4.084,80,0.000,65535.000,0,0.000000,0.000120,0,65535,0,65535,0,0,-1.04,-0.77,0.06,0.49,-0.34,-0.12,25.6,699,200,0,12,6553.5,416,422,510
09/09/2019 14:12:27.428,65,6553.5,-3276.8,23,0.17,0.34,4.074,79,0.000,65535.000,0,0.000000,0.000940,0,65535,0,65535,0,0,-1.04,-0.66,0.20,0.60,-0.25,-0.02,25.6,699,254,0,12,6553.5,418,424,508
09/09/2019 14:12:28.428,65,6553.5,-3276.8,25,0.32,0.55,4.064,77,0.000,65535.000,0,0.004020,0.000440,0,65535,0,65535,0,0,-1.25,-0.46,0.09,0.78,-0.28,0.20,25.6,699,254,0,12,6553.5,417,423,509
09/09/2019 14:12:29.428,65,6553.5,-3276.8,20,0.27,0.51,4.060,76,0.000,65535.000,0,0.004020,0.000740,0,65535,0,65535,0,0,-1.22,-0.59,0.09,0.71,-0.22,0.30,25.6,699,254,0,12,6553.5,415,423,509
09/09/2019 14:12:30.428,65,6553.5,-3276.8,-16,0.22,0.34,4.059,76,0.000,65535.000,0,0.004020,0.007460,0,65535,0,65535,0,0,-1.27,-0.69,-0.02,0.71,-0.10,0.32,25.6,699,254,0,12,6553.5,415,422,509
09/09/2019 14:12:31.428,65,6553.5,-3276.8,-14,0.08,0.19,4.058,76,0.000,65535.000,0,0.004020,0.003220,0,65535,0,65535,0,0,-1.09,-0.83,0.04,0.34,-0.12,0.14,25.6,699,254,0,12,6553.5,471,451,513
09/09/2019 14:12:32.428,65,6553.5,-3276.8,-16,0.11,0.33,4.057,76,0.000,65535.000,0,0.004020,0.001480,0,65535,0,65535,0,0,-1.13,-0.71,0.13,0.61,-0.14,0.18,25.6,699,254,0,12,6553.5,414,422,509
09/09/2019 14:12:33.428,65,6553.5,-3276.8,-21,0.22,0.51,4.051,75,0.000,65535.000,0,0.004020,0.000640,0,65535,0,65535,0,0,-1.20,-0.71,-0.30,0.63,-0.12,0.45,25.6,699,254,0,12,6553.5,415,422,510
09/09/2019 14:12:34.428,65,10.0,-3276.8,-16,0.13,0.19,4.048,74,0.000,65535.000,0,0.000000,0.000280,0,65535,0,65535,3,0,-1.07,-0.83,0.13,0.36,-0.04,0.18,25.6,688,254,0,12,6553.5,411,420,509
09/09/2019 14:12:35.428,65,10.0,-3276.8,-12,0.11,0.31,4.048,74,0.000,65535.000,0,0.000000,0.000120,0,65535,0,65535,3,1,-1.22,-0.60,-0.06,0.39,-0.26,0.18,25.6,688,254,1,12,6553.5,415,423,508
