SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,10,47266428,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,10,47281855,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,10,47282054,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,10,47291029,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,10,47300110,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,10,47300909,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,10,47319090,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,10,47319769,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,10,47324769,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,10,47341400,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,10,47342399,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,10,47343399,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,10,47345399,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,10,47345400,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,10,47547769,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,10,47547639,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,10,47548769,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,10,47549769,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,10,49366360,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,10,49366719,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,10,49366719,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
