Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
10/09/2019 13:07:46.428,65,6553.5,-3276.8,29,0.84,1.03,4.048,74,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,0,0,-1.15,-0.84,-0.24,0.19,-0.28,0.15,26.6,699,255,-128,-128,6553.5,423,427,509
10/09/2019 13:07:47.428,65,6553.5,-3276.8,7,0.58,0.73,4.038,73,0.000,65535.000,0,0.000000,0.000880,0,65535,0,65535,0,0,-1.12,-0.80,-0.53,-0.08,0.00,0.38,26.6,699,255,-128,-128,6553.5,416,423,509
10/09/2019 13:07:48.428,65,6553.5,-3276.8,-14,0.30,0.43,4.028,71,0.000,65535.000,0,0.014900,0.001060,0,65535,0,65535,0,0,-1.01,-0.78,-0.37,-0.16,0.16,0.31,26.6,699,255,-128,-128,6553.5,416,423,510
10/09/2019 13:07:49.428,65,6553.5,-3276.8,-14,0.15,0.21,4.019,69,0.000,65535.000,0,0.014900,0.000680,0,65535,0,65535,0,0,-1.04,-0.87,-0.33,-0.12,0.10,0.21,26.6,699,255,-128,-128,6553.5,416,422,510
10/09/2019 13:07:50.428,65,6553.5,-3276.8,-14,0.09,0.15,4.016,69,0.000,65535.000,0,0.014900,0.000300,0,65535,0,65535,0,0,-1.14,-0.89,-0.37,-0.07,0.01,0.24,26.6,699,255,-128,-128,6553.5,416,422,508
10/09/2019 13:07:51.428,65,6553.5,-3276.8,-13,0.07,0.20,4.016,69,0.000,65535.000,0,0.014900,0.000660,0,65535,0,65535,0,0,-1.07,-0.87,-0.40,-0.02,0.01,0.22,26.6,699,255,-128,-128,6553.5,415,422,509
10/09/2019 13:07:52.428,65,6553.5,-3276.8,-15,0.06,0.15,4.016,69,0.000,65535.000,0,0.014900,0.000500,0,65535,0,65535,0,0,-1.06,-0.91,-0.37,-0.08,-0.01,0.21,26.6,699,255,-128,-128,6553.5,417,415,514
10/09/2019 13:07:53.428,65,6553.5,-3276.8,-11,0.12,0.37,4.010,68,0.000,65535.000,0,0.014900,0.001660,0,65535,0,65535,0,0,-1.12,-0.91,-0.31,0.20,-0.09,0.07,26.6,699,255,-128,-128,6553.5,415,423,509
10/09/2019 13:07:54.428,65,6553.5,-3276.8,-2,0.23,0.30,4.005,67,0.000,65535.000,0,0.014900,0.000760,0,65535,0,65535,0,0,-1.12,-0.92,0.03,0.20,-0.13,-0.01,26.6,699,255,-128,-128,6553.5,416,423,508
10/09/2019 13:07:55.428,65,6553.5,-3276.8,4,0.19,0.26,4.005,67,0.000,65535.000,0,0.014900,0.000320,0,65535,0,65535,0,0,-1.09,-0.83,0.12,0.28,-0.16,0.10,26.6,699,255,-128,-128,6553.5,415,422,509
10/09/2019 13:07:56.428,0,6553.5,-3276.8,-8,0.12,0.25,4.005,67,0.000,65535.000,0,0.000800,0.004140,0,65535,0,65535,0,0,-1.07,-0.91,0.12,0.38,0.00,0.16,26.6,699,255,-128,-128,6553.5,416,423,509
10/09/2019 13:07:57.428,0,6553.5,-3276.8,-8,0.04,0.08,4.005,67,0.000,65535.000,0,0.000800,0.003540,0,65535,0,65535,0,0,-1.02,-0.92,0.08,0.24,0.00,0.09,26.6,699,255,-128,-128,6553.5,416,423,509
10/09/2019 13:07:58.428,0,6553.5,-3276.8,-10,0.03,0.08,4.005,67,0.000,65535.000,0,0.000800,0.001640,0,65535,0,65535,0,0,-1.09,-0.91,0.10,0.21,-0.06,0.08,26.6,699,255,-128,-128,6553.5,415,421,509
