Time,BreathingWaveform
23/09/2019 09:23:38.410,6509100
23/09/2019 09:23:38.450,6488612
23/09/2019 09:23:38.490,6455293
23/09/2019 09:23:38.530,6455293
23/09/2019 09:23:38.570,6421704
23/09/2019 09:23:38.610,6421704
23/09/2019 09:23:38.650,6389841
23/09/2019 09:23:38.690,6349028
23/09/2019 09:23:38.730,6326977
23/09/2019 09:23:38.770,6305195
23/09/2019 09:23:38.810,6312204
23/09/2019 09:23:38.850,6304333
23/09/2019 09:23:38.890,6300721
23/09/2019 09:23:38.930,6306975
23/09/2019 09:23:38.970,6328001
23/09/2019 09:23:39.010,6382293
23/09/2019 09:23:39.050,6411407
23/09/2019 09:23:39.090,6425640
23/09/2019 09:23:39.130,6427204
23/09/2019 09:23:39.170,6439820
23/09/2019 09:23:39.210,6450117
23/09/2019 09:23:39.250,6470389
23/09/2019 09:23:39.290,6527916
23/09/2019 09:23:39.330,6598867
23/09/2019 09:23:39.370,6675264
23/09/2019 09:23:39.410,6723032
23/09/2019 09:23:39.450,6718233
23/09/2019 09:23:39.490,6695104
23/09/2019 09:23:39.530,6648899
23/09/2019 09:23:39.570,6590133
23/09/2019 09:23:39.610,6569484
23/09/2019 09:23:39.650,6479824
23/09/2019 09:23:39.690,6447691
23/09/2019 09:23:39.730,6443971
23/09/2019 09:23:39.770,6437717
23/09/2019 09:23:39.810,6433997
23/09/2019 09:23:39.850,6443810
23/09/2019 09:23:39.890,6447422
23/09/2019 09:23:39.930,6446020
23/09/2019 09:23:39.970,6448392
23/09/2019 09:23:40.010,6445589
23/09/2019 09:23:40.050,6443216
23/09/2019 09:23:40.090,6441113
23/09/2019 09:23:40.130,6443810
23/09/2019 09:23:40.170,6446936
23/09/2019 09:23:40.210,6446343
23/09/2019 09:23:40.250,6447475
23/09/2019 09:23:40.290,6448985
23/09/2019 09:23:40.330,6448446
23/09/2019 09:23:40.370,6449308
23/09/2019 09:23:40.410,6451411
23/09/2019 09:23:40.450,6450117
23/09/2019 09:23:40.490,6451196
23/09/2019 09:23:40.530,6453190
23/09/2019 09:23:40.570,6453083
23/09/2019 09:23:40.610,6457558
23/09/2019 09:23:40.650,6459822
23/09/2019 09:23:40.690,6461224
23/09/2019 09:23:40.730,6462571
23/09/2019 09:23:40.770,6464459
23/09/2019 09:23:40.810,6465591
23/09/2019 09:23:40.850,6467801
23/09/2019 09:23:40.890,6474972
23/09/2019 09:23:40.930,6473031
23/09/2019 09:23:40.970,6471791
23/09/2019 09:23:41.010,6467586
23/09/2019 09:23:41.050,6459229
23/09/2019 09:23:41.090,6447044
23/09/2019 09:23:41.130,6440952
23/09/2019 09:23:41.170,6442084
23/09/2019 09:23:41.210,6429576
23/09/2019 09:23:41.250,6402295
23/09/2019 09:23:41.290,6391728
23/09/2019 09:23:41.330,6382455
23/09/2019 09:23:41.370,6364178
23/09/2019 09:23:41.410,6352209
23/09/2019 09:23:41.450,6344769
23/09/2019 09:23:41.490,6327246
23/09/2019 09:23:41.530,6294898
23/09/2019 09:23:41.570,6281851
23/09/2019 09:23:41.610,6284978
23/09/2019 09:23:41.650,6304117
23/09/2019 09:23:41.690,6307514
23/09/2019 09:23:41.730,6308592
23/09/2019 09:23:41.770,6326114
23/09/2019 09:23:41.810,6357870
23/09/2019 09:23:41.850,6380568
23/09/2019 09:23:41.890,6392968
23/09/2019 09:23:41.930,6398791
23/09/2019 09:23:41.970,6397605
23/09/2019 09:23:42.010,6396526
23/09/2019 09:23:42.050,6399438
23/09/2019 09:23:42.090,6401918
23/09/2019 09:23:42.130,6401648
23/09/2019 09:23:42.170,6404129
23/09/2019 09:23:42.210,6407525
23/09/2019 09:23:42.250,6408981
23/09/2019 09:23:42.290,6407417
23/09/2019 09:23:42.330,6405314
23/09/2019 09:23:42.370,6399923
23/09/2019 09:23:42.410,6395340
23/09/2019 09:23:42.450,6393723
23/09/2019 09:23:42.490,6393885
23/09/2019 09:23:42.530,6392537
23/09/2019 09:23:42.570,6392483
23/09/2019 09:23:42.610,6391458
23/09/2019 09:23:42.650,6391405
23/09/2019 09:23:42.690,6391243
23/09/2019 09:23:42.730,6392429
23/09/2019 09:23:42.770,6393939
23/09/2019 09:23:42.810,6395340
23/09/2019 09:23:42.850,6395502
23/09/2019 09:23:42.890,6397281
23/09/2019 09:23:42.930,6395879
23/09/2019 09:23:42.970,6396257
23/09/2019 09:23:43.010,6395879
23/09/2019 09:23:43.050,6396311
23/09/2019 09:23:43.090,6397012
23/09/2019 09:23:43.130,6396473
23/09/2019 09:23:43.170,6396850
23/09/2019 09:23:43.210,6397982
23/09/2019 09:23:43.250,6398953
23/09/2019 09:23:43.290,6398252
23/09/2019 09:23:43.330,6397767
23/09/2019 09:23:43.370,6397335
23/09/2019 09:23:43.410,6399007
23/09/2019 09:23:43.450,6399923
23/09/2019 09:23:43.490,6406177
23/09/2019 09:23:43.530,6411299
23/09/2019 09:23:43.570,6416744
23/09/2019 09:23:43.610,6421704
23/09/2019 09:23:43.650,6430331
23/09/2019 09:23:43.690,6439928
23/09/2019 09:23:43.730,6449686
23/09/2019 09:23:43.770,6459498
23/09/2019 09:23:43.810,6468556
23/09/2019 09:23:43.850,6478369
23/09/2019 09:23:43.890,6486024
23/09/2019 09:23:43.930,6491793
23/09/2019 09:23:43.970,6496160
23/09/2019 09:23:44.010,6499072
