Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
23/09/2019 09:23:38.410,65,8.1,-3276.8,-43,0.58,1.02,3.823,37,5351.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,2,-1.25,-0.51,-0.21,0.62,-0.15,0.32,23.9,528,255,-128,-128,6553.5,413,420,496
23/09/2019 09:23:39.410,65,8.1,-3276.8,-24,0.41,0.63,3.788,31,4827.000,65535.000,255,0.000000,0.000220,0,65535,0,65535,1,3,-1.06,-0.85,-0.18,0.44,-0.12,0.10,23.9,528,255,-128,-128,6553.5,410,414,491
23/09/2019 09:23:40.410,65,7.3,-3276.8,16,0.21,0.28,3.764,27,4260.000,65535.000,255,0.003520,0.000400,0,65535,0,65535,1,4,-1.03,-0.78,0.09,0.25,-0.13,0.04,23.9,528,255,-128,-128,6553.5,415,421,496
23/09/2019 09:23:41.410,65,7.3,-3276.8,-13,0.14,0.40,3.745,24,3685.000,65535.000,255,0.003520,0.000180,0,65535,0,65535,1,5,-1.07,-0.65,0.00,0.44,-0.15,0.46,23.9,528,255,-128,-128,6553.5,416,423,497
23/09/2019 09:23:42.410,65,7.6,-3276.8,-9,0.10,0.15,3.735,22,3217.000,65535.000,255,0.001100,0.000080,0,65535,0,65535,1,6,-1.03,-0.90,0.04,0.14,0.00,0.14,23.9,528,255,-128,-128,6553.5,415,422,496
23/09/2019 09:23:43.410,65,7.6,-3276.8,-7,0.08,0.16,3.734,22,2766.000,65535.000,255,0.001100,0.000020,0,65535,0,65535,1,7,-1.03,-0.93,-0.01,0.10,0.01,0.14,23.9,528,255,-128,-128,6553.5,415,422,496
23/09/2019 09:23:44.410,65,7.8,-3276.8,-6,0.05,0.08,3.744,24,2435.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,8,-1.02,-0.92,0.01,0.09,0.04,0.14,23.9,528,255,-128,-128,6553.5,415,422,496
23/09/2019 09:23:45.410,0,7.8,-3276.8,-7,0.02,0.04,3.754,25,2104.000,65535.000,255,0.000800,0.000000,0,65535,0,65535,1,9,-1.01,-0.93,0.03,0.08,0.06,0.14,23.9,531,255,-128,-128,6553.5,415,421,496
23/09/2019 09:23:46.410,0,8.1,-3276.8,-13,0.21,2.53,3.764,27,1842.000,65535.000,255,0.000800,0.000000,0,65535,0,65535,0,0,-1.36,1.01,-0.10,2.83,0.06,1.46,23.9,528,255,-128,-128,6553.5,415,423,496
23/09/2019 09:23:47.410,0,8.1,-3276.8,-42,0.75,1.18,3.774,29,1707.000,65535.000,255,0.000800,0.000000,0,65535,0,65535,3,0,-0.49,0.24,-0.16,0.98,0.50,1.03,23.9,528,255,-128,-128,6553.5,416,422,496
23/09/2019 09:23:48.410,0,8.4,-3276.8,-44,0.33,0.75,3.769,28,1522.000,65535.000,255,0.000800,0.000000,0,65535,0,65535,3,1,-1.22,-0.14,-0.48,0.72,0.28,0.79,23.9,528,255,-128,-128,6553.5,426,434,502
23/09/2019 09:23:49.410,0,8.4,-3276.8,-24,0.53,0.93,3.739,23,1380.000,65535.000,255,0.000800,0.000000,0,65535,0,65535,3,2,-1.42,-0.72,-0.44,0.44,-0.42,0.45,23.9,528,255,-128,-128,6553.5,415,420,496
23/09/2019 09:23:50.410,0,8.7,-3276.8,-9,0.42,0.83,3.709,18,1249.000,65535.000,255,0.000800,0.000000,0,65535,0,65535,3,3,-1.37,-0.71,-0.68,1.04,-0.30,0.38,23.9,528,255,-128,-128,6553.5,406,417,494
23/09/2019 09:23:51.410,0,8.7,-3276.8,-5,0.29,0.83,3.692,15,1098.000,65535.000,255,0.000800,0.000000,0,65535,0,65535,3,4,-1.69,-0.67,-0.51,0.16,-0.45,0.04,23.9,528,255,-128,-128,6553.5,414,422,496
23/09/2019 09:23:52.410,57,9.0,-3276.8,6,0.19,0.33,3.689,14,1020.000,65535.000,255,0.000800,0.001000,0,65535,0,65535,3,5,-1.10,-0.84,-0.25,0.04,-0.39,0.07,23.9,528,255,-128,-128,6553.5,415,422,496
23/09/2019 09:23:53.410,53,9.0,-3276.8,10,0.10,0.16,3.693,15,904.000,65535.000,255,0.008700,0.000800,0,65535,0,65535,1,0,-1.04,-0.91,-0.16,-0.03,-0.28,-0.06,23.9,528,255,-128,-128,6553.5,415,422,496
23/09/2019 09:23:54.410,51,9.2,-3276.8,10,0.04,0.12,3.710,18,800.000,65535.000,255,0.008700,0.000880,0,65535,0,65535,1,1,-1.10,-0.93,-0.19,-0.02,-0.21,-0.04,23.9,528,255,-128,-128,6553.5,415,422,496
23/09/2019 09:23:55.410,51,9.2,-3276.8,10,0.12,0.51,3.729,21,693.000,65535.000,255,0.008700,0.004020,0,65535,0,65535,1,2,-1.19,-0.45,-0.34,0.00,-0.53,0.12,23.9,528,255,-128,-128,6553.5,415,421,496
23/09/2019 09:23:56.410,50,9.3,-3276.8,11,0.06,0.13,3.743,23,607.000,65535.000,255,0.008700,0.002360,0,65535,0,65535,1,3,-1.04,-0.92,-0.31,-0.04,-0.22,-0.03,23.9,528,255,-128,-128,6553.5,415,422,496
23/09/2019 09:23:57.410,50,9.3,-3276.8,11,0.05,0.13,3.753,25,527.000,65535.000,255,0.007940,0.001260,0,65535,0,65535,1,4,-1.04,-0.87,-0.21,-0.07,-0.27,-0.03,23.9,528,255,-128,-128,6553.5,415,422,495
