Time,BreathingWaveform
05/03/2020 10:03:35.419,6667228
05/03/2020 10:03:35.459,6669179
05/03/2020 10:03:35.499,6669179
05/03/2020 10:03:35.539,6669950
05/03/2020 10:03:35.579,6669950
05/03/2020 10:03:35.619,6670720
05/03/2020 10:03:35.659,6670669
05/03/2020 10:03:35.699,6666714
05/03/2020 10:03:35.739,6665430
05/03/2020 10:03:35.779,6664865
05/03/2020 10:03:35.819,6663221
05/03/2020 10:03:35.859,6661784
05/03/2020 10:03:35.899,6660705
05/03/2020 10:03:35.939,6658445
05/03/2020 10:03:35.979,6658856
05/03/2020 10:03:36.019,6666765
05/03/2020 10:03:36.059,6691418
05/03/2020 10:03:36.099,6693729
05/03/2020 10:03:36.139,6691213
05/03/2020 10:03:36.179,6677346
05/03/2020 10:03:36.219,6672928
05/03/2020 10:03:36.259,6672107
05/03/2020 10:03:36.299,6669179
05/03/2020 10:03:36.339,6671285
05/03/2020 10:03:36.379,6673648
05/03/2020 10:03:36.419,6672620
05/03/2020 10:03:36.459,6674110
05/03/2020 10:03:36.499,6682636
05/03/2020 10:03:36.539,6701382
05/03/2020 10:03:36.579,6702358
05/03/2020 10:03:36.619,6718588
05/03/2020 10:03:36.659,6700971
05/03/2020 10:03:36.699,6689158
05/03/2020 10:03:36.739,6675342
05/03/2020 10:03:36.779,6673596
05/03/2020 10:03:36.819,6663427
05/03/2020 10:03:36.859,6659164
05/03/2020 10:03:36.899,6660962
05/03/2020 10:03:36.939,6660962
05/03/2020 10:03:36.979,6660243
05/03/2020 10:03:37.019,6666714
05/03/2020 10:03:37.059,6679708
05/03/2020 10:03:37.099,6681968
05/03/2020 10:03:37.139,6673750
05/03/2020 10:03:37.179,6661167
05/03/2020 10:03:37.219,6663941
05/03/2020 10:03:37.259,6673802
05/03/2020 10:03:37.299,6675651
05/03/2020 10:03:37.339,6673442
05/03/2020 10:03:37.379,6676986
05/03/2020 10:03:37.419,6679759
05/03/2020 10:03:37.459,6681814
05/03/2020 10:03:37.499,6681352
05/03/2020 10:03:37.539,6678219
05/03/2020 10:03:37.579,6683458
05/03/2020 10:03:37.619,6679246
05/03/2020 10:03:37.659,6666611
05/03/2020 10:03:37.699,6657572
05/03/2020 10:03:37.739,6665789
05/03/2020 10:03:37.779,6681403
05/03/2020 10:03:37.819,6677448
05/03/2020 10:03:37.859,6675959
05/03/2020 10:03:37.899,6659883
05/03/2020 10:03:37.939,6657623
05/03/2020 10:03:37.979,6658240
05/03/2020 10:03:38.019,6656391
05/03/2020 10:03:38.059,6654182
05/03/2020 10:03:38.099,6645092
05/03/2020 10:03:38.139,6728500
05/03/2020 10:03:38.179,6668614
05/03/2020 10:03:38.219,6683509
05/03/2020 10:03:38.259,6685152
05/03/2020 10:03:38.299,6635384
05/03/2020 10:03:38.339,6640726
05/03/2020 10:03:38.379,6594759
05/03/2020 10:03:38.419,6628913
05/03/2020 10:03:38.459,6759059
05/03/2020 10:03:38.499,6735588
05/03/2020 10:03:38.539,6724340
05/03/2020 10:03:38.579,6656647
05/03/2020 10:03:38.619,6650741
05/03/2020 10:03:38.659,6814066
05/03/2020 10:03:38.699,6867583
05/03/2020 10:03:38.739,6839592
05/03/2020 10:03:38.779,6739285
05/03/2020 10:03:38.819,6705953
05/03/2020 10:03:38.859,6832658
05/03/2020 10:03:38.899,6683920
05/03/2020 10:03:38.939,6683663
05/03/2020 10:03:38.979,6698249
05/03/2020 10:03:39.019,6682122
05/03/2020 10:03:39.059,6768150
05/03/2020 10:03:39.099,6749198
05/03/2020 10:03:39.139,6788899
05/03/2020 10:03:39.179,6878368
05/03/2020 10:03:39.219,6849093
05/03/2020 10:03:39.259,6834353
05/03/2020 10:03:39.299,6781401
05/03/2020 10:03:39.339,6737334
05/03/2020 10:03:39.379,6701947
05/03/2020 10:03:39.419,6795422
05/03/2020 10:03:39.459,6697479
05/03/2020 10:03:39.499,6683920
05/03/2020 10:03:39.539,6689980
05/03/2020 10:03:39.579,6701998
05/03/2020 10:03:39.619,6732968
05/03/2020 10:03:39.659,6783147
05/03/2020 10:03:39.699,6755207
05/03/2020 10:03:39.739,6762500
05/03/2020 10:03:39.779,6693524
05/03/2020 10:03:39.819,6693370
05/03/2020 10:03:39.859,6697633
05/03/2020 10:03:39.899,6702717
05/03/2020 10:03:39.939,6697530
05/03/2020 10:03:39.979,6755156
05/03/2020 10:03:40.019,6775340
05/03/2020 10:03:40.059,6769331
05/03/2020 10:03:40.099,6773132
05/03/2020 10:03:40.139,6738772
05/03/2020 10:03:40.179,6772772
05/03/2020 10:03:40.219,6752639
05/03/2020 10:03:40.259,6730503
05/03/2020 10:03:40.299,6718742
05/03/2020 10:03:40.339,6696811
05/03/2020 10:03:40.379,6689621
05/03/2020 10:03:40.419,6689826
05/03/2020 10:03:40.459,6697068
05/03/2020 10:03:40.499,6704926
05/03/2020 10:03:40.539,6715403
05/03/2020 10:03:40.579,6715352
05/03/2020 10:03:40.619,6725059
05/03/2020 10:03:40.659,6726651
