Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
21/10/2019 13:51:53.422,65,10.0,-3276.8,-73,0.24,0.34,4.180,96,0.000,65535.000,0,0.000000,0.000300,0,65535,0,65535,3,2,-0.27,-0.10,0.71,0.91,0.30,0.56,27.1,688,255,-128,-128,6553.5,415,428,512
21/10/2019 13:51:54.422,65,10.0,-3276.8,-72,0.16,0.38,4.180,96,0.000,65535.000,0,0.000000,0.000760,0,65535,0,65535,3,3,-0.48,-0.21,0.79,1.13,-0.02,0.51,27.1,688,255,-128,-128,6553.5,408,422,508
21/10/2019 13:51:55.422,65,10.0,-3276.8,-73,0.09,0.54,4.180,96,0.000,65535.000,0,0.003520,0.000480,0,65535,0,65535,3,4,-0.34,-0.02,0.67,1.27,0.18,0.71,27.1,688,255,-128,-128,6553.5,410,422,508
21/10/2019 13:51:56.422,65,10.0,-3276.8,-73,0.16,0.28,4.180,96,0.000,65535.000,0,0.003520,0.000960,0,65535,0,65535,1,0,-0.45,-0.09,0.66,1.13,0.04,0.51,27.1,688,255,-128,-128,6553.5,411,421,509
21/10/2019 13:51:57.422,60,10.0,-3276.8,-71,0.05,0.19,4.180,96,0.000,65535.000,0,0.003520,0.001000,0,65535,0,65535,1,1,-0.53,-0.21,0.77,0.97,0.16,0.36,27.1,688,255,-128,-128,6553.5,420,426,510
21/10/2019 13:51:58.422,54,10.0,-3276.8,-53,0.55,0.97,4.180,96,13053.000,65535.000,0,0.003520,0.001260,0,65535,0,65535,1,2,-1.38,-0.04,0.00,1.03,-0.25,0.61,27.1,688,255,-128,-128,6553.5,414,424,509
21/10/2019 13:51:59.422,47,10.0,-3276.8,-32,0.64,1.33,4.180,96,10053.000,65535.000,0,0.003520,0.001380,0,65535,0,65535,1,3,-1.33,-0.43,-0.96,0.62,-0.89,0.15,27.1,688,255,-128,-128,6553.5,406,411,505
21/10/2019 13:52:00.422,40,10.0,-3276.8,14,0.49,1.34,4.178,96,8294.000,65535.000,0,0.003520,0.000580,0,65535,0,65535,1,4,-1.24,-0.66,-0.95,0.66,-0.40,0.18,27.1,688,255,-128,-128,6553.5,417,423,509
21/10/2019 13:52:01.422,37,10.0,-3276.8,15,0.28,1.01,4.177,96,8384.000,65535.000,0,0.000000,0.000260,0,65535,0,65535,1,5,-1.80,-0.54,-0.09,0.68,-0.73,0.01,27.1,688,255,-128,-128,6553.5,402,415,502
21/10/2019 13:52:02.422,36,10.0,-3276.8,22,0.32,1.13,4.177,96,14318.000,65535.000,11,0.000000,0.000100,0,65535,0,65535,3,0,-1.39,-0.44,-0.40,0.27,-1.43,-0.01,27.1,688,255,-128,-128,6553.5,409,422,509
21/10/2019 13:52:03.422,35,10.0,-3276.8,26,0.27,0.98,4.177,96,22895.000,65535.000,11,0.000000,0.000040,0,65535,0,65535,3,1,-1.81,-0.30,-1.00,0.18,-0.98,0.06,27.1,688,255,-128,-128,6553.5,410,422,508
21/10/2019 13:52:04.422,35,10.0,-3276.8,15,0.59,1.69,4.177,96,20539.000,65535.000,11,0.000000,0.000020,0,65535,0,65535,3,2,-1.48,-0.46,-1.40,0.44,-0.93,1.61,27.1,688,255,-128,-128,6553.5,419,424,509
21/10/2019 13:52:05.422,35,10.0,-3276.8,6,0.29,0.92,4.177,96,16466.000,65535.000,11,0.000000,0.000000,0,65535,0,65535,3,3,-1.21,-0.68,-0.55,0.54,-0.31,0.87,27.1,688,255,-128,-128,6553.5,422,424,509
21/10/2019 13:52:06.422,35,10.0,-3276.8,3,0.16,0.25,4.177,96,13665.000,65535.000,22,0.000000,0.000500,0,65535,0,65535,3,4,-1.04,-0.95,0.03,0.20,-0.13,0.12,27.1,688,255,-128,-128,6553.5,427,424,509
21/10/2019 13:52:07.422,35,10.0,-3276.8,3,0.07,0.14,4.177,96,11630.000,65535.000,22,0.000000,0.001120,0,65535,0,65535,3,5,-1.06,-0.96,0.02,0.18,-0.08,0.10,27.1,688,255,-128,-128,6553.5,436,426,510
21/10/2019 13:52:08.422,35,10.0,-3276.8,3,0.03,0.07,4.177,96,9306.000,65535.000,22,0.000000,0.000980,0,65535,0,65535,3,6,-1.03,-0.97,0.01,0.14,-0.03,0.03,27.1,688,255,-128,-128,6553.5,426,424,509
21/10/2019 13:52:09.422,0,10.0,-3276.8,3,0.03,0.12,4.177,96,8976.000,65535.000,33,0.000800,0.001520,0,65535,0,65535,3,7,-1.04,-0.93,0.00,0.15,-0.12,0.13,27.1,688,255,-128,-128,6553.5,430,425,509
21/10/2019 13:52:10.422,62,10.0,-3276.8,-4,0.10,0.36,4.177,96,10821.000,65535.000,33,0.000800,0.001400,0,65535,0,65535,3,8,-1.13,-0.77,-0.06,0.25,-0.06,0.45,27.1,688,255,-128,-128,6553.5,425,424,511
21/10/2019 13:52:11.422,80,10.0,-3276.8,-7,0.25,0.67,4.177,96,13417.000,65535.000,33,0.012420,0.001880,0,65535,0,65535,1,0,-1.53,-0.55,-0.20,0.43,-0.31,0.78,27.1,688,255,-128,-128,6553.5,419,424,509
21/10/2019 13:52:12.422,88,10.0,-3276.8,-8,0.11,0.42,4.177,96,12420.000,65535.000,44,0.012420,0.001920,0,65535,0,65535,1,1,-1.22,-0.85,-0.14,0.31,-0.34,0.54,27.1,688,255,-128,-128,6553.5,428,424,509
21/10/2019 13:52:13.422,92,10.0,-3276.8,4,0.21,0.31,4.177,96,10763.000,65535.000,44,0.006660,0.001600,0,65535,0,65535,1,2,-1.14,-0.85,-0.10,0.14,-0.34,0.14,27.1,688,255,-128,-128,6553.5,426,424,508
21/10/2019 13:52:14.422,94,11.0,-3276.8,5,0.12,0.43,4.177,96,8597.000,65535.000,44,0.006660,0.001020,0,65535,0,65535,1,3,-1.13,-0.84,-0.16,0.14,-0.57,0.02,27.1,688,255,-128,-128,6553.5,416,423,510
21/10/2019 13:52:15.422,94,11.0,-3276.8,7,0.10,0.46,4.177,96,9387.000,65535.000,44,0.002980,0.001040,0,65535,0,65535,1,4,-1.38,-0.66,-0.49,0.51,-0.25,0.18,27.1,688,255,-128,-128,6553.5,415,422,509
21/10/2019 13:52:16.422,95,11.0,-3276.8,6,0.17,0.44,4.177,96,13489.000,65535.000,44,0.002980,0.000960,0,65535,0,65535,1,5,-1.39,-0.67,-0.24,0.38,-0.22,0.24,27.1,688,255,-128,-128,6553.5,425,425,510
21/10/2019 13:52:17.422,95,11.0,-3276.8,7,0.12,0.28,4.177,96,12261.000,65535.000,55,0.002980,0.000740,0,65535,0,65535,1,6,-1.30,-0.63,-0.12,0.25,-0.19,-0.02,27.1,688,255,-128,-128,6553.5,430,424,509
21/10/2019 13:52:18.422,96,11.0,-3276.8,7,0.11,0.25,4.177,96,10834.000,65535.000,55,0.002980,0.000720,1,65535,0,65535,1,7,-1.16,-0.90,-0.13,0.16,-0.39,0.12,27.1,688,255,-128,-128,6553.5,420,411,482
21/10/2019 13:52:19.422,96,11.0,-3276.8,7,0.11,0.26,4.177,96,8878.000,65535.000,55,0.002800,0.000700,8,65535,0,65535,1,8,-1.19,-0.86,-0.15,0.07,-0.30,0.15,27.1,688,255,-128,-128,6553.5,424,423,509
21/10/2019 13:52:20.422,96,12.0,-3276.8,7,0.05,0.18,4.176,96,8876.000,65535.000,55,0.002800,0.000560,15,65535,0,65535,1,9,-1.07,-0.95,-0.14,0.01,-0.25,0.02,27.1,688,255,-128,-128,6553.5,406,422,492
21/10/2019 13:52:21.422,97,12.0,-3276.8,7,0.06,0.10,4.176,96,17544.000,65535.000,55,0.002800,0.000460,23,65535,100,65535,1,10,-1.14,-0.93,-0.10,0.06,-0.19,-0.01,27.1,672,255,-128,-128,6553.5,416,423,509
21/10/2019 13:52:22.422,99,12.0,-3276.8,5,0.09,0.43,4.176,96,18065.000,65535.000,66,0.002800,0.000400,33,65535,0,65535,1,11,-1.20,-0.79,-0.44,0.43,-0.22,0.32,27.1,688,255,-128,-128,6553.5,410,416,519
21/10/2019 13:52:23.422,99,12.0,-3276.8,-2,0.24,0.32,4.176,96,16728.000,65535.000,66,0.002800,0.000320,41,65535,100,65535,1,12,-1.18,-0.90,0.07,0.21,0.09,0.20,27.1,640,255,-128,-128,6553.5,414,422,509
21/10/2019 13:52:24.422,99,12.0,-3276.8,-7,0.13,0.32,4.176,96,13742.000,65535.000,66,0.002800,0.000260,48,65535,0,65535,1,13,-1.18,-0.90,0.07,0.21,0.09,0.20,27.1,656,255,-128,-128,6553.5,415,423,510
21/10/2019 13:52:25.422,97,12.0,-3276.8,-11,0.13,0.15,4.176,96,11450.000,65535.000,66,0.002800,0.000300,42,65535,0,65535,1,14,-1.04,-0.92,0.07,0.22,0.12,0.26,27.1,656,210,-11,12,6553.5,416,424,509
21/10/2019 13:52:26.422,96,13.0,-3276.8,-11,0.07,0.44,4.176,96,9366.000,65535.000,66,0.002800,0.000240,37,65535,0,65535,1,15,-1.22,-0.69,-0.15,0.37,-0.09,0.56,27.1,656,254,0,12,6553.5,414,422,509
21/10/2019 13:52:27.422,96,13.0,-3276.8,-12,0.03,0.09,4.176,96,8586.000,65535.000,66,0.002340,0.000160,33,65535,100,65535,1,16,-1.02,-0.90,0.02,0.21,0.10,0.27,27.1,640,254,-7,12,6553.5,414,422,508
