Time,BreathingWaveform
25/10/2019 09:57:22.429,6812239
25/10/2019 09:57:22.469,6820635
25/10/2019 09:57:22.509,6820635
25/10/2019 09:57:22.549,6824218
25/10/2019 09:57:22.589,6826839
25/10/2019 09:57:22.629,6826839
25/10/2019 09:57:22.669,6828603
25/10/2019 09:57:22.709,6834326
25/10/2019 09:57:22.749,6837963
25/10/2019 09:57:22.789,6840637
25/10/2019 09:57:22.829,6859194
25/10/2019 09:57:22.869,6854595
25/10/2019 09:57:22.909,6863205
25/10/2019 09:57:22.949,6865023
25/10/2019 09:57:22.989,6864916
25/10/2019 09:57:23.029,6862884
25/10/2019 09:57:23.069,6860264
25/10/2019 09:57:23.109,6855397
25/10/2019 09:57:23.149,6851333
25/10/2019 09:57:23.189,6846626
25/10/2019 09:57:23.229,6842401
25/10/2019 09:57:23.269,6840690
25/10/2019 09:57:23.309,6835021
25/10/2019 09:57:23.349,6831491
25/10/2019 09:57:23.389,6826090
25/10/2019 09:57:23.429,6832401
25/10/2019 09:57:23.469,6845289
25/10/2019 09:57:23.509,6885880
25/10/2019 09:57:23.549,6941125
25/10/2019 09:57:23.589,6968186
25/10/2019 09:57:23.629,6987813
25/10/2019 09:57:23.669,7000862
25/10/2019 09:57:23.709,7006103
25/10/2019 09:57:23.749,7007226
25/10/2019 09:57:23.789,6997279
25/10/2019 09:57:23.829,7000701
25/10/2019 09:57:23.869,7009846
25/10/2019 09:57:23.909,7011932
25/10/2019 09:57:23.949,7008510
25/10/2019 09:57:23.989,6995995
25/10/2019 09:57:24.029,6980112
25/10/2019 09:57:24.069,6962731
25/10/2019 09:57:24.109,6949147
25/10/2019 09:57:24.149,6939467
25/10/2019 09:57:24.189,6935884
25/10/2019 09:57:24.229,6935724
25/10/2019 09:57:24.269,6935082
25/10/2019 09:57:24.309,6931071
25/10/2019 09:57:24.349,6926632
25/10/2019 09:57:24.389,6923530
25/10/2019 09:57:24.429,6921444
25/10/2019 09:57:24.469,6920001
25/10/2019 09:57:24.509,6920589
25/10/2019 09:57:24.549,6919519
25/10/2019 09:57:24.589,6916631
25/10/2019 09:57:24.629,6914973
25/10/2019 09:57:24.669,6912139
25/10/2019 09:57:24.709,6914118
25/10/2019 09:57:24.749,6916899
25/10/2019 09:57:24.789,6916845
25/10/2019 09:57:24.829,6913102
25/10/2019 09:57:24.869,6907219
25/10/2019 09:57:24.909,6904063
25/10/2019 09:57:24.949,6899197
25/10/2019 09:57:24.989,6894437
25/10/2019 09:57:25.029,6893475
25/10/2019 09:57:25.069,6889250
25/10/2019 09:57:25.109,6886950
25/10/2019 09:57:25.149,6886308
25/10/2019 09:57:25.189,6883795
25/10/2019 09:57:25.229,6880907
25/10/2019 09:57:25.269,6879356
25/10/2019 09:57:25.309,6878554
25/10/2019 09:57:25.349,6878981
25/10/2019 09:57:25.389,6879998
25/10/2019 09:57:25.429,6880372
25/10/2019 09:57:25.469,6881816
25/10/2019 09:57:25.509,6880639
25/10/2019 09:57:25.549,6880800
25/10/2019 09:57:25.589,6882993
25/10/2019 09:57:25.629,6883420
25/10/2019 09:57:25.669,6883902
25/10/2019 09:57:25.709,6885774
25/10/2019 09:57:25.749,6885774
25/10/2019 09:57:25.789,6881763
25/10/2019 09:57:25.829,6875238
25/10/2019 09:57:25.869,6868660
25/10/2019 09:57:25.909,6867911
25/10/2019 09:57:25.949,6867858
25/10/2019 09:57:25.989,6867697
25/10/2019 09:57:26.029,6865665
25/10/2019 09:57:26.069,6858873
25/10/2019 09:57:26.109,6852937
25/10/2019 09:57:26.149,6843417
25/10/2019 09:57:26.189,6834219
25/10/2019 09:57:26.229,6824914
25/10/2019 09:57:26.269,6819940
25/10/2019 09:57:26.309,6818763
25/10/2019 09:57:26.349,6818175
25/10/2019 09:57:26.389,6815769
25/10/2019 09:57:26.429,6814859
25/10/2019 09:57:26.469,6813576
25/10/2019 09:57:26.509,6812239
25/10/2019 09:57:26.549,6810848
25/10/2019 09:57:26.589,6810314
25/10/2019 09:57:26.629,6809137
25/10/2019 09:57:26.669,6808388
25/10/2019 09:57:26.709,6807479
25/10/2019 09:57:26.749,6806409
25/10/2019 09:57:26.789,6805500
25/10/2019 09:57:26.829,6806035
25/10/2019 09:57:26.869,6806303
25/10/2019 09:57:26.909,6805875
25/10/2019 09:57:26.949,6806731
25/10/2019 09:57:26.989,6808175
25/10/2019 09:57:27.029,6808281
25/10/2019 09:57:27.069,6809351
25/10/2019 09:57:27.109,6808977
25/10/2019 09:57:27.149,6810100
25/10/2019 09:57:27.189,6809832
25/10/2019 09:57:27.229,6809030
25/10/2019 09:57:27.269,6807265
25/10/2019 09:57:27.309,6807426
25/10/2019 09:57:27.349,6806517
25/10/2019 09:57:27.389,6805554
25/10/2019 09:57:27.429,6804431
25/10/2019 09:57:27.469,6803040
25/10/2019 09:57:27.509,6803843
25/10/2019 09:57:27.549,6809297
25/10/2019 09:57:27.589,6813094
25/10/2019 09:57:27.629,6813736
25/10/2019 09:57:27.669,6816303
25/10/2019 09:57:27.709,6816464
25/10/2019 09:57:27.749,6814913
25/10/2019 09:57:27.789,6811972
25/10/2019 09:57:27.829,6809244
25/10/2019 09:57:27.869,6808656
25/10/2019 09:57:27.909,6806570
25/10/2019 09:57:27.949,6807105
25/10/2019 09:57:27.989,6806356
25/10/2019 09:57:28.029,6805447
25/10/2019 09:57:28.069,6803468
25/10/2019 09:57:28.109,6803468
25/10/2019 09:57:28.149,6804163
25/10/2019 09:57:28.189,6805179
25/10/2019 09:57:28.229,6803843
25/10/2019 09:57:28.269,6802292
25/10/2019 09:57:28.309,6804912
25/10/2019 09:57:28.349,6806731
25/10/2019 09:57:28.389,6805554
25/10/2019 09:57:28.429,6803629
25/10/2019 09:57:28.469,6803361
25/10/2019 09:57:28.509,6802826
25/10/2019 09:57:28.549,6806837
25/10/2019 09:57:28.589,6812453
25/10/2019 09:57:28.629,6818603
25/10/2019 09:57:28.669,6834540
25/10/2019 09:57:28.709,6844915
25/10/2019 09:57:28.749,6849782
25/10/2019 09:57:28.789,6854221
25/10/2019 09:57:28.829,6853365
25/10/2019 09:57:28.869,6857429
25/10/2019 09:57:28.909,6860478
25/10/2019 09:57:28.949,6861012
25/10/2019 09:57:28.989,6857215
25/10/2019 09:57:29.029,6856574
25/10/2019 09:57:29.069,6850049
25/10/2019 09:57:29.109,6836893
25/10/2019 09:57:29.149,6836732
25/10/2019 09:57:29.189,6830850
25/10/2019 09:57:29.229,6824967
25/10/2019 09:57:29.269,6824539
25/10/2019 09:57:29.309,6818389
25/10/2019 09:57:29.349,6807158
25/10/2019 09:57:29.389,6804859
25/10/2019 09:57:29.429,6795393
25/10/2019 09:57:29.469,6783253
25/10/2019 09:57:29.509,6769615
