Time,Vertical,Lateral,Sagittal
27/09/2019 11:11:42.412,2014,2122,2039
27/09/2019 11:11:42.422,2015,2123,2037
27/09/2019 11:11:42.432,2016,2125,2038
27/09/2019 11:11:42.442,2016,2121,2038
27/09/2019 11:11:42.452,2015,2119,2038
27/09/2019 11:11:42.462,2017,2119,2038
27/09/2019 11:11:42.472,2016,2119,2038
27/09/2019 11:11:42.482,2015,2120,2037
27/09/2019 11:11:42.492,2015,2121,2039
27/09/2019 11:11:42.502,2016,2119,2038
27/09/2019 11:11:42.512,2015,2121,2037
27/09/2019 11:11:42.522,2015,2122,2037
27/09/2019 11:11:42.532,2015,2121,2040
27/09/2019 11:11:42.542,2015,2121,2040
27/09/2019 11:11:42.552,2015,2121,2040
27/09/2019 11:11:42.562,2015,2119,2037
27/09/2019 11:11:42.572,2015,2119,2037
27/09/2019 11:11:42.582,2015,2120,2037
27/09/2019 11:11:42.592,2014,2122,2037
27/09/2019 11:11:42.602,2014,2120,2038
27/09/2019 11:11:42.612,2014,2121,2038
27/09/2019 11:11:42.622,2013,2122,2036
27/09/2019 11:11:42.632,2013,2122,2036
27/09/2019 11:11:42.642,2013,2120,2037
27/09/2019 11:11:42.652,2014,2122,2037
27/09/2019 11:11:42.662,2014,2122,2036
27/09/2019 11:11:42.672,2016,2122,2036
27/09/2019 11:11:42.682,2015,2123,2036
27/09/2019 11:11:42.692,2015,2122,2036
27/09/2019 11:11:42.702,2015,2122,2037
27/09/2019 11:11:42.712,2015,2120,2039
27/09/2019 11:11:42.722,2015,2119,2037
27/09/2019 11:11:42.732,2015,2120,2038
27/09/2019 11:11:42.742,2016,2120,2037
27/09/2019 11:11:42.752,2015,2121,2039
27/09/2019 11:11:42.762,2017,2123,2038
27/09/2019 11:11:42.772,2016,2125,2038
27/09/2019 11:11:42.782,2015,2125,2037
27/09/2019 11:11:42.792,2015,2124,2039
27/09/2019 11:11:42.802,2015,2124,2037
27/09/2019 11:11:42.812,2014,2123,2038
27/09/2019 11:11:42.822,2014,2124,2037
27/09/2019 11:11:42.832,2014,2125,2038
27/09/2019 11:11:42.842,2013,2126,2038
27/09/2019 11:11:42.852,2014,2124,2038
27/09/2019 11:11:42.862,2014,2123,2038
27/09/2019 11:11:42.872,2014,2125,2039
27/09/2019 11:11:42.882,2014,2123,2038
27/09/2019 11:11:42.892,2013,2121,2037
27/09/2019 11:11:42.902,2014,2121,2039
27/09/2019 11:11:42.912,2014,2122,2038
27/09/2019 11:11:42.922,2015,2124,2039
27/09/2019 11:11:42.932,2015,2124,2036
