Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
27/09/2019 11:11:42.412,65,8.1,-3276.8,67,0.12,0.19,3.924,54,5932.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,2,-0.43,-0.36,0.83,0.93,-0.16,-0.09,25.2,528,255,-128,-128,6553.5,412,416,494
27/09/2019 11:11:43.412,65,8.1,-3276.8,66,0.06,0.10,3.898,49,5303.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,3,-0.43,-0.38,0.84,0.92,-0.16,-0.09,25.2,528,255,-128,-128,6553.5,411,414,493
27/09/2019 11:11:44.412,65,7.3,-3276.8,65,0.04,0.07,3.879,46,4676.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,4,-0.43,-0.37,0.85,0.93,-0.15,-0.09,25.2,528,255,-128,-128,6553.5,413,416,493
27/09/2019 11:11:45.412,65,7.3,-3276.8,66,0.02,0.06,3.869,44,4038.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,5,-0.42,-0.34,0.86,0.93,-0.15,-0.08,25.2,531,255,-128,-128,6553.5,416,419,496
27/09/2019 11:11:46.412,65,6.6,-3276.8,67,0.03,0.06,3.859,43,3513.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,0,0,-0.39,-0.32,0.89,0.95,-0.16,-0.09,25.2,528,255,-128,-128,6553.5,411,415,493
27/09/2019 11:11:47.412,65,6.6,-3276.8,70,0.10,0.24,3.857,42,3014.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,0,-0.39,-0.14,0.81,0.96,-0.36,-0.10,25.2,528,255,-128,-128,6553.5,412,415,494
27/09/2019 11:11:48.412,65,6.9,-3276.8,72,0.14,0.24,3.870,45,2624.000,65535.000,255,0.000000,0.000020,0,65535,0,65535,1,1,-0.37,-0.18,0.78,1.13,-0.37,0.07,25.2,528,255,-128,-128,6553.5,411,414,492
27/09/2019 11:11:49.412,0,6.9,-3276.8,71,0.07,0.15,3.888,48,2253.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,1,2,-0.37,-0.24,0.85,0.98,-0.20,0.01,25.2,528,255,-128,-128,6553.5,411,415,493
27/09/2019 11:11:50.412,0,7.3,-3276.8,71,0.04,0.09,3.898,49,1956.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,1,3,-0.39,-0.30,0.86,0.96,-0.19,-0.15,25.2,528,255,-128,-128,6553.5,411,416,493
27/09/2019 11:11:51.412,0,7.3,-3276.8,71,0.01,0.03,3.908,51,1679.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,1,4,-0.36,-0.27,0.87,0.96,-0.19,-0.15,25.2,531,255,-128,-128,6553.5,396,401,493
27/09/2019 11:11:52.412,0,7.6,-3276.8,71,0.02,0.06,3.907,51,1458.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.34,-0.25,0.87,0.96,-0.18,-0.15,25.2,531,255,-128,-128,6553.5,411,415,494
27/09/2019 11:11:53.412,0,7.6,-3276.8,72,0.01,0.03,3.878,46,1252.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,0,0,-0.33,-0.26,0.87,0.96,-0.18,-0.15,25.2,531,255,-128,-128,6553.5,412,416,493
