Time,BreathingWaveform
27/09/2019 11:20:35.414,6455529
27/09/2019 11:20:35.454,6454566
27/09/2019 11:20:35.494,6454566
27/09/2019 11:20:35.534,6452694
27/09/2019 11:20:35.574,6452694
27/09/2019 11:20:35.614,6452855
27/09/2019 11:20:35.654,6452427
27/09/2019 11:20:35.694,6451518
27/09/2019 11:20:35.734,6450662
27/09/2019 11:20:35.774,6448951
27/09/2019 11:20:35.814,6446705
27/09/2019 11:20:35.854,6442320
27/09/2019 11:20:35.894,6436383
27/09/2019 11:20:35.934,6431516
27/09/2019 11:20:35.974,6426543
27/09/2019 11:20:36.014,6423120
27/09/2019 11:20:36.054,6422746
27/09/2019 11:20:36.094,6421195
27/09/2019 11:20:36.134,6422211
27/09/2019 11:20:36.174,6423441
27/09/2019 11:20:36.214,6423388
27/09/2019 11:20:36.254,6422479
27/09/2019 11:20:36.294,6422479
27/09/2019 11:20:36.334,6424029
27/09/2019 11:20:36.374,6424404
27/09/2019 11:20:36.414,6424778
27/09/2019 11:20:36.454,6425420
27/09/2019 11:20:36.494,6425527
27/09/2019 11:20:36.534,6425580
27/09/2019 11:20:36.574,6412050
27/09/2019 11:20:36.614,6401033
27/09/2019 11:20:36.654,6394188
27/09/2019 11:20:36.694,6396701
27/09/2019 11:20:36.734,6408199
27/09/2019 11:20:36.774,6417772
27/09/2019 11:20:36.814,6423067
27/09/2019 11:20:36.854,6426222
27/09/2019 11:20:36.894,6427131
27/09/2019 11:20:36.934,6422265
27/09/2019 11:20:36.974,6418521
27/09/2019 11:20:37.014,6411515
27/09/2019 11:20:37.054,6404563
27/09/2019 11:20:37.094,6405525
27/09/2019 11:20:37.134,6403065
27/09/2019 11:20:37.174,6398519
27/09/2019 11:20:37.214,6395846
27/09/2019 11:20:37.254,6391193
27/09/2019 11:20:37.294,6385096
27/09/2019 11:20:37.334,6378144
27/09/2019 11:20:37.374,6370603
27/09/2019 11:20:37.414,6365523
27/09/2019 11:20:37.454,6364025
27/09/2019 11:20:37.494,6362902
27/09/2019 11:20:37.534,6365095
27/09/2019 11:20:37.574,6371352
27/09/2019 11:20:37.614,6370550
27/09/2019 11:20:37.654,6361725
27/09/2019 11:20:37.694,6358731
27/09/2019 11:20:37.734,6353490
27/09/2019 11:20:37.774,6357554
27/09/2019 11:20:37.814,6359479
27/09/2019 11:20:37.854,6363437
27/09/2019 11:20:37.894,6360067
27/09/2019 11:20:37.934,6355629
27/09/2019 11:20:37.974,6351457
27/09/2019 11:20:38.014,6344879
27/09/2019 11:20:38.054,6337873
27/09/2019 11:20:38.094,6331135
27/09/2019 11:20:38.134,6327178
27/09/2019 11:20:38.174,6326161
27/09/2019 11:20:38.214,6327605
27/09/2019 11:20:38.254,6336590
27/09/2019 11:20:38.294,6336109
