Time,BreathingWaveform
22/10/2019 12:05:51.444,6000202
22/10/2019 12:05:51.484,5953997
22/10/2019 12:05:51.524,5953997
22/10/2019 12:05:51.564,5949145
22/10/2019 12:05:51.604,5949145
22/10/2019 12:05:51.644,5947743
22/10/2019 12:05:51.684,5945101
22/10/2019 12:05:51.724,5944293
22/10/2019 12:05:51.764,5945210
22/10/2019 12:05:51.804,5944455
22/10/2019 12:05:51.844,5945048
22/10/2019 12:05:51.884,5945317
22/10/2019 12:05:51.924,5945048
22/10/2019 12:05:51.964,5944401
22/10/2019 12:05:52.004,5944616
22/10/2019 12:05:52.044,5942837
22/10/2019 12:05:52.084,5943430
22/10/2019 12:05:52.124,5939926
22/10/2019 12:05:52.164,5939764
22/10/2019 12:05:52.204,5936152
22/10/2019 12:05:52.244,5934588
22/10/2019 12:05:52.284,5932162
22/10/2019 12:05:52.324,5925962
22/10/2019 12:05:52.364,5920301
22/10/2019 12:05:52.404,5917443
22/10/2019 12:05:52.444,5918360
22/10/2019 12:05:52.484,5919708
22/10/2019 12:05:52.524,5918414
22/10/2019 12:05:52.564,5913993
22/10/2019 12:05:52.604,5911836
22/10/2019 12:05:52.644,5904774
22/10/2019 12:05:52.684,5910165
22/10/2019 12:05:52.724,5913831
22/10/2019 12:05:52.764,5914586
22/10/2019 12:05:52.804,5917875
22/10/2019 12:05:52.844,5921164
22/10/2019 12:05:52.884,5919816
22/10/2019 12:05:52.924,5917066
22/10/2019 12:05:52.964,5909356
22/10/2019 12:05:53.004,5902941
22/10/2019 12:05:53.044,5902186
22/10/2019 12:05:53.084,5898466
22/10/2019 12:05:53.124,5899220
22/10/2019 12:05:53.164,5899652
22/10/2019 12:05:53.204,5899328
22/10/2019 12:05:53.244,5901862
22/10/2019 12:05:53.284,5904450
22/10/2019 12:05:53.324,5904774
22/10/2019 12:05:53.364,5906175
22/10/2019 12:05:53.404,5905475
22/10/2019 12:05:53.444,5903641
22/10/2019 12:05:53.484,5902617
22/10/2019 12:05:53.524,5902078
22/10/2019 12:05:53.564,5904181
22/10/2019 12:05:53.604,5906499
22/10/2019 12:05:53.644,5907415
22/10/2019 12:05:53.684,5904666
22/10/2019 12:05:53.724,5906068
22/10/2019 12:05:53.764,5906876
22/10/2019 12:05:53.804,5905960
22/10/2019 12:05:53.844,5901647
22/10/2019 12:05:53.884,5898735
22/10/2019 12:05:53.924,5896956
22/10/2019 12:05:53.964,5899220
22/10/2019 12:05:54.004,5900676
22/10/2019 12:05:54.044,5903048
22/10/2019 12:05:54.084,5904720
22/10/2019 12:05:54.124,5901862
22/10/2019 12:05:54.164,5902132
22/10/2019 12:05:54.204,5902995
22/10/2019 12:05:54.244,5904450
22/10/2019 12:05:54.284,5907523
22/10/2019 12:05:54.324,5907523
22/10/2019 12:05:54.364,5909842
22/10/2019 12:05:54.404,5912052
22/10/2019 12:05:54.444,5913184
22/10/2019 12:05:54.484,5914748
22/10/2019 12:05:54.524,5916203
22/10/2019 12:05:54.564,5917012
22/10/2019 12:05:54.604,5923967
22/10/2019 12:05:54.644,5921056
22/10/2019 12:05:54.684,5923805
22/10/2019 12:05:54.724,5937446
22/10/2019 12:05:54.764,5962678
22/10/2019 12:05:54.804,5964349
22/10/2019 12:05:54.844,5960845
22/10/2019 12:05:54.884,5947743
22/10/2019 12:05:54.924,5926717
22/10/2019 12:05:54.964,5903695
22/10/2019 12:05:55.004,5900622
22/10/2019 12:05:55.044,5895231
22/10/2019 12:05:55.084,5898196
22/10/2019 12:05:55.124,5899922
22/10/2019 12:05:55.164,5898574
22/10/2019 12:05:55.204,5895231
22/10/2019 12:05:55.244,5894853
22/10/2019 12:05:55.284,5896740
22/10/2019 12:05:55.324,5895878
22/10/2019 12:05:55.364,5896740
22/10/2019 12:05:55.404,5898951
22/10/2019 12:05:55.444,5899652
22/10/2019 12:05:55.484,5899544
22/10/2019 12:05:55.524,5899813
22/10/2019 12:05:55.564,5898142
22/10/2019 12:05:55.604,5899220
22/10/2019 12:05:55.644,5900407
22/10/2019 12:05:55.684,5901377
22/10/2019 12:05:55.724,5903156
22/10/2019 12:05:55.764,5903102
22/10/2019 12:05:55.804,5904612
22/10/2019 12:05:55.844,5907092
22/10/2019 12:05:55.884,5907146
22/10/2019 12:05:55.924,5908386
22/10/2019 12:05:55.964,5908062
22/10/2019 12:05:56.004,5907200
22/10/2019 12:05:56.044,5905582
22/10/2019 12:05:56.084,5905690
22/10/2019 12:05:56.124,5906121
22/10/2019 12:05:56.164,5904235
22/10/2019 12:05:56.204,5908278
22/10/2019 12:05:56.244,5907847
22/10/2019 12:05:56.284,5908062
22/10/2019 12:05:56.324,5906661
22/10/2019 12:05:56.364,5906283
22/10/2019 12:05:56.404,5907901
22/10/2019 12:05:56.444,5909087
22/10/2019 12:05:56.484,5909087
22/10/2019 12:05:56.524,5908709
22/10/2019 12:05:56.564,5907901
22/10/2019 12:05:56.604,5908117
22/10/2019 12:05:56.644,5899167
22/10/2019 12:05:56.684,5889085
22/10/2019 12:05:56.724,5891295
22/10/2019 12:05:56.764,5892212
22/10/2019 12:05:56.804,5891564
22/10/2019 12:05:56.844,5885526
22/10/2019 12:05:56.884,5885472
22/10/2019 12:05:56.924,5890055
22/10/2019 12:05:56.964,5890540
22/10/2019 12:05:57.004,5891025
22/10/2019 12:05:57.044,5889408
22/10/2019 12:05:57.084,5893991
22/10/2019 12:05:57.124,5897495
22/10/2019 12:05:57.164,5900137
22/10/2019 12:05:57.204,5900299
22/10/2019 12:05:57.244,5903641
22/10/2019 12:05:57.284,5910758
22/10/2019 12:05:57.324,5914370
22/10/2019 12:05:57.364,5921325
22/10/2019 12:05:57.404,5929035
22/10/2019 12:05:57.444,5927256
22/10/2019 12:05:57.484,5927580
22/10/2019 12:05:57.524,5947043
22/10/2019 12:05:57.564,5962246
22/10/2019 12:05:57.604,5985106
22/10/2019 12:05:57.644,5991091
22/10/2019 12:05:57.684,6000633
22/10/2019 12:05:57.724,6004084
22/10/2019 12:05:57.764,6008235
22/10/2019 12:05:57.804,6003706
22/10/2019 12:05:57.844,5996644
22/10/2019 12:05:57.884,5988826
22/10/2019 12:05:57.924,5983003
22/10/2019 12:05:57.964,5976426
22/10/2019 12:05:58.004,5979553
22/10/2019 12:05:58.044,5982518
22/10/2019 12:05:58.084,5989797
22/10/2019 12:05:58.124,6002251
22/10/2019 12:05:58.164,6010554
22/10/2019 12:05:58.204,6022253
22/10/2019 12:05:58.244,6037349
22/10/2019 12:05:58.284,6069105
22/10/2019 12:05:58.324,6091209
22/10/2019 12:05:58.364,6094067
22/10/2019 12:05:58.404,6099943
22/10/2019 12:05:58.444,6103232
22/10/2019 12:05:58.484,6107006
22/10/2019 12:05:58.524,6117034
22/10/2019 12:05:58.564,6117250
22/10/2019 12:05:58.604,6116333
22/10/2019 12:05:58.644,6117843
22/10/2019 12:05:58.684,6115633
22/10/2019 12:05:58.724,6114824
22/10/2019 12:05:58.764,6113153
22/10/2019 12:05:58.804,6110619
22/10/2019 12:05:58.844,6109756
22/10/2019 12:05:58.884,6112344
22/10/2019 12:05:58.924,6115255
22/10/2019 12:05:58.964,6114500
22/10/2019 12:05:59.004,6118059
22/10/2019 12:05:59.044,6119083
22/10/2019 12:05:59.084,6117897
22/10/2019 12:05:59.124,6116549
22/10/2019 12:05:59.164,6114339
22/10/2019 12:05:59.204,6113206
22/10/2019 12:05:59.244,6110295
22/10/2019 12:05:59.284,6109001
22/10/2019 12:05:59.324,6106575
22/10/2019 12:05:59.364,6104257
