Time,BreathingWaveform
17/09/2019 13:12:12.444,6283324
17/09/2019 13:12:12.484,6284073
17/09/2019 13:12:12.524,6284073
17/09/2019 13:12:12.564,6281185
17/09/2019 13:12:12.604,6281185
17/09/2019 13:12:12.644,6281452
17/09/2019 13:12:12.684,6280383
17/09/2019 13:12:12.724,6279367
17/09/2019 13:12:12.764,6280864
17/09/2019 13:12:12.804,6279153
17/09/2019 13:12:12.844,6281078
17/09/2019 13:12:12.884,6281399
17/09/2019 13:12:12.924,6281666
17/09/2019 13:12:12.964,6280704
17/09/2019 13:12:13.004,6279527
17/09/2019 13:12:13.044,6278457
17/09/2019 13:12:13.084,6278725
17/09/2019 13:12:13.124,6277121
17/09/2019 13:12:13.164,6277174
17/09/2019 13:12:13.204,6276532
17/09/2019 13:12:13.244,6274393
17/09/2019 13:12:13.284,6273323
17/09/2019 13:12:13.324,6271880
17/09/2019 13:12:13.364,6271612
17/09/2019 13:12:13.404,6271131
17/09/2019 13:12:13.444,6271398
17/09/2019 13:12:13.484,6272468
17/09/2019 13:12:13.524,6273858
17/09/2019 13:12:13.564,6274125
17/09/2019 13:12:13.604,6274714
17/09/2019 13:12:13.644,6274607
17/09/2019 13:12:13.684,6274286
17/09/2019 13:12:13.724,6274874
17/09/2019 13:12:13.764,6274874
17/09/2019 13:12:13.804,6274767
17/09/2019 13:12:13.844,6275463
17/09/2019 13:12:13.884,6275195
17/09/2019 13:12:13.924,6274019
17/09/2019 13:12:13.964,6273698
17/09/2019 13:12:14.004,6272628
17/09/2019 13:12:14.044,6270703
17/09/2019 13:12:14.084,6269740
17/09/2019 13:12:14.124,6269420
17/09/2019 13:12:14.164,6270168
17/09/2019 13:12:14.204,6270008
17/09/2019 13:12:14.244,6270756
17/09/2019 13:12:14.284,6271024
17/09/2019 13:12:14.324,6270864
17/09/2019 13:12:14.364,6272094
17/09/2019 13:12:14.404,6272147
17/09/2019 13:12:14.444,6272308
17/09/2019 13:12:14.484,6271773
17/09/2019 13:12:14.524,6271986
17/09/2019 13:12:14.564,6270970
17/09/2019 13:12:14.604,6270917
17/09/2019 13:12:14.644,6270542
17/09/2019 13:12:14.684,6270115
17/09/2019 13:12:14.724,6269687
17/09/2019 13:12:14.764,6269633
17/09/2019 13:12:14.804,6269687
17/09/2019 13:12:14.844,6270061
17/09/2019 13:12:14.884,6270061
17/09/2019 13:12:14.924,6270489
17/09/2019 13:12:14.964,6271024
17/09/2019 13:12:15.004,6271024
17/09/2019 13:12:15.044,6270810
17/09/2019 13:12:15.084,6271024
17/09/2019 13:12:15.124,6270864
17/09/2019 13:12:15.164,6271666
17/09/2019 13:12:15.204,6271933
17/09/2019 13:12:15.244,6271238
17/09/2019 13:12:15.284,6270382
17/09/2019 13:12:15.324,6270008
17/09/2019 13:12:15.364,6269045
17/09/2019 13:12:15.404,6268885
17/09/2019 13:12:15.444,6268938
17/09/2019 13:12:15.484,6269259
17/09/2019 13:12:15.524,6268564
17/09/2019 13:12:15.564,6268885
17/09/2019 13:12:15.604,6268457
17/09/2019 13:12:15.644,6268510
17/09/2019 13:12:15.684,6268189
17/09/2019 13:12:15.724,6267762
17/09/2019 13:12:15.764,6267976
17/09/2019 13:12:15.804,6266639
17/09/2019 13:12:15.844,6267548
17/09/2019 13:12:15.884,6267868
17/09/2019 13:12:15.924,6268510
17/09/2019 13:12:15.964,6269366
17/09/2019 13:12:16.004,6268885
17/09/2019 13:12:16.044,6269473
17/09/2019 13:12:16.084,6268724
17/09/2019 13:12:16.124,6268724
17/09/2019 13:12:16.164,6268617
17/09/2019 13:12:16.204,6270329
17/09/2019 13:12:16.244,6271131
17/09/2019 13:12:16.284,6271773
17/09/2019 13:12:16.324,6268724
