SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,17,47532694,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,17,47541469,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,17,47550600,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,17,47551619,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2019,09,17,47551620,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,17,47552719,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,17,47557469,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,17,47564589,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,17,47569469,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,17,47570461,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,17,47570836,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,17,47571243,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,17,47571459,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,17,47571460,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,17,47575469,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,09,17,47582350,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,17,49576393,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,17,49576409,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,17,49576409,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
