SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,09,24,49559434,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,09,24,49598120,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,09,24,49599119,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,09,24,49608999,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,24,49630499,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,24,49631499,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,24,49632499,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,24,49633499,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,24,49634619,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,24,49635619,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,24,49636500,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,24,49637499,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,24,49638370,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,24,49639499,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,09,24,49640370,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,09,24,50343350,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,24,50356999,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,24,50404990,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,24,50476990,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,24,50513092,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,24,50526719,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,24,50594849,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,09,24,50610469,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,24,50701220,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,09,24,50707349,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,09,24,50712219,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,09,24,50718212,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,09,24,50722989,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,09,24,50756619,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,09,24,50777219,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,09,24,50782219,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,09,24,50792989,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,09,24,50798979,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,09,24,50806840,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,09,24,50811839,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,09,24,50816719,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Orange.
0,2019,09,24,50838339,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Red.
0,2019,09,24,50899210,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,09,24,51611970,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,09,24,51612200,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,09,24,51612200,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
