Time,BreathingWaveform
31/10/2019 14:17:55.435,6878112
31/10/2019 14:17:55.475,6881450
31/10/2019 14:17:55.515,6881450
31/10/2019 14:17:55.555,6881707
31/10/2019 14:17:55.595,6881707
31/10/2019 14:17:55.635,6882220
31/10/2019 14:17:55.675,6882426
31/10/2019 14:17:55.715,6886175
31/10/2019 14:17:55.755,6886329
31/10/2019 14:17:55.795,6885918
31/10/2019 14:17:55.835,6883556
31/10/2019 14:17:55.875,6884429
31/10/2019 14:17:55.915,6880166
31/10/2019 14:17:55.955,6879344
31/10/2019 14:17:55.995,6879601
31/10/2019 14:17:56.035,6880372
31/10/2019 14:17:56.075,6879087
31/10/2019 14:17:56.115,6876828
31/10/2019 14:17:56.155,6875749
31/10/2019 14:17:56.195,6880269
31/10/2019 14:17:56.235,6881553
31/10/2019 14:17:56.275,6881501
31/10/2019 14:17:56.315,6881604
31/10/2019 14:17:56.355,6880217
31/10/2019 14:17:56.395,6879704
31/10/2019 14:17:56.435,6877906
31/10/2019 14:17:56.475,6876725
31/10/2019 14:17:56.515,6877239
31/10/2019 14:17:56.555,6878317
31/10/2019 14:17:56.595,6878933
31/10/2019 14:17:56.635,6877701
31/10/2019 14:17:56.675,6877444
31/10/2019 14:17:56.715,6877393
31/10/2019 14:17:56.755,6877033
31/10/2019 14:17:56.795,6878728
31/10/2019 14:17:56.835,6884377
31/10/2019 14:17:56.875,6885764
31/10/2019 14:17:56.915,6885353
31/10/2019 14:17:56.955,6882580
31/10/2019 14:17:56.995,6879961
31/10/2019 14:17:57.035,6877906
31/10/2019 14:17:57.075,6878266
31/10/2019 14:17:57.115,6877803
31/10/2019 14:17:57.155,6877444
31/10/2019 14:17:57.195,6877136
31/10/2019 14:17:57.235,6877444
31/10/2019 14:17:57.275,6879652
31/10/2019 14:17:57.315,6883761
31/10/2019 14:17:57.355,6882888
31/10/2019 14:17:57.395,6882940
31/10/2019 14:17:57.435,6878933
31/10/2019 14:17:57.475,6876263
31/10/2019 14:17:57.515,6876057
31/10/2019 14:17:57.555,6877752
31/10/2019 14:17:57.595,6880988
31/10/2019 14:17:57.635,6888127
31/10/2019 14:17:57.675,6883094
31/10/2019 14:17:57.715,6879087
31/10/2019 14:17:57.755,6879190
31/10/2019 14:17:57.795,6881707
31/10/2019 14:17:57.835,6883453
31/10/2019 14:17:57.875,6883350
31/10/2019 14:17:57.915,6883915
31/10/2019 14:17:57.955,6884275
31/10/2019 14:17:57.995,6885713
31/10/2019 14:17:58.035,6886586
31/10/2019 14:17:58.075,6887921
31/10/2019 14:17:58.115,6885559
31/10/2019 14:17:58.155,6884377
31/10/2019 14:17:58.195,6880526
31/10/2019 14:17:58.235,6878574
31/10/2019 14:17:58.275,6877752
31/10/2019 14:17:58.315,6878522
31/10/2019 14:17:58.355,6877701
31/10/2019 14:17:58.395,6878163
31/10/2019 14:17:58.435,6878471
31/10/2019 14:17:58.475,6877752
31/10/2019 14:17:58.515,6877495
31/10/2019 14:17:58.555,6877239
31/10/2019 14:17:58.595,6877598
31/10/2019 14:17:58.635,6879344
31/10/2019 14:17:58.675,6877649
31/10/2019 14:17:58.715,6876828
31/10/2019 14:17:58.755,6875441
31/10/2019 14:17:58.795,6876109
31/10/2019 14:17:58.835,6875184
31/10/2019 14:17:58.875,6874362
31/10/2019 14:17:58.915,6873900
31/10/2019 14:17:58.955,6874311
31/10/2019 14:17:58.995,6873849
31/10/2019 14:17:59.035,6876930
31/10/2019 14:17:59.075,6878522
31/10/2019 14:17:59.115,6880166
31/10/2019 14:17:59.155,6881861
31/10/2019 14:17:59.195,6882374
31/10/2019 14:17:59.235,6881296
31/10/2019 14:17:59.275,6882734
31/10/2019 14:17:59.315,6882374
31/10/2019 14:17:59.355,6882477
31/10/2019 14:17:59.395,6883453
31/10/2019 14:17:59.435,6886329
31/10/2019 14:17:59.475,6887973
31/10/2019 14:17:59.515,6889205
31/10/2019 14:17:59.555,6891414
31/10/2019 14:17:59.595,6893109
31/10/2019 14:17:59.635,6896139
31/10/2019 14:17:59.675,6897063
31/10/2019 14:17:59.715,6898039
31/10/2019 14:17:59.755,6900556
31/10/2019 14:17:59.795,6903124
31/10/2019 14:17:59.835,6901326
31/10/2019 14:17:59.875,6899837
31/10/2019 14:17:59.915,6899888
31/10/2019 14:17:59.955,6899837
31/10/2019 14:17:59.995,6901275
31/10/2019 14:18:00.035,6901480
31/10/2019 14:18:00.075,6903432
31/10/2019 14:18:00.115,6904716
31/10/2019 14:18:00.155,6904511
31/10/2019 14:18:00.195,6904922
31/10/2019 14:18:00.235,6906360
31/10/2019 14:18:00.275,6908311
31/10/2019 14:18:00.315,6908774
31/10/2019 14:18:00.355,6908620
31/10/2019 14:18:00.395,6909595
31/10/2019 14:18:00.435,6908620
31/10/2019 14:18:00.475,6908876
31/10/2019 14:18:00.515,6908620
31/10/2019 14:18:00.555,6909493
31/10/2019 14:18:00.595,6909595
31/10/2019 14:18:00.635,6910006
31/10/2019 14:18:00.675,6910057
31/10/2019 14:18:00.715,6910057
31/10/2019 14:18:00.755,6910211
31/10/2019 14:18:00.795,6909852
31/10/2019 14:18:00.835,6908979
31/10/2019 14:18:00.875,6907489
31/10/2019 14:18:00.915,6905692
31/10/2019 14:18:00.955,6905230
31/10/2019 14:18:00.995,6905487
31/10/2019 14:18:01.035,6904408
31/10/2019 14:18:01.075,6903946
31/10/2019 14:18:01.115,6905076
31/10/2019 14:18:01.155,6904511
31/10/2019 14:18:01.195,6903843
31/10/2019 14:18:01.235,6903740
31/10/2019 14:18:01.275,6903689
31/10/2019 14:18:01.315,6903278
31/10/2019 14:18:01.355,6903483
31/10/2019 14:18:01.395,6903894
31/10/2019 14:18:01.435,6903946
31/10/2019 14:18:01.475,6903432
31/10/2019 14:18:01.515,6902867
31/10/2019 14:18:01.555,6902918
31/10/2019 14:18:01.595,6903432
31/10/2019 14:18:01.635,6902918
31/10/2019 14:18:01.675,6902046
31/10/2019 14:18:01.715,6901789
31/10/2019 14:18:01.755,6902097
31/10/2019 14:18:01.795,6902200
31/10/2019 14:18:01.835,6902302
31/10/2019 14:18:01.875,6901943
31/10/2019 14:18:01.915,6903021
31/10/2019 14:18:01.955,6903175
31/10/2019 14:18:01.995,6903278
31/10/2019 14:18:02.035,6901891
31/10/2019 14:18:02.075,6901891
31/10/2019 14:18:02.115,6901840
31/10/2019 14:18:02.155,6901172
31/10/2019 14:18:02.195,6901326
31/10/2019 14:18:02.235,6900504
31/10/2019 14:18:02.275,6899786
31/10/2019 14:18:02.315,6899837
31/10/2019 14:18:02.355,6900607
31/10/2019 14:18:02.395,6901378
31/10/2019 14:18:02.435,6903021
31/10/2019 14:18:02.475,6902918
31/10/2019 14:18:02.515,6901737
31/10/2019 14:18:02.555,6900556
31/10/2019 14:18:02.595,6900299
31/10/2019 14:18:02.635,6898861
31/10/2019 14:18:02.675,6895060
31/10/2019 14:18:02.715,6892698
31/10/2019 14:18:02.755,6890233
31/10/2019 14:18:02.795,6887664
31/10/2019 14:18:02.835,6875338
31/10/2019 14:18:02.875,6859519
31/10/2019 14:18:02.915,6852740
31/10/2019 14:18:02.955,6845806
31/10/2019 14:18:02.995,6842417
31/10/2019 14:18:03.035,6851764
31/10/2019 14:18:03.075,6862960
31/10/2019 14:18:03.115,6844676
31/10/2019 14:18:03.155,6840516
31/10/2019 14:18:03.195,6833634
31/10/2019 14:18:03.235,6827984
31/10/2019 14:18:03.275,6829217
31/10/2019 14:18:03.315,6825519
31/10/2019 14:18:03.355,6826803
31/10/2019 14:18:03.395,6826290
31/10/2019 14:18:03.435,6826803
31/10/2019 14:18:03.475,6827471
31/10/2019 14:18:03.515,6826598
31/10/2019 14:18:03.555,6825827
31/10/2019 14:18:03.595,6837897
31/10/2019 14:18:03.635,6834199
31/10/2019 14:18:03.675,6822335
31/10/2019 14:18:03.715,6814323
31/10/2019 14:18:03.755,6816634
31/10/2019 14:18:03.795,6822335
31/10/2019 14:18:03.835,6808981
31/10/2019 14:18:03.875,6812063
