SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,10,28,51824429,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,10,28,51891700,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,28,51891899,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,10,28,51896769,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,28,51912389,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,28,52721249,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,28,52729249,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,28,52734120,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,28,52741999,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,28,52754879,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,28,52760749,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,28,52767749,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,28,52788490,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,28,52794240,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,28,52829859,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,28,52840740,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,28,52859479,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,28,52864360,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,28,52926999,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,28,52931859,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,28,53006860,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,28,53011739,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,28,53017620,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,28,53023740,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,28,53029489,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,28,53036359,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,28,53231479,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,28,53237230,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,10,28,53242360,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,10,28,53966087,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,10,28,53968970,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,28,53970989,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,10,28,53975192,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,28,53975839,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,10,28,53975976,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,28,53976839,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
