Time,BreathingWaveform
25/09/2019 13:45:39.424,5997021
25/09/2019 13:45:39.464,5985807
25/09/2019 13:45:39.504,5964619
25/09/2019 13:45:39.544,5964619
25/09/2019 13:45:39.584,5964619
25/09/2019 13:45:39.624,5951086
25/09/2019 13:45:39.664,5940627
25/09/2019 13:45:39.704,5942352
25/09/2019 13:45:39.744,5946180
25/09/2019 13:45:39.784,5948067
25/09/2019 13:45:39.824,5947797
25/09/2019 13:45:39.864,5956909
25/09/2019 13:45:39.904,5925261
25/09/2019 13:45:39.944,5912484
25/09/2019 13:45:39.984,5918630
25/09/2019 13:45:40.024,5922026
25/09/2019 13:45:40.064,5936367
25/09/2019 13:45:40.104,5969471
25/09/2019 13:45:40.144,6006779
25/09/2019 13:45:40.184,5999124
25/09/2019 13:45:40.224,6019557
25/09/2019 13:45:40.264,6018156
25/09/2019 13:45:40.304,6011955
25/09/2019 13:45:40.344,6006941
25/09/2019 13:45:40.384,5999016
25/09/2019 13:45:40.424,5983758
25/09/2019 13:45:40.464,5982788
25/09/2019 13:45:40.504,5970926
25/09/2019 13:45:40.544,5950062
25/09/2019 13:45:40.584,5951302
25/09/2019 13:45:40.624,5948283
25/09/2019 13:45:40.664,5947959
25/09/2019 13:45:40.704,5948390
25/09/2019 13:45:40.744,5948390
25/09/2019 13:45:40.784,5951140
25/09/2019 13:45:40.824,5951463
25/09/2019 13:45:40.864,5953135
25/09/2019 13:45:40.904,5952650
25/09/2019 13:45:40.944,5951248
25/09/2019 13:45:40.984,5950439
25/09/2019 13:45:41.024,5949738
25/09/2019 13:45:41.064,5949900
25/09/2019 13:45:41.104,5950817
25/09/2019 13:45:41.144,5950439
25/09/2019 13:45:41.184,5947312
25/09/2019 13:45:41.224,5950924
25/09/2019 13:45:41.264,5947366
25/09/2019 13:45:41.304,5948067
25/09/2019 13:45:41.344,5940357
25/09/2019 13:45:41.384,5942999
25/09/2019 13:45:41.424,5941974
25/09/2019 13:45:41.464,5943754
25/09/2019 13:45:41.504,5933833
25/09/2019 13:45:41.544,5933618
25/09/2019 13:45:41.584,5938794
25/09/2019 13:45:41.624,5935343
25/09/2019 13:45:41.664,5938740
25/09/2019 13:45:41.704,5935397
25/09/2019 13:45:41.744,5935882
25/09/2019 13:45:41.784,5932324
25/09/2019 13:45:41.824,5932971
25/09/2019 13:45:41.864,5930383
25/09/2019 13:45:41.904,5929952
25/09/2019 13:45:41.944,5928873
25/09/2019 13:45:41.984,5930059
25/09/2019 13:45:42.024,5931515
25/09/2019 13:45:42.064,5931192
25/09/2019 13:45:42.104,5933402
25/09/2019 13:45:42.144,5932486
25/09/2019 13:45:42.184,5931893
25/09/2019 13:45:42.224,5931353
25/09/2019 13:45:42.264,5930653
25/09/2019 13:45:42.304,5930491
25/09/2019 13:45:42.344,5930437
25/09/2019 13:45:42.384,5930545
25/09/2019 13:45:42.424,5930437
25/09/2019 13:45:42.464,5930437
25/09/2019 13:45:42.504,5930706
25/09/2019 13:45:42.544,5929251
25/09/2019 13:45:42.584,5927741
25/09/2019 13:45:42.624,5924992
25/09/2019 13:45:42.664,5922727
25/09/2019 13:45:42.704,5920516
25/09/2019 13:45:42.744,5935020
25/09/2019 13:45:42.784,5956855
25/09/2019 13:45:42.824,5961384
25/09/2019 13:45:42.864,5917983
25/09/2019 13:45:42.904,5901754
25/09/2019 13:45:42.944,5925153
25/09/2019 13:45:42.984,5915341
25/09/2019 13:45:43.024,5924452
25/09/2019 13:45:43.064,5958742
25/09/2019 13:45:43.104,5926393
25/09/2019 13:45:43.144,5904073
25/09/2019 13:45:43.184,5895662
