SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,10,01,49540676,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,10,01,49543957,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,01,49544052,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,10,01,49564640,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,01,49564647,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,10,01,49565101,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,10,01,49565529,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2019,10,01,49570270,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,01,49575399,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,01,49579149,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,10,01,49580150,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,01,49581279,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,10,01,49587039,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,10,01,50716749,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,01,50728490,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,01,50788739,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,01,50794749,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,01,50800490,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,01,50818360,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,10,01,50858739,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2019,10,01,50882479,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
