Time,Vertical,Lateral,Sagittal
17/10/2019 08:58:56.427,2040,2125,2068
17/10/2019 08:58:56.437,2047,2118,2080
17/10/2019 08:58:56.447,2053,2118,2081
17/10/2019 08:58:56.457,2058,2130,2084
17/10/2019 08:58:56.467,2055,2129,2083
17/10/2019 08:58:56.477,2049,2130,2082
17/10/2019 08:58:56.487,2049,2125,2082
17/10/2019 08:58:56.497,2048,2122,2081
17/10/2019 08:58:56.507,2047,2120,2085
17/10/2019 08:58:56.517,2046,2120,2088
17/10/2019 08:58:56.527,2046,2125,2088
17/10/2019 08:58:56.537,2046,2124,2091
17/10/2019 08:58:56.547,2051,2115,2086
17/10/2019 08:58:56.557,2051,2115,2086
17/10/2019 08:58:56.567,2051,2115,2086
17/10/2019 08:58:56.577,2051,2115,2078
17/10/2019 08:58:56.587,2051,2115,2078
17/10/2019 08:58:56.597,2051,2115,2078
17/10/2019 08:58:56.607,2051,2116,2077
17/10/2019 08:58:56.617,2052,2123,2083
17/10/2019 08:58:56.627,2052,2123,2083
17/10/2019 08:58:56.637,2052,2120,2081
17/10/2019 08:58:56.647,2052,2113,2083
17/10/2019 08:58:56.657,2046,2115,2089
17/10/2019 08:58:56.667,2046,2115,2089
17/10/2019 08:58:56.677,2048,2122,2094
17/10/2019 08:58:56.687,2052,2121,2095
17/10/2019 08:58:56.697,2053,2106,2087
17/10/2019 08:58:56.707,2053,2109,2087
17/10/2019 08:58:56.717,2058,2112,2095
17/10/2019 08:58:56.727,2059,2110,2096
17/10/2019 08:58:56.737,2054,2111,2096
17/10/2019 08:58:56.747,2053,2113,2096
17/10/2019 08:58:56.757,2052,2112,2099
17/10/2019 08:58:56.767,2052,2113,2105
17/10/2019 08:58:56.777,2051,2116,2105
17/10/2019 08:58:56.787,2053,2115,2109
17/10/2019 08:58:56.797,2058,2116,2108
17/10/2019 08:58:56.807,2056,2117,2108
17/10/2019 08:58:56.817,2055,2116,2107
17/10/2019 08:58:56.827,2058,2114,2108
17/10/2019 08:58:56.837,2060,2112,2106
17/10/2019 08:58:56.847,2061,2111,2102
17/10/2019 08:58:56.857,2062,2114,2101
17/10/2019 08:58:56.867,2060,2116,2099
17/10/2019 08:58:56.877,2058,2117,2099
17/10/2019 08:58:56.887,2060,2115,2098
17/10/2019 08:58:56.897,2058,2109,2097
17/10/2019 08:58:56.907,2052,2114,2099
17/10/2019 08:58:56.917,2051,2116,2098
17/10/2019 08:58:56.927,2055,2114,2098
17/10/2019 08:58:56.937,2059,2113,2095
17/10/2019 08:58:56.947,2061,2113,2096
17/10/2019 08:58:56.957,2062,2109,2096
17/10/2019 08:58:56.967,2061,2109,2099
17/10/2019 08:58:56.977,2058,2104,2103
17/10/2019 08:58:56.987,2056,2105,2105
17/10/2019 08:58:56.997,2052,2110,2105
17/10/2019 08:58:57.007,2047,2114,2103
17/10/2019 08:58:57.017,2040,2121,2100
17/10/2019 08:58:57.027,2042,2117,2096
17/10/2019 08:58:57.037,2046,2115,2096
17/10/2019 08:58:57.047,2051,2113,2097
17/10/2019 08:58:57.057,2057,2113,2098
17/10/2019 08:58:57.067,2060,2112,2101
17/10/2019 08:58:57.077,2061,2110,2103
17/10/2019 08:58:57.087,2058,2108,2100
17/10/2019 08:58:57.097,2051,2106,2097
17/10/2019 08:58:57.107,2046,2106,2095
17/10/2019 08:58:57.117,2043,2110,2090
17/10/2019 08:58:57.127,2042,2115,2082
17/10/2019 08:58:57.137,2041,2118,2075
17/10/2019 08:58:57.147,2042,2115,2072
17/10/2019 08:58:57.157,2042,2110,2071
17/10/2019 08:58:57.167,2040,2111,2076
17/10/2019 08:58:57.177,2046,2106,2083
17/10/2019 08:58:57.187,2054,2102,2089
17/10/2019 08:58:57.197,2058,2101,2093
17/10/2019 08:58:57.207,2059,2104,2096
17/10/2019 08:58:57.217,2059,2103,2096
17/10/2019 08:58:57.227,2056,2106,2096
17/10/2019 08:58:57.237,2051,2103,2091
17/10/2019 08:58:57.247,2041,2114,2091
17/10/2019 08:58:57.257,2025,2122,2097
17/10/2019 08:58:57.267,2029,2119,2091
17/10/2019 08:58:57.277,2039,2116,2084
17/10/2019 08:58:57.287,2047,2114,2081
17/10/2019 08:58:57.297,2046,2112,2080
17/10/2019 08:58:57.307,2057,2104,2097
17/10/2019 08:58:57.317,2062,2125,2099
17/10/2019 08:58:57.327,2064,2142,2112
17/10/2019 08:58:57.337,2054,2136,2114
17/10/2019 08:58:57.347,2058,2134,2107
17/10/2019 08:58:57.357,2061,2130,2093
17/10/2019 08:58:57.367,2061,2129,2084
17/10/2019 08:58:57.377,2059,2125,2077
17/10/2019 08:58:57.387,2061,2122,2071
17/10/2019 08:58:57.397,2064,2125,2068
17/10/2019 08:58:57.407,2066,2127,2066
17/10/2019 08:58:57.417,2063,2128,2065
17/10/2019 08:58:57.427,2059,2131,2065
17/10/2019 08:58:57.437,2053,2131,2065
17/10/2019 08:58:57.447,2047,2130,2062
17/10/2019 08:58:57.457,2048,2127,2055
17/10/2019 08:58:57.467,2045,2125,2049
17/10/2019 08:58:57.477,2042,2120,2047
17/10/2019 08:58:57.487,2041,2116,2044
17/10/2019 08:58:57.497,2044,2112,2038
17/10/2019 08:58:57.507,2046,2116,2033
17/10/2019 08:58:57.517,2050,2119,2029
17/10/2019 08:58:57.527,2051,2120,2026
17/10/2019 08:58:57.537,2049,2116,2022
17/10/2019 08:58:57.547,2045,2114,2020
17/10/2019 08:58:57.557,2038,2113,2018
17/10/2019 08:58:57.567,2034,2113,2017
17/10/2019 08:58:57.577,2032,2114,2011
17/10/2019 08:58:57.587,2031,2113,2011
17/10/2019 08:58:57.597,2031,2112,2012
17/10/2019 08:58:57.607,2031,2111,2010
17/10/2019 08:58:57.617,2031,2110,2007
17/10/2019 08:58:57.627,2031,2113,2004
17/10/2019 08:58:57.637,2031,2114,2002
17/10/2019 08:58:57.647,2031,2117,2002
17/10/2019 08:58:57.657,2031,2117,2001
17/10/2019 08:58:57.667,2030,2115,2001
17/10/2019 08:58:57.677,2029,2115,2000
17/10/2019 08:58:57.687,2029,2113,2000
17/10/2019 08:58:57.697,2030,2110,2000
17/10/2019 08:58:57.707,2030,2107,2000
17/10/2019 08:58:57.717,2031,2105,1999
17/10/2019 08:58:57.727,2035,2105,2000
17/10/2019 08:58:57.737,2037,2102,1994
17/10/2019 08:58:57.747,2038,2102,1995
17/10/2019 08:58:57.757,2038,2099,1994
17/10/2019 08:58:57.767,2038,2101,1991
17/10/2019 08:58:57.777,2036,2107,1991
17/10/2019 08:58:57.787,2038,2102,1989
17/10/2019 08:58:57.797,2036,2100,1986
17/10/2019 08:58:57.807,2039,2100,1984
17/10/2019 08:58:57.817,2041,2098,1980
17/10/2019 08:58:57.827,2041,2097,1978
17/10/2019 08:58:57.837,2043,2101,1980
17/10/2019 08:58:57.847,2044,2099,1974
17/10/2019 08:58:57.857,2051,2095,1971
17/10/2019 08:58:57.867,2047,2097,1969
17/10/2019 08:58:57.877,2047,2098,1969
17/10/2019 08:58:57.887,2048,2098,1969
17/10/2019 08:58:57.897,2048,2098,1967
17/10/2019 08:58:57.907,2048,2097,1970
17/10/2019 08:58:57.917,2044,2097,1972
17/10/2019 08:58:57.927,2043,2097,1970
17/10/2019 08:58:57.937,2042,2098,1970
17/10/2019 08:58:57.947,2040,2097,1969
17/10/2019 08:58:57.957,2039,2098,1969
17/10/2019 08:58:57.967,2040,2098,1970
17/10/2019 08:58:57.977,2039,2099,1974
17/10/2019 08:58:57.987,2042,2100,1977
17/10/2019 08:58:57.997,2042,2100,1977
17/10/2019 08:58:58.007,2039,2100,1978
17/10/2019 08:58:58.017,2040,2099,1977
17/10/2019 08:58:58.027,2040,2100,1978
17/10/2019 08:58:58.037,2039,2101,1980
17/10/2019 08:58:58.047,2039,2100,1983
17/10/2019 08:58:58.057,2040,2098,1985
17/10/2019 08:58:58.067,2046,2098,1982
17/10/2019 08:58:58.077,2044,2101,1983
17/10/2019 08:58:58.087,2044,2102,1985
17/10/2019 08:58:58.097,2045,2103,1988
17/10/2019 08:58:58.107,2049,2104,1991
17/10/2019 08:58:58.117,2050,2105,1997
17/10/2019 08:58:58.127,2050,2104,1999
17/10/2019 08:58:58.137,2049,2105,1999
17/10/2019 08:58:58.147,2049,2106,1998
17/10/2019 08:58:58.157,2049,2103,1999
17/10/2019 08:58:58.167,2051,2105,2000
