Time,BreathingWaveform
15/11/2019 09:33:20.447,3833339
15/11/2019 09:33:20.487,3834521
15/11/2019 09:33:20.527,3834521
15/11/2019 09:33:20.567,3838938
15/11/2019 09:33:20.607,3838938
15/11/2019 09:33:20.647,3839400
15/11/2019 09:33:20.687,3837705
15/11/2019 09:33:20.727,3837243
15/11/2019 09:33:20.767,3837243
15/11/2019 09:33:20.807,3835086
15/11/2019 09:33:20.847,3834624
15/11/2019 09:33:20.887,3834469
15/11/2019 09:33:20.927,3832877
15/11/2019 09:33:20.967,3831593
15/11/2019 09:33:21.007,3831028
15/11/2019 09:33:21.047,3831028
15/11/2019 09:33:21.087,3830874
15/11/2019 09:33:21.127,3832107
15/11/2019 09:33:21.167,3830669
15/11/2019 09:33:21.207,3830874
15/11/2019 09:33:21.247,3831028
15/11/2019 09:33:21.287,3831028
15/11/2019 09:33:21.327,3830977
15/11/2019 09:33:21.367,3831131
15/11/2019 09:33:21.407,3831285
15/11/2019 09:33:21.447,3830001
15/11/2019 09:33:21.487,3828666
15/11/2019 09:33:21.527,3828717
15/11/2019 09:33:21.567,3828409
15/11/2019 09:33:21.607,3828614
15/11/2019 09:33:21.647,3828820
15/11/2019 09:33:21.687,3828717
15/11/2019 09:33:21.727,3827844
15/11/2019 09:33:21.767,3829128
15/11/2019 09:33:21.807,3828204
15/11/2019 09:33:21.847,3828152
15/11/2019 09:33:21.887,3828049
15/11/2019 09:33:21.927,3827947
15/11/2019 09:33:21.967,3826868
15/11/2019 09:33:22.007,3826971
15/11/2019 09:33:22.047,3826919
15/11/2019 09:33:22.087,3825944
15/11/2019 09:33:22.127,3825533
15/11/2019 09:33:22.167,3826919
15/11/2019 09:33:22.207,3826971
15/11/2019 09:33:22.247,3825944
15/11/2019 09:33:22.287,3826406
15/11/2019 09:33:22.327,3826457
15/11/2019 09:33:22.367,3826919
15/11/2019 09:33:22.407,3825481
15/11/2019 09:33:22.447,3826868
15/11/2019 09:33:22.487,3826354
15/11/2019 09:33:22.527,3825122
15/11/2019 09:33:22.567,3826303
15/11/2019 09:33:22.607,3826611
15/11/2019 09:33:22.647,3827176
15/11/2019 09:33:22.687,3826508
15/11/2019 09:33:22.727,3825225
15/11/2019 09:33:22.767,3825892
15/11/2019 09:33:22.807,3824865
15/11/2019 09:33:22.847,3825019
15/11/2019 09:33:22.887,3824711
15/11/2019 09:33:22.927,3823119
15/11/2019 09:33:22.967,3823375
15/11/2019 09:33:23.007,3823838
15/11/2019 09:33:23.047,3824043
15/11/2019 09:33:23.087,3823067
15/11/2019 09:33:23.127,3821835
15/11/2019 09:33:23.167,3822297
15/11/2019 09:33:23.207,3821629
15/11/2019 09:33:23.247,3822040
15/11/2019 09:33:23.287,3821835
15/11/2019 09:33:23.327,3820705
15/11/2019 09:33:23.367,3820499
15/11/2019 09:33:23.407,3821116
15/11/2019 09:33:23.447,3822246
15/11/2019 09:33:23.487,3821732
15/11/2019 09:33:23.527,3822862
15/11/2019 09:33:23.567,3821886
15/11/2019 09:33:23.607,3821886
15/11/2019 09:33:23.647,3822092
15/11/2019 09:33:23.687,3821886
15/11/2019 09:33:23.727,3821629
15/11/2019 09:33:23.767,3821116
15/11/2019 09:33:23.807,3820859
15/11/2019 09:33:23.847,3820654
15/11/2019 09:33:23.887,3820397
15/11/2019 09:33:23.927,3819626
15/11/2019 09:33:23.967,3819832
15/11/2019 09:33:24.007,3819780
15/11/2019 09:33:24.047,3819472
15/11/2019 09:33:24.087,3819575
15/11/2019 09:33:24.127,3818034
15/11/2019 09:33:24.167,3818188
15/11/2019 09:33:24.207,3819267
15/11/2019 09:33:24.247,3817726
15/11/2019 09:33:24.287,3817983
15/11/2019 09:33:24.327,3818548
15/11/2019 09:33:24.367,3818548
15/11/2019 09:33:24.407,3818651
15/11/2019 09:33:24.447,3817572
15/11/2019 09:33:24.487,3817675
15/11/2019 09:33:24.527,3817932
15/11/2019 09:33:24.567,3817623
15/11/2019 09:33:24.607,3818291
15/11/2019 09:33:24.647,3818497
15/11/2019 09:33:24.687,3818188
15/11/2019 09:33:24.727,3818188
15/11/2019 09:33:24.767,3818805
15/11/2019 09:33:24.807,3819061
15/11/2019 09:33:24.847,3818651
15/11/2019 09:33:24.887,3817829
15/11/2019 09:33:24.927,3816955
15/11/2019 09:33:24.967,3817777
15/11/2019 09:33:25.007,3817777
15/11/2019 09:33:25.047,3816391
15/11/2019 09:33:25.087,3817161
15/11/2019 09:33:25.127,3817418
15/11/2019 09:33:25.167,3816596
15/11/2019 09:33:25.207,3816699
15/11/2019 09:33:25.247,3815928
15/11/2019 09:33:25.287,3816339
15/11/2019 09:33:25.327,3816031
15/11/2019 09:33:25.367,3816339
15/11/2019 09:33:25.407,3816647
