SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2019,11,15,34400447,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2019,11,15,34404072,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2019,11,15,34404073,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,34405071,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,11,15,34431073,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,15,34436071,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,11,15,34469009,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,15,34470009,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,11,15,34471009,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,15,34472009,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,11,15,34473006,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,15,34474009,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,11,15,34475005,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,15,34476009,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,11,15,34477009,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,15,34478005,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,11,15,34478900,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,15,35226119,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,35231111,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,35236999,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,35271489,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,35289240,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,35325489,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,35330249,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,35348109,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,35353109,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,35357859,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,35362859,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,35387489,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,35392489,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,35400360,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,35414109,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,35419240,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,35424109,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,35462489,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,35477110,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,35484109,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,35491109,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,35500109,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,35504620,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Orange.
0,2019,11,15,35773110,4096,Physiological,RogAlgorithm,0,ROG status change from Orange to Green.
0,2019,11,15,36501210,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2019,11,15,36504537,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2019,11,15,36505209,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2019,11,15,36505371,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2019,11,15,36506219,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2019,11,15,36506219,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2019,11,15,36508089,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
