Time,BreathingWaveform
29/08/2022 07:59:56.424,6153438
29/08/2022 07:59:56.464,6137718
29/08/2022 07:59:56.504,6137718
29/08/2022 07:59:56.544,6131378
29/08/2022 07:59:56.584,6131378
29/08/2022 07:59:56.624,6126819
29/08/2022 07:59:56.664,6122418
29/08/2022 07:59:56.704,6118697
29/08/2022 07:59:56.744,6115029
29/08/2022 07:59:56.784,6113719
29/08/2022 07:59:56.824,6111781
29/08/2022 07:59:56.864,6113038
29/08/2022 07:59:56.904,6115658
29/08/2022 07:59:56.944,6113248
29/08/2022 07:59:56.984,6111623
29/08/2022 07:59:57.024,6113824
29/08/2022 07:59:57.064,6114715
29/08/2022 07:59:57.104,6115763
29/08/2022 07:59:57.144,6113143
29/08/2022 07:59:57.184,6114872
29/08/2022 07:59:57.224,6114558
29/08/2022 07:59:57.264,6114243
29/08/2022 07:59:57.304,6114400
29/08/2022 07:59:57.344,6113457
29/08/2022 07:59:57.384,6113300
29/08/2022 07:59:57.424,6113615
29/08/2022 07:59:57.464,6114191
29/08/2022 07:59:57.504,6114400
29/08/2022 07:59:57.544,6117073
29/08/2022 07:59:57.584,6116654
29/08/2022 07:59:57.624,6114558
29/08/2022 07:59:57.664,6113719
29/08/2022 07:59:57.704,6115711
29/08/2022 07:59:57.744,6116601
29/08/2022 07:59:57.784,6116077
29/08/2022 07:59:57.824,6116077
29/08/2022 07:59:57.864,6116601
29/08/2022 07:59:57.904,6115920
29/08/2022 07:59:57.944,6117178
29/08/2022 07:59:57.984,6122418
29/08/2022 07:59:58.024,6128811
29/08/2022 07:59:58.064,6132740
29/08/2022 07:59:58.104,6136304
29/08/2022 07:59:58.144,6136251
29/08/2022 07:59:58.184,6135780
29/08/2022 07:59:58.224,6135308
29/08/2022 07:59:58.264,6134627
29/08/2022 07:59:58.304,6133160
29/08/2022 07:59:58.344,6130907
29/08/2022 07:59:58.384,6129596
29/08/2022 07:59:58.424,6128706
29/08/2022 07:59:58.464,6128129
29/08/2022 07:59:58.504,6128077
29/08/2022 07:59:58.544,6129282
29/08/2022 07:59:58.584,6131692
29/08/2022 07:59:58.624,6135308
29/08/2022 07:59:58.664,6141072
29/08/2022 07:59:58.704,6143168
29/08/2022 07:59:58.744,6143325
29/08/2022 07:59:58.784,6143483
29/08/2022 07:59:58.824,6138295
29/08/2022 07:59:58.864,6134260
29/08/2022 07:59:58.904,6132321
29/08/2022 07:59:58.944,6131325
29/08/2022 07:59:58.984,6129177
29/08/2022 07:59:59.024,6127396
29/08/2022 07:59:59.064,6126662
29/08/2022 07:59:59.104,6128548
29/08/2022 07:59:59.144,6130068
29/08/2022 07:59:59.184,6132740
29/08/2022 07:59:59.224,6133369
29/08/2022 07:59:59.264,6133474
29/08/2022 07:59:59.304,6134941
29/08/2022 07:59:59.344,6140548
29/08/2022 07:59:59.384,6144635
29/08/2022 07:59:59.424,6141963
29/08/2022 07:59:59.464,6134679
29/08/2022 07:59:59.504,6131483
29/08/2022 07:59:59.544,6132583
